source,target,messages,txs,channel,timestamp,volume,type
fetchai,osmosis,18,18,transfer/channel-10,1756684800000,5.703189088640819,ack
fetchai,axelar,1,1,transfer/channel-14,1756684800000,0,ack
fetchai,injective,0,0,transfer/channel-33,1756684800000,0,ack
fetchai,osmosis,0,0,transfer/channel-0,1756684800000,0,ack
fetchai,osmosis,0,0,transfer/channel-1,1756684800000,0,ack
fetchai,cosmos,0,0,transfer/channel-11,1756684800000,0,ack
fetchai,juno,0,0,transfer/channel-12,1756684800000,0,ack
fetchai,planq_7070-2,0,0,transfer/channel-15,1756684800000,0,ack
fetchai,kujira,0,0,transfer/channel-17,1756684800000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-13,1756684800000,0,ack
fetchai,kujira,0,0,transfer/channel-18,1756684800000,0,ack
fetchai,terra,0,0,transfer/channel-19,1756684800000,0,ack
fetchai,cosmos,0,0,transfer/channel-2,1756684800000,0,ack
fetchai,terra,0,0,transfer/channel-20,1756684800000,0,ack
fetchai,eightball-1,0,0,transfer/channel-21,1756684800000,0,ack
fetchai,akash,0,0,transfer/channel-23,1756684800000,0,ack
fetchai,agoric,0,0,transfer/channel-22,1756684800000,0,ack
fetchai,arkh,0,0,transfer/channel-24,1756684800000,0,ack
fetchai,asset-mantle,0,0,transfer/channel-25,1756684800000,0,ack
fetchai,juno,0,0,transfer/channel-3,1756684800000,0,ack
fetchai,terra,0,0,transfer/channel-30,1756684800000,0,ack
fetchai,umee,0,0,transfer/channel-4,1756684800000,0,ack
fetchai,terra,0,0,transfer/channel-31,1756684800000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-6,1756684800000,0,ack
fetchai,sifchain,0,0,transfer/channel-5,1756684800000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-7,1756684800000,0,ack
fetchai,umee,0,0,transfer/channel-8,1756684800000,0,ack
fetchai,umee,0,0,transfer/channel-9,1756684800000,0,ack
fetchai,cosmos,0,0,transfer/channel-16,1756684800000,0,ack
fetchai,humans,0,0,transfer/channel-32,1756684800000,0,ack
fetchai,elys-1,2,2,transfer/channel-34,1756684800000,5.700634214586611,ack
fetchai,osmosis,9,9,transfer/channel-10,1756684800000,5.735146965943877,receive
fetchai,axelar,0,0,transfer/channel-14,1756684800000,0,receive
fetchai,injective,0,0,transfer/channel-33,1756684800000,0,receive
fetchai,osmosis,0,0,transfer/channel-0,1756684800000,0,receive
fetchai,osmosis,0,0,transfer/channel-1,1756684800000,0,receive
fetchai,cosmos,0,0,transfer/channel-11,1756684800000,0,receive
fetchai,gravity-bridge,0,0,transfer/channel-13,1756684800000,0,receive
fetchai,terra,0,0,transfer/channel-19,1756684800000,0,receive
fetchai,cosmos,0,0,transfer/channel-2,1756684800000,0,receive
fetchai,terra,0,0,transfer/channel-20,1756684800000,0,receive
fetchai,akash,0,0,transfer/channel-23,1756684800000,0,receive
fetchai,agoric,0,0,transfer/channel-22,1756684800000,0,receive
fetchai,terra,0,0,transfer/channel-30,1756684800000,0,receive
fetchai,terra,0,0,transfer/channel-31,1756684800000,0,receive
fetchai,gravity-bridge,0,0,transfer/channel-6,1756684800000,0,receive
fetchai,gravity-bridge,0,0,transfer/channel-7,1756684800000,0,receive
fetchai,cosmos,0,0,transfer/channel-16,1756684800000,0,receive
fetchai,humans,0,0,transfer/channel-32,1756684800000,0,receive
fetchai,osmosis,16,16,transfer/channel-10,1756598400000,5.703189088640819,ack
fetchai,axelar,0,0,transfer/channel-14,1756598400000,0,ack
fetchai,injective,2,2,transfer/channel-33,1756598400000,5.703189088640819,ack
fetchai,osmosis,0,0,transfer/channel-0,1756598400000,0,ack
fetchai,osmosis,0,0,transfer/channel-1,1756598400000,0,ack
fetchai,cosmos,0,0,transfer/channel-11,1756598400000,0,ack
fetchai,juno,0,0,transfer/channel-12,1756598400000,0,ack
fetchai,planq_7070-2,0,0,transfer/channel-15,1756598400000,0,ack
fetchai,kujira,0,0,transfer/channel-17,1756598400000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-13,1756598400000,0,ack
fetchai,kujira,0,0,transfer/channel-18,1756598400000,0,ack
fetchai,terra,0,0,transfer/channel-19,1756598400000,0,ack
fetchai,cosmos,0,0,transfer/channel-2,1756598400000,0,ack
fetchai,terra,0,0,transfer/channel-20,1756598400000,0,ack
fetchai,eightball-1,0,0,transfer/channel-21,1756598400000,0,ack
fetchai,akash,0,0,transfer/channel-23,1756598400000,0,ack
fetchai,agoric,0,0,transfer/channel-22,1756598400000,0,ack
fetchai,arkh,0,0,transfer/channel-24,1756598400000,0,ack
fetchai,asset-mantle,0,0,transfer/channel-25,1756598400000,0,ack
fetchai,juno,0,0,transfer/channel-3,1756598400000,0,ack
fetchai,terra,0,0,transfer/channel-30,1756598400000,0,ack
fetchai,umee,0,0,transfer/channel-4,1756598400000,0,ack
fetchai,terra,0,0,transfer/channel-31,1756598400000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-6,1756598400000,0,ack
fetchai,sifchain,0,0,transfer/channel-5,1756598400000,0,ack
fetchai,gravity-bridge,0,0,transfer/channel-7,1756598400000,0,ack
fetchai,umee,0,0,transfer/channel-8,1756598400000,0,ack
fetchai,umee,0,0,transfer/channel-9,1756598400000,0,ack
