timestamp,blockCount,txCount
1756857600000,14781,23883
1756771200000,14766,25880
1756684800000,14807,26778
1756598400000,14818,26565
1756512000000,14849,22964
1756425600000,14900,18105
1756339200000,14895,17386
1756252800000,14847,22687
1756166400000,14808,25712
1756080000000,14799,25432
1755993600000,14788,26190
1755907200000,14738,25103
1755820800000,14879,18537
1755734400000,14880,18858
1755648000000,14877,18804
1755561600000,14706,42290
1755475200000,14771,46072
1755388800000,14784,43541
1755302400000,14772,42449
1755216000000,14776,39285
1755129600000,14842,34388
1755043200000,14837,32134
1754956800000,14858,31698
1754870400000,14803,36337
1754784000000,14757,35399
1754697600000,14761,34387
1754611200000,14747,32347
1754524800000,14873,23336
1754438400000,14863,20813
1754352000000,14872,19451
1754265600000,14873,19264
1754179200000,14858,18218
1754092800000,14861,18528
1754006400000,14857,19684
1753920000000,14865,18309
1753833600000,14874,19462
1753747200000,14893,22279
1753660800000,14905,20993
1753574400000,14882,20511
1753488000000,14850,19732
1753401600000,14865,23068
1753315200000,14882,23762
1753228800000,14898,21415
1753142400000,14879,20763
1753056000000,14883,19481
1752969600000,14865,19228
1752883200000,14859,19311
1752796800000,14882,19531
1752710400000,14875,19238
1752624000000,14863,29315
1752537600000,14884,48223
1752451200000,14880,47573
1752364800000,14880,46831
1752278400000,14863,47951
1752192000000,14881,45071
1752105600000,14890,43036
1752019200000,14859,44598
1751932800000,14871,41080
1751846400000,15040,39824
1751760000000,14994,37884
1751673600000,15045,37755
1751587200000,15027,38124
1751500800000,15043,36651
1751414400000,15037,37135
1751328000000,15015,35982
1751241600000,15017,28624
1751155200000,14985,28171
1751068800000,14992,26822
1750982400000,14947,28580
1750896000000,14959,26493
1750809600000,14973,26347
1750723200000,14972,27687
1750636800000,14979,25167
1750550400000,14971,19736
1750464000000,15016,18385
1750377600000,15008,18949
1750291200000,15028,18750
1750204800000,15050,18789
1750118400000,15037,18692
1750032000000,15023,21404
1749945600000,15028,23996
1749859200000,15028,23439
1749772800000,15033,22052
1749686400000,15044,19735
1749600000000,15047,18653
1749513600000,15035,20125
1749427200000,15017,21378
1749340800000,14988,22155
1749254400000,14995,27624
1749168000000,14973,34760
1749081600000,15003,32049
1748995200000,15019,30901
1748908800000,15038,27263
1748822400000,15032,25368
1748736000000,14946,31174
1748649600000,14952,32340
1748563200000,14939,31008
1748476800000,14932,26177
1748390400000,14935,22515
1748304000000,14974,21452
1748217600000,14999,20413
1748131200000,15010,18268
1748044800000,15009,20714
1747958400000,14998,22000
1747872000000,14988,25112
1747785600000,14992,28357
1747699200000,15008,25605
1747612800000,15010,23369
1747526400000,15000,22739
1747440000000,15007,21145
1747353600000,15003,20844
1747267200000,15006,20066
1747180800000,15004,21648
1747094400000,15005,21847
1747008000000,15004,22191
1746921600000,14976,24390
1746835200000,14975,22636
1746748800000,14998,23109
1746662400000,14988,21245
1746576000000,14976,19960
1746489600000,15019,18843
1746403200000,14991,18443
1746316800000,15006,18509
1746230400000,15015,33313
1746144000000,14837,66865
1746057600000,14998,67667
1745971200000,15012,64327
1745884800000,15000,63350
1745798400000,14976,61558
1745712000000,14951,60879
1745625600000,14960,58812
1745539200000,14946,58497
1745452800000,14952,57098
1745366400000,14975,57064
1745280000000,15002,54675
1745193600000,15008,50356
1745107200000,15009,47404
1745020800000,15002,46947
1744934400000,15006,45973
1744848000000,14999,45500
1744761600000,15008,45619
1744675200000,15005,44799
1744588800000,14998,44325
1744502400000,14997,43112
1744416000000,15003,40652
1744329600000,15006,38717
1744243200000,15007,35653
1744156800000,15010,32567
1744070400000,14999,29319
1743984000000,15014,27418
1743897600000,15009,25370
1743811200000,15023,25100
1743724800000,15002,25161
1743638400000,14986,21405
1743552000000,14988,19199
1743465600000,14803,58120
1743379200000,15018,22809
1743292800000,14966,18352
1743206400000,15011,17974
1743120000000,15025,20069
1743033600000,15018,27813
1742947200000,15041,26378
1742860800000,15035,24811
1742774400000,15048,24100
1742688000000,15089,23328
1742601600000,15076,21076
1742515200000,15082,19786
1742428800000,15061,19553
1742342400000,15050,19629
1742256000000,15050,18925
1742169600000,15057,20542
1742083200000,15057,23991
1741996800000,15051,22970
1741910400000,15043,22035
1741824000000,15039,20393
1741737600000,15029,19444
1741651200000,15023,18894
1741564800000,14960,31527
1741478400000,14991,41716
1741392000000,14991,40242
