id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
36,Raise the bock limit params maxgas and maxbytes to align them with values on Dorado testnet,ParameterChange,PASSED,1752829016811,1752829016811,1753261016811,undefined,null,undefined,414857241.7700564,3319.6000000000004,0,3528.3684730805917
35,Fix for the ASA2025004 vulnerability in IBC module,SoftwareUpgrade,PASSED,1742995716276,1742995716276,1743427716276,undefined,null,undefined,290942723.61846,0,0,0
34,Revive expired IBC client for Injective,ClientUpdate,PASSED,1738746196579,1738746974741,1739178974741,undefined,null,undefined,256675673.9334198,18,0,1675
33,Cudos Merge Upgrade,SoftwareUpgrade,PASSED,1729615798353,1729615798353,1730047798353,38502DADDC2AE1FF9221DDAA3A9B5EA9A641915EF00D8F58616BF0A30C8AF962,18852791,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,326130033.74966913,50,0,612.4899999999999
32,Revive expired IBC client for Injective,ClientUpdate,PASSED,1729608774628,1729639529125,1730071529125,12CDB46CC0DB01E7AC5D462B85F7D59373BF8FBE60C21B1A3114A073E5A4B130,18851571,fetch1a7l5xar7vyymvahfelar6vtkdar5x9a5smppll,324914761.7512436,656.5660940372838,0,0
31,ASI Governance Proposal Integration of CUDOS into the ASI Alliance,Text,PASSED,1726768482706,1726768482706,1727200482706,1614C684D9F9214DC4C84157F7ADC56D5000ED1A3BDC2B3EA3D384D7E5D789D1,18361448,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,330617319.2464243,26760.55689351387,0,8307.434623840001
30,Revive expired IBC client for Injective,ClientUpdate,PASSED,1719231709406,1719232388239,1719664388239,C1AA8652D732D32931243631FBC7663750F32F82AB0CA93C4F1AC61BC274000C,17066920,fetch1a7l5xar7vyymvahfelar6vtkdar5x9a5smppll,178997177.79485577,40585548.86011545,0,97711.61616509435
29,Community fund proposal for Mettalex,CommunityPoolSpend,PASSED,1712908306817,1712912479167,1713344479167,C63A3A70B2C43A14EC2E9AF3DDBEDF7F1B3640325F73A1BC95BDA675CD49907B,15988331,fetch1hlj4ealhhg7n75dmvtj6ynp9q3yeqhh02pclqx,192688354.42472848,2605153.479901288,0,21951419.63359043
28,ASI03 OCEAN merge into ASI  ASI Migration 3 of 3,Text,PASSED,1712581078001,1712581078001,1713013078001,2FF81C3B431111E4FF7B4AEA08CFDCE6F99621ECD404C72FB2498840419C02A3,15932611,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,240991581.80379036,586864.8821407079,4028.4228623299996,11788.440489331262
27,ASI02 AGIX merge into ASI  ASI Migration 2 of 3,Text,PASSED,1712580960080,1712580960080,1713012960080,B709E9F2616C713CDDF9C950F3BEDEA41192FED43E2CCC85FBFBF5CF7E7783F8,15932591,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,240798390.0901671,1076130.8579165272,2528.3728623300003,10159.04617497863
26,ASI01 FET to ASI Migration 1 of 3,Text,PASSED,1712062722233,1712062722233,1712494722233,6D8BC242689E554CA958F9BFC8A9466AE1C5AB6AA97E667CF1790251518C81CF,15844610,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,247049552.42559272,455830.7923934335,580.0000621120984,7509.604580560688
25,Municipal Inflation v0113,SoftwareUpgrade,PASSED,1704715715988,1704715715988,1705147715988,BEF0A1407A7C4AE86956CB7FEE602E965B11FDBFF2A200C1F72BA7D2CD0D22F8,14597173,fetch1p00ygdxqd89tddvkw72fstcr2l3mypekj6xrhy,276560332.72205925,504,274.955,3887.0470116068277
24,Enabling Set Withdraw Address Transaction Feature,ParameterChange,PASSED,1702033413144,1702033413144,1702465413144,49677BA6150E89607A339546C1FC1EB1765319076B4524D745D9A5CD1DEAB116,14143514,fetch1zntja9step52hq3a262fd9ee4n9w7mjuw8rysl,185940575.94474116,9941.946932592431,0,1142.1
19,fetchd upgrade to v0107,SoftwareUpgrade,PASSED,1684170454524,1684170454524,1684602454524,D9C290BA34558697F7431E57DD355E8F01A70CB0E8AA0C861E138188BD7AFDB5,11122189,fetch1qwg3yu6ca47hd26n05k0aj39vjsptqfhm8hz5g,239225889.74799654,0,0,237594.02721866395
18,Funding an AIfocused NFT marketplace on the Fetchai network,CommunityPoolSpend,PASSED,1681284871948,1681284943636,1681716943636,E6A9ADB6C082A291607CC9E8E9F163CB129F009D01131F2BBAA46A5EDBB5AC1F,10637111,fetch18m26lkjly2hkck25t7sdsrnu72x0g6gxtsnraq,174305409.7620111,68633.24538818466,40001.00682878657,31338498.332489308
12,FIP005 Increase Max Validators to 70,ParameterChange,PASSED,1666183210304,1666183210304,1666615210304,883DA5F6320B9F98DDCCC9EA84762B7335F5E19AEB039F379F407C6F2060149D,8116323,fetch1c2wlfqn6eqqknpwcr0na43m9k6hux94dp6fx4y,200664141.93094623,680208.6050960849,0,1022649.8170737978
11,FIP004 Set transaction fees on Mainnet to 2 aFET,Text,PASSED,1663234017933,1663234017933,1663666017933,78BB07313009CACBCC1578EB06B05BE45AC98F97F8D9B9F10667C1FA425724F8,7629109,fetch1c2wlfqn6eqqknpwcr0na43m9k6hux94dp6fx4y,151771869.92649266,46763.38386667032,0,55536728.9472554
10,FIP003 Set Minimum Validator Commission to 5,Text,PASSED,1662546067685,1662546067685,1662978067685,EF5B780151BE3B41B53514994E84BB26F84EA1D4CA8B488811159FBEFD1FBFE6,7515215,fetch1c2wlfqn6eqqknpwcr0na43m9k6hux94dp6fx4y,119175747.87041195,62827871.52552921,300.2627956550928,42485626.41693024
9,fetchd upgrade to v0105,SoftwareUpgrade,PASSED,1660811441676,1660811441676,1661243441676,1080E7F65801F1E832A5E3E24019D43AAAB889526417EF13A0236C575D221300,7229242,fetch1c2wlfqn6eqqknpwcr0na43m9k6hux94dp6fx4y,202600016.36663368,40110.40790057261,0,285
