address,moniker,commission,rank,token,votingPower,timestamp
fetchvaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7ryjvncp,Kiln,0.1,1,145869958,0.267706,1756944000000
fetchvaloper17zr49k6tmcz7eezxgl7x0pfxa9e92h7lv29hd3,Binance Staking,0.1,2,59631599,0.109438,1756944000000
fetchvaloper14w6a4al72uc3fpfy4lqtg0a7xtkx3w7hda0vel,uvue1,0.08,3,42361982,0.077744,1756944000000
fetchvaloper1xrlqqepyfl64mjr8x837y5slxfzlywe57rwdta,novus1,0.08,4,42352250,0.077726,1756944000000
fetchvaloper1kfvx47a85ylex0x3c398mzzd2drxt9x4lwh4sa,Allnodes  0 fee,0,5,36635491,0.067235,1756944000000
fetchvaloper1ph02ux2dujl7uv4lzv6vy2y6vjstd4eplfznuw, AutoStake  Slash Protected,0,6,18042007,0.033111,1756944000000
fetchvaloper17tznsfw0jz2tmkpsqqv40tzmd0nhndf9me4585, Blockscopenet,0.01,7,17115631,0.031411,1756944000000
fetchvaloper1qy7mkd5jf4zacpfnpp5z73z5tmg7455jmsfqlu,Colossus,0.1,8,11603608,0.021295,1756944000000
fetchvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krf8kmpsz,Cosmostation,0.089,9,9290314,0.01705,1756944000000
fetchvaloper1ngggvs4vgstfjzyjxd27eplwfqveuqgzytzn24,Deutsche Telekom,0.05,10,8132650,0.014925,1756944000000
fetchvaloper1syp9ek2p2sl3pelzhlwac67wnzdswhzu9j4y56,GeoStaking ,0.05,11,7825114,0.014361,1756944000000
fetchvaloper1nvpy55tzjs325lg7rfrf6s0dpexzpypss2sdcg,Outlier Ventures,0.1,12,7679188,0.014093,1756944000000
fetchvaloper13uwrjldm8m45cuarjdvgk9qwnysf835rgrugc6, BlueStake   100 insurance,0.01,13,7377901,0.01354,1756944000000
fetchvaloper1nx7wwxv260lfrpcj257zqrn8lwjl6jjn9zfclp,Altruistic Automaton,0.05,14,6810120,0.012498,1756944000000
fetchvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pn5mfmy,polkachucom,0,15,5493888,0.010083,1756944000000
fetchvaloper1f0grjcyfk6l3cray0lapcjh5xlyvd4f2gy3ax4,STM,0.1,16,5000000,0.009176,1756944000000
fetchvaloper15gpxu59a86lfzxq39nulz7ycnz8exhckcjpywv,STM 2,0.1,17,5000000,0.009176,1756944000000
fetchvaloper1a7l5xar7vyymvahfelar6vtkdar5x9a54l7zvc,Crosnest,0.05,18,4849502,0.0089,1756944000000
fetchvaloper1x9dec338uhew9ye9srzrctcm64c3p5ev2f54sh,CUDOS Validator,0.1,19,4823480,0.008852,1756944000000
fetchvaloper1zd3v6empaqulrfaekku4e7f8ztn85khtjhq3ur,cosmosrescue,0.05,20,4445586,0.008159,1756944000000
fetchvaloper17wlu37ev6s786r2qe9qwl38he0hahnekgsd0sk,Stakecito,0.05,21,4133430,0.007586,1756944000000
fetchvaloper1y02hlwucl6csz4z02ksn46gzdkmref927l4mug,POSTHUMAN  StakeDrop,0.1,22,4084487,0.007496,1756944000000
fetchvaloper1q77f2plk5ay34gu2y7v5pdj8wxcmrr54n8wnw0,PandaTeam,0.05,23,4082899,0.007493,1756944000000
fetchvaloper1p3l46e2ajm8aql0fayjuqxz92mepcng4675ftn,AltoStake,0.05,24,3907391,0.007171,1756944000000
fetchvaloper1qpm07wf0y9ksd023k7lnfwzda7evcqpfsywa07,STAKINGLAND,0.09,25,3638091,0.006677,1756944000000
fetchvaloper1trkl3p09kptrvxuyvrg63tuzmyhcajn7aewdwe,InfStones,0.1,26,3517532,0.006456,1756944000000
fetchvaloper1w9fdshazy8mp5pnak4n5xdg9zaqte6vvxza6e3,Maneki Neko 1,0.05,27,3492762,0.00641,1756944000000
fetchvaloper1jfxur0jse6u2h5qywhhdtnee3z4zd5cxgz2m5d,HighStakesch  Daily Airdrops,0.05,28,3081352,0.005655,1756944000000
fetchvaloper13zg52xkk4wpn3ml6nfmm3kqjl5ue5d24nt6ecc,Antrix Validators,0.05,29,3029807,0.00556,1756944000000
fetchvaloper14mg32f8jhrdndfl4828r34y58lvsms6dk5ntt8,Cloudician,0.1,30,3000069,0.005506,1756944000000
fetchvaloper1neqdrj7tl6pwv3flckhajkgtvt5tee8tu8zr68,Smart Stake ,0.05,31,2839795,0.005212,1756944000000
fetchvaloper1avppws8r46qc67ykp94ytkuff5zzg9f5kpp6ke,AVIAONEcom ,0.05,32,2729253,0.005009,1756944000000
fetchvaloper169hpfaau6ey8avzr6dk30f2y6j3gv8x5ds9657,Citadelone,0.05,33,2688603,0.004934,1756944000000
fetchvaloper100zlxqnkx40jkppp03qwnc0gjj3ztzekl9fjpj,Stake Shark,0.1,34,2434598,0.004468,1756944000000
fetchvaloper13m8d0fnkhy35jaer3n9p0ygt9t7heyl82qs94l,pathrocknetwork,0.05,35,2424445,0.004449,1756944000000
fetchvaloper1xmznygxujt2vpzmufvghfunw5rq02qn5plut4t,Stakewollecom  Autocompound,0.05,36,2368996,0.004348,1756944000000
fetchvaloper1vjcwc2ehpxykw4dr0j9k3gxygwmvecmcy6garq,Active Nodes,0.07,37,2315010,0.004249,1756944000000
fetchvaloper1hvhyunq7qvykzvrcnhjj4xnkcla58xusfvqfza,Architect Nodes,0.05,38,2298257,0.004218,1756944000000
fetchvaloper157vs5a5tqt2kkkht95azwg9pa77z8hwkjatj42,Frenai,0.05,39,2271326,0.004168,1756944000000
fetchvaloper1pg5eg6kd299272e5w2amdv8fjf8h96xeul6xe0,openstakenet,0.01,40,2256202,0.004141,1756944000000
fetchvaloper1874jxj35dlywfq65cupdnsp02lkqcjqnpgln2w,Bloclick,0.05,41,2150957,0.003948,1756944000000
fetchvaloper1euqdrhevxg6gdzaphs7d3uulagxehex3fev6m3,Kleomedes,0.1,42,1978178,0.00363,1756944000000
fetchvaloper1h249gj063tdwjkumccx0vq542hkkm3tkl3tp5z,DELIGHT,0.05,43,1923107,0.003529,1756944000000
fetchvaloper1eahjm0dyxk6kqeywlsdl9w05phsv2lluufhncq,Theorem,0.04141592653589793,44,1817012,0.003335,1756944000000
fetchvaloper1tt7ads6l54nt42rzk4vt6dlzl5sgq707h0fdrv,VALIDARIOS,0.1,45,1808636,0.003319,1756944000000
fetchvaloper1d2m7xut58hd9lh8ccvtpfp49yeuwyrd4a3qgx4,Inter Blockchain Services,0.05,46,1704036,0.003127,1756944000000
fetchvaloper1fkanx93krvlm77eyhyvgqvc3jcvj6sfqu7rwtz,ChainTools,0.05,47,1702718,0.003125,1756944000000
fetchvaloper10ua938xs4raxxckagk57kj9ntk8p0drsufj9ql,Validatorrun  100 Slash Protected,0.05,48,1697380,0.003115,1756944000000
fetchvaloper1fal2sqw4lkxugr989d66ju742tfn35ss3q35yk,Staking4All,0.01,49,1600253,0.002937,1756944000000
fetchvaloper16lhapna7nfm0j3pnwt7tn4lxtx3q7hs4rycgky,Crypto Lion ,0.05,50,1585364,0.00291,1756944000000
fetchvaloper1y6df6uwx7yan9x7q6kgr90wuw6sg20ys6j0t45,Yurbason,0.05,51,1490281,0.002735,1756944000000
fetchvaloper1ljaz4qqc3lzaxtas665kn85wxzaag72vc7a3y6,chainstaking,0.1,52,1429067,0.002623,1756944000000
fetchvaloper1k43xsdgf528dxp2fn27dq0l9297v4gjqk2heuu,Terminet,0.1,53,1379853,0.002532,1756944000000
fetchvaloper16254fzc4yzuassvg08fffw8u6dxvf28ffpjsqp,bartcrpt,0.09,54,1375365,0.002524,1756944000000
fetchvaloper15ww3n028ytccuvax5pxk0jkfqfc9m7s0gkp7fe,Prophet Algorithms,0.05,55,1371506,0.002517,1756944000000
fetchvaloper10x64dgdwxcvmvgw8x8kfmpj52ppl4gy4thv2nk,OtterSync,0.02,56,1358867,0.002494,1756944000000
fetchvaloper1f0c85eaelur6xa2qx4rkjkydmf2ak2p9zhxl72,Hindsight,0.02,57,1045291,0.001918,1756944000000
fetchvaloper1zntja9step52hq3a262fd9ee4n9w7mjutru8rc,Meria,0.05,58,799220,0.001467,1756944000000
fetchvaloper1evtz9f6cl2lhzjf5dwy2c647ey9uu9n35205hj,50 Validator  Airdrop,0.05,59,629507,0.001155,1756944000000
fetchvaloper1dafx5uk2zvsz43dz05gzx78vmnq3wu9rg4lmgg,Maneki Neko 2,0.05,60,534802,0.000981,1756944000000
fetchvaloper1a058cjs6j7nrtpgs22hs4994kcxyvp4y0v3zn3,Sydney Harbour Whale ,0,61,521796,0.000958,1756944000000
fetchvaloper13le82pzxwcvs2ftkzeyjxsxwl46aaptsvv4lcx,Validatriumcom,0.15,62,503070,0.000923,1756944000000
fetchvaloper1mr8tqsr3cjp4vh30j8h32uluh5nhnjnh8lkef0,StakeLabzone,0.05,63,440195,0.000808,1756944000000
fetchvaloper132elwf5n6pjhxjh464khn8m2rzzr7wv4rlkwev,PoorButHappy,0.01,64,435988,0.0008,1756944000000
fetchvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z6q9rh3, LavenderFive Nodes ,0.05,65,368725,0.000677,1756944000000
fetchvaloper109yg6yhcyy5mfyteqmcn3pjca9nu9s39ch77en,Strata One,0,66,315810,0.00058,1756944000000
fetchvaloper1vs328gyxpc6hxuh67gquqcm3w3kapw4g4czaag,charifycudos,0.05,67,296153,0.000544,1756944000000
fetchvaloper15hhma53ze7xl7r4xj5fv7ykyktemsdx5jejqn9,Klever,0.01,68,291424,0.000535,1756944000000
fetchvaloper1euqlyj3n4ejvd6x803mkt64ugn7c9qpa9mj9np,Imperatorco,0.05,69,228567,0.000419,1756944000000
fetchvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w4trh4w,Frens ,0.05,70,215084,0.000395,1756944000000
fetchvaloper1qmkm2jfqtcy3kzp8auven4ljlu5s66qdsux5u0,web3world,0.1,71,193698,0.000355,1756944000000
fetchvaloper1das4pehks87a0yg68rhnlg7wvpgucasrv8yhz0,Coinscrum,0.06,72,192836,0.000354,1756944000000
