chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
agoric,0.13497,5.1926654,22943987,0.05,425045038,1147367378,4863643,30,166,196,4330743,0.1887528527626868,0.1887528527626868,1940,62561,agoric,0.00630012,4349205,2194,6757415,26906,0.00640307,0.00625771,-0.00002147,-0.34,6248,0.144,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.439,-0.34,-10.807,-19.561,-41.895,-93.94,1765152000000
agoric,0.134971,5.1978064,22927348,0.05,424986498,1147216157,4863643,30,166,196,4330088,0.18886126733890024,0.18886126733890024,1956,62561,agoric,0.00632258,4342957,2207,6747707,27595,0.00633693,0.00613439,0.00010546,1.696,49532,1.154,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.081,1.696,-10.7,-20.409,-39.588,-94.023,1765065600000
agoric,0.135089,5.1841733,22910717,0.05,424560349,1147065020,4863643,30,166,196,4329387,0.18896776560943074,0.18896776560943074,1969,62539,agoric,0.00621728,4258145,2212,6615933,26105,0.00631366,0.00612705,-0.0000079,-0.127,-41653,-0.969,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.95,-0.127,-13.361,-24.794,-27.674,-94.15,1764979200000
agoric,0.135106,5.1827174,22894056,0.05,424450106,1146913621,4863643,30,166,196,4328671,0.18907401117565187,0.18907401117565187,1969,62539,agoric,0.00622555,4298518,2241,6678661,38354,0.00635324,0.00610901,-0.00012769,-2.01,-74540,-1.705,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.103,-2.01,-10.617,-32.26,-22.737,-94.169,1764892800000
agoric,0.13509,5.1854659,22877371,0.05,424444679,1146762024,4863643,30,166,196,4327637,0.1891667097587393,0.1891667097587393,1969,62531,agoric,0.00633965,4373058,2229,6794475,39872,0.00650871,0.00612856,0.00017926,2.91,117878,2.77,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.784,2.91,-20.367,-38.327,-24.565,-93.803,1764806400000
agoric,0.136044,5.2413197,22860713,0.05,421412928,1146610711,4863643,30,166,196,4326774,0.1892668002087249,0.1892668002087249,2010,62531,agoric,0.00616083,4255180,2251,6611327,29160,0.00629977,0.00613978,-0.00013894,-2.205,-84657,-1.951,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.118,-2.205,-12.898,-41.977,-36.055,-93.104,1764720000000
agoric,0.136066,5.2155702,22844153,0.05,421286911,1146460307,4863643,30,166,196,4325993,0.18936981379874315,0.18936981379874315,2043,62531,agoric,0.00628462,4339837,2192,6742859,36406,0.00703798,0.00623494,-0.00075088,-10.673,-523229,-10.759,690669113,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.373,-10.673,-25.973,-40.151,-36.171,-93.256,1764633600000
agoric,0.128699,5.2178295,22827617,0.05,445345041,1146310114,4863643,30,166,196,4325142,0.18946971118360711,0.18946971118360711,2069,62531,agoric,0.00702058,4848954,2144,7533900,27368,0.00710546,0.00697784,-0.00006791,-0.958,-12942,-0.266,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.607,-0.958,-10.362,-29.714,-28.621,-93.015,1764547200000
agoric,0.128691,5.2271052000000005,22811054,0.05,445315110,1146159723,4863643,30,166,196,4324437,0.18957637818927614,0.18957637818927614,2109,62527,agoric,0.00703942,4861895,2147,7554007,29485,0.00717279,0.00698532,-0.00009754,-1.367,-65395,-1.327,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.575,-1.367,-11.332,-26.863,-29.767,-92.389,1764460800000
agoric,0.128676,5.2363618,22794528,0.05,445308072,1146009679,4863643,30,166,196,4323744,0.18968341875734387,0.18968341875734387,2094,62527,agoric,0.00713432,4942573,2136,7679358,65258,0.00760724,0.00688842,0.00018141,2.609,165407,3.462,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.618,2.609,-13.702,-20.075,-27.946,-92.388,1764374400000
agoric,0.128042,5.2203941,22778027,0.05,447453490,1145859890,4863643,30,166,196,4323013,0.18978873806761226,0.18978873806761226,2103,62523,agoric,0.00695323,4777166,2173,7422362,39281,0.00799381,0.00690957,-0.00087565,-11.185,-628849,-11.632,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.358,-11.185,-22.93,-19.801,-25.873,-92.437,1764288000000
agoric,0.128034,5.2246277,22761477,0.05,447425726,1145709657,4863643,30,166,196,4322325,0.1898965080341667,0.1898965080341667,2118,62523,agoric,0.0078286,5406015,2048,8399415,67783,0.00807962,0.0069215,-0.00010763,-1.356,-76401,-1.394,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-1.664,-1.356,-24.286,-28.583,-29.989,-91.837,1764201600000
agoric,0.128121,5.2523661,22744939,0.05,447063207,1145559563,4863643,30,166,196,4321658,0.1900052578729712,0.1900052578729712,2119,62523,agoric,0.00793785,5482416,2023,8518120,52653,0.00855133,0.00699248,-0.00054718,-6.449,-377921,-6.449,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,5.175,-6.449,-25.241,-8.31,-23.293,-92.287,1764115200000
agoric,0.127822,5.238292700000001,22728468,0.05,448047991,1145410096,4863643,30,166,196,4320985,0.19011334155914072,0.19011334155914072,2119,62523,agoric,0.00848498,5861107,1984,9106499,40297,0.00888906,0.0077235,0.00067228,8.605,472602,8.771,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.104,8.605,-19.196,-0.783,-11,-91.331,1764028800000
agoric,0.12784,5.2218583,22711957,0.05,447927418,1145260285,4863643,30,166,196,4320390,0.19022535134246688,0.19022535134246688,2140,62523,agoric,0.00780125,5388596,2025,8372350,62835,0.00894201,0.00766756,-0.00010989,-1.389,-75603,-1.384,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.348,-1.389,-21.898,-14.06,-20.91,-92.904,1763942400000
agoric,0.12792,5.2192237,22695403,0.05,447588123,1145110113,4863643,30,166,196,4319640,0.19033105514804033,0.19033105514804033,2139,62496,agoric,0.00792575,5474081,1993,8505170,26994,0.00825827,0.00785221,-0.00032278,-3.913,-224135,-3.933,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.089,-3.913,-17.654,-22.755,-14.683,-92.119,1763856000000
agoric,0.127942,5.2174448,22678875,0.05,447452747,1144960179,4863643,30,166,196,4318825,0.19043382883851162,0.19043382883851162,2158,62496,agoric,0.00824845,5696933,1974,8851418,40946,0.00909349,0.00824329,-0.00084504,-9.293,-582925,-9.282,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.494,-9.293,-7.594,-23.926,-7.057,-91.527,1763769600000
agoric,0.127628,5.2384125,22662315,0.05,448494625,1144809974,4863643,30,166,196,4317958,0.19053472692441173,0.19053472692441173,2145,62484,agoric,0.00909351,6280761,1945,9758523,45051,0.01080873,0.00838271,-0.0012248,-11.87,-887144,-12.377,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.797,-11.87,4.884,-13.112,-5.222,-89.775,1763683200000
agoric,0.127466,5.2290884,22645801,0.05,449006115,1144660215,4863643,30,166,196,4317162,0.190638520580482,0.190638520580482,2160,62483,agoric,0.01037784,7167905,1871,11136893,20291,0.01065773,0.01025789,-0.00027989,-2.626,-193054,-2.623,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.957,-2.626,-5.327,20.726,-0.364,-88.248,1763596800000
agoric,0.127449,5.2795815,22629271,0.05,449006490,1144510330,4863643,30,166,196,4316406,0.19074436821230345,0.19074436821230345,2149,62477,agoric,0.01065751,7360959,1870,11436844,22626,0.01079854,0.01056337,0.00009414,0.891,49525,0.677,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.372,0.891,15.418,32.266,4.027,-88.555,1763510400000
agoric,0.12744,5.3158968,22612920,0.05,448981097,1144362097,4863643,30,166,196,4315667,0.19084961163794856,0.19084961163794856,2171,62477,agoric,0.01055873,7291026,1861,11328187,41305,0.01120914,0.0100237,0.0005176,5.155,376884,5.451,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.185,5.155,23.466,25.637,10.934,-87.252,1763424000000
agoric,0.127723,5.2868865,22596644,0.05,447929722,1144214554,4863643,30,166,196,4314596,0.1909396811314105,0.1909396811314105,2170,62476,agoric,0.01001358,6916051,1913,10745583,42947,0.01010242,0.00956692,0.0002748,2.822,281868,4.249,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.148,2.822,10.311,3.934,10.666,-87.179,1763337600000
agoric,0.127575,5.3364389,22580309,0.05,448388676,1144066495,4863643,30,166,196,4313683,0.1910373768578632,0.1910373768578632,2170,62476,agoric,0.00973858,6634183,1955,10307640,19119.22,0.00993243,0.00880772,0.00089221,10.086,530815,8.697,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.074,10.086,-5.087,-1.091,5.664,-83.304,1763251200000
agoric,0.12758,5.3018778,22564059,0.05,448315692,1143919226,4863643,30,166,196,4312889,0.19113976789371095,0.19113976789371095,2187,62475,agoric,0.00885272,6103368,2007,9482904,36286,0.00900461,0.00864456,0.00014739,1.693,92376,1.537,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.631,1.693,-18.353,-9.993,-13.881,-82.256,1763164800000
agoric,0.127583,5.2968758000000005,22547738,0.05,448245271,1143771341,4863643,30,166,196,4312050,0.19124091294656698,0.19124091294656698,2212,62472,agoric,0.00870518,6012466,2053,9341668,32234,0.00909047,0.00844613,0.00025904,3.067,178998,3.068,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,0.428,3.067,-16.822,-13.148,-26.635,-84.803,1763078400000
agoric,0.127288,5.3069391,22531419,0.05,449227316,1143623475,4863643,30,166,196,4311267,0.19134467296533786,0.19134467296533786,2222,62472,agoric,0.00863839,5967502,2083,9271807,61488,0.01166086,0.00820858,0.00031846,3.828,221654,3.858,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-0.279,3.828,0.491,-12.756,-23.527,-84.978,1762992000000
agoric,0.126872,5.215092899999999,22515047,0.05,450642225,1143475149,4863643,30,166,196,4310252,0.1914387298414256,0.1914387298414256,2281,62470,agoric,0.00836145,5745848,2133,8927419,55682,0.00945737,0.00813804,-0.00053042,-5.965,-1174834,-16.976,690667354,1073101297,0,0.751177,1661856609443,0.00399908,1758876175272,-3.417,-5.965,3.77,-10.86,-24.93,-87.249,1762905600000
