id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
112,Inter Protocol Sunset Liquidate the reserve module account,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1760121141000,1760121141000,1760380341000,undefined,21990082,agoric1ga2enjqp0cep7g25fh3knmrgy9ewu8w9dwc5qy,164290221.113668,68.602091,0.164534,7287911.67195
111,Ymax Portfolio Contract Beta Deployment,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1759472162000,1759472162000,1759731362000,undefined,21865118,agoric10tw7jhppqw2xky98tfakzvgdn2svxdffhv53lp,175166559.111154,0,0,19217811.706498
110,Upgrade to agoricupgrade22,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1758224541000,1758224713000,1758483913000,undefined,21627037,agoric1rjsqwx2arcx9mz0ldtm44ytkfd3l60cruu472a,154420717.074032,0,0,18826637.630573
109,Reduce Validator Set Size to 30 Updated,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1757743270000,1757743442000,1758002642000,undefined,21536004,agoric1mqezhxm306q2k72p34rnfvu0a7vqfm4tmq587a,188140154.935573,13602192.669576,0,18018150.394409
108,Recover IBC light client for Neutron,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1757585230000,1757585230000,1757844430000,undefined,21506452,agoric1705swa2kgn9pvancafzl254f63a3jda9p40vgg,187248615.288573,207,0,18710553.202809
107,Reduce Validator Set Size to 30,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1757402622000,1757406362000,1757665562000,undefined,21472277,agoric1mqezhxm306q2k72p34rnfvu0a7vqfm4tmq587a,213643777.903243,17853972.6224,1969773.915816,22605958.833671
106,YMax Alpha 14 Improve Robustness for Control of ymax0 Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1756573537000,1756573537000,1756832737000,undefined,21317064,agoric10tw7jhppqw2xky98tfakzvgdn2svxdffhv53lp,167316983.971453,7961879.781519,0,21709821.635378
105,Agoric Developer Toolkit Workshop Series,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,REJECTED,1756243931000,1756243931000,1756503131000,undefined,21255259,agoric1ef3qwma35ve4r30tgm77st44ew4qxka27fvtw5,14333436.831437,110504373.806848,1552.256458,51682890.017637
104,YMax Alpha 13 Delegate Control of ymax0 Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755566146000,1755566146000,1755825346000,undefined,21128200,agoric10tw7jhppqw2xky98tfakzvgdn2svxdffhv53lp,190191807.5758,1729.488145,0,18519385.013774
103,YMax Alpha 12 Additional Protocols for Alpha Testing,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1754330440000,1754330440000,1754589640000,undefined,20896680,agoric10tw7jhppqw2xky98tfakzvgdn2svxdffhv53lp,185574943.208634,0,0,18523758.433535
102,Inter Protocol Sunset Invite DCF to liquidate the reserve,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1754055949000,1754055949000,1754315149000,undefined,20845398,agoric1ga2enjqp0cep7g25fh3knmrgy9ewu8w9dwc5qy,170603758.410682,19387.661446,1.107894,26505238.018714
101,YMax Alpha 11 Unblock Proposal 100 Execution,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1753138656000,1753138656000,1753397856000,undefined,20676912,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,205395422.288959,2707,0,18218842.285688
100,YMax Alpha 1 A Step Toward Seamless DeFi Control,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1752623258000,1752623258000,1752882458000,undefined,20582951,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,174717571.344715,2988386.041819,0,18736927.861759
99,Upgrade to agoricupgrade21,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1752105249000,1752105403000,1752364603000,undefined,0,null,234082823.040912,0,0,329.30972
98,reset MintLimit to 1M IST in PSMs for USDC USDT,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1749244958000,1749244958000,1749504158000,undefined,19983693,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,163325772.519367,501.002267,0,29077703.441319
97,Denominate swingset fees in BLD,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1748037258000,1748196061000,1748455261000,undefined,19778338,agoric1ga2enjqp0cep7g25fh3knmrgy9ewu8w9dwc5qy,217712148.054084,13.714691,29.363844,21593187.492903
95,Upgrade to agoricupgrade20,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1747950846000,1747951275000,1748210475000,undefined,0,null,205069188.528862,0,0,19112308.590716
94,Fast USDC Beta support for EVM destinations,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1747252599000,1747252599000,1747511799000,undefined,19649376,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,229568052.074403,1432721.554673,0,19072635.266544
93,93 Signaling Proposal for the Strategic Sunsetting of Inter Protocol,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1745860479000,1745860479000,1746119679000,undefined,19416043,agoric12avjgp74g9tg56qcaz07xs3szvux5wc89l94dt,175831143.123362,73923.18807,200000.20186,56019591.171168
92,reset MintLimit to 500K IST in PSMs for USDC USDT,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1744764643000,1744764643000,1745023843000,undefined,19230618,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,238514801.234842,0,2084.112528,21238495.952699
91,Upgrade to agoricupgrade19mainnet,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1742952229000,1743000732000,1743259932000,undefined,18924790,agoric1c5vckuk54tapkzc3d0j9hegqpvgcz24jzf0t4d,277797446.676704,1581.64224,0,0
89,Fast USDC Release Candidate 2,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1741817798000,1741817798000,1742076998000,undefined,18744565,agoric10tw7jhppqw2xky98tfakzvgdn2svxdffhv53lp,206382786.183435,1280607.247224,0,21264486.621538
88,Fast USDC Accelerating CrossChain USDC Transfers,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1741047138000,1741047138000,1741306338000,undefined,18617652,agoric1amhrnyzvmzj7ugd83n0jk8lme64zlwdv6u52gl,258112427.941464,1277155.429741,0,15975141.596559
