address,moniker,commission,rank,token,votingPower,timestamp
agoricvaloper108p8an08ztyxp8yhd2ca5zn456e3myqksy22pa,polkachucom,0.03,1,64546519,0.151846,1765152000000
agoricvaloper14lultfckehtszvzw4ehu0apvsr77afvy4d3pzq,DokiaCapital,0.05,2,63912599,0.150354,1765152000000
agoricvaloper1ud49jmefce60m0fqvm9y0v860fptssgrpwu6h2,alkadeta  1 Fee Forever,0.01,3,28424966,0.06687,1765152000000
agoricvaloper1k4v79jf7fxc69p39jnak48aehy8tq2q2hw8qps,Figment,0.05,4,28308315,0.066595,1765152000000
agoricvaloper13j5emt4pt273flx44c9uawrsk0fl3fmcg4sa4k,Cosmostation,0.05,5,22981023,0.054063,1765152000000
agoricvaloper18tl9ph67ptsxwk477qpcqzr7enjtehew66fmpg,FinoaConsensusServices,0.1,6,20907573,0.049185,1765152000000
agoricvaloper1df98lt4ph685ujr69jy5w8xvrtszad7te7pna9, AutoStake  Slash Protected,0,7,20719310,0.048742,1765152000000
agoricvaloper1c6aurw2aq095772v6q5geldrdse0jv3rrncymg,GoodTeam,0.01,8,14672273,0.034517,1765152000000
agoricvaloper1dm5l7udmdc66lza5dvhtmqw0m6u640qc0c2ymg,stake2earn,0.05,9,13859844,0.032605,1765152000000
agoricvaloper1kh8nwuee2y353u6nmv8jffpvhtzs7xu8f4klam,Simply Staking,0.1,10,13792668,0.032447,1765152000000
agoricvaloper1w2fe5lu8jp02xtaxlak0456fjthe588xwqjmaz,NodesGuru,0.04,11,11906981,0.028011,1765152000000
agoricvaloper17k4wstnvtyt7pt8qnfamrdpkkj7f5qqvf6heg3,TheNopio,0.03,12,11423345,0.026873,1765152000000
agoricvaloper1ev9nl6pl5trgvrc7chntj937m42aznn28crcs8,Vitwit Previously Witval,0.05,13,11297009,0.026576,1765152000000
agoricvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qzs405m,Stakecito,0.05,14,10341828,0.024329,1765152000000
agoricvaloper1fy8r6zq3dde6n7ak6eqy5zsrp3s7sz833dmv32,Encapsulate fka KingSuper,0.05,15,10210782,0.024021,1765152000000
agoricvaloper1e6hnnp2vyt46r4dmlqtywt6rg9w3eanka4tk73,Keplr,0.1,16,8621121,0.020281,1765152000000
agoricvaloper1c5vckuk54tapkzc3d0j9hegqpvgcz24jj3uzfv,POPS Team,0.1,17,8088381,0.019028,1765152000000
agoricvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02y2fcsc,DSRV,0.05,18,7922661,0.018638,1765152000000
agoricvaloper1ahd5z754dkgqxuc5fcwd2s5tatmpurhsdeqes2,0xFury,0.1,19,7807916,0.018368,1765152000000
agoricvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xw4w0z6,iqlusion,0.1,20,7660550,0.018021,1765152000000
agoricvaloper148xd583ya4pjs3g7wj2h2eatsy294azk452k6v,01node,0.05,21,7636143,0.017964,1765152000000
agoricvaloper1s8kfsaa8g45ucwkkthl9ccagmecmj4uxdu2hkj, CryptoCrew Validators IBCgang,0.05,22,7311776,0.017201,1765152000000
agoricvaloper1uemhjcameshyrts58p38rkd7vmmfsry4z4xn3m,pathrocknetwork,0.05,23,6686181,0.015729,1765152000000
agoricvaloper13yy5mk8ek8p5kk3e8nleucw003nt2vmzxrdx36,POSTHUMAN  StakeDrop,0.1,24,6412375,0.015085,1765152000000
agoricvaloper1ppa65ec56rqvf4z4v393l0n7llnscw483wkn57,AlchemistStake,0.1,25,6154798,0.014479,1765152000000
agoricvaloper1ku5sm2twlsywdrp4wz3kfwgyrtqtp0lpr3nvk8, kjnodescom ,0.1,26,5860376,0.013787,1765152000000
agoricvaloper1xvz54pusznw8t76985kl3v2epduhyuscr4zxx3,Provalidator,0.05,27,5654485,0.013302,1765152000000
agoricvaloper1xvzrfcwnegxqgtqlswnra6g7483puykr5w627y,GlibxNodes,0.1,28,5346697,0.012578,1765152000000
agoricvaloper1rjsqwx2arcx9mz0ldtm44ytkfd3l60crvyxhku,Tessellated,0.1,29,5301641,0.012472,1765152000000
agoricvaloper1hfdly9kqqz5xpp7hzf276eau6fqqpflq4vfxrn,VALIDARIOS,0.05,30,5185935,0.0122,1765152000000
agoricvaloper1nkrt7kjln9rsypg3m4k23q703nww9lj9msvqp5,Sunsetted Validator  Please Redelegate,0.1,31,4782438,0.011251,1765152000000
agoricvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4acufxj,0basevc,0.05,31,4518849,0.010631,1765152000000
agoricvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvyfzg08,Sunsetting  Please redelegate,0.05,31,4494067,0.010572,1765152000000
agoricvaloper13pkmjguqfjyct7jf32fezqd53590l7mtg2cnwc,StakeAngle,0.1,31,4431725,0.010426,1765152000000
agoricvaloper134kd5z3qevafrmf0pljwny9gn6wc5reh9wxw66,0XGenesisBlock,0.1,31,4282974,0.010076,1765152000000
agoricvaloper1pplpr0r32duzty7vl20vfqxqn5v47txjz7dkjz,Sunsetting on Jan 24  please redelegate,0.1,31,4119182,0.00969,1765152000000
agoricvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5shcm4rq,Sunsetting please redelegate Informal Systems,0.05,31,3863118,0.009088,1765152000000
agoricvaloper1m47vds3c4qj47hz57mumwc90ep7jcaxg9ck8xv,wave,0.05,31,3658994,0.008608,1765152000000
agoricvaloper190kjvwntzl7m0034ua2d6xnwr8h5nwh92p08jg,BronBro,0.05,31,3654142,0.008596,1765152000000
agoricvaloper1lyd2kep0syxkawnxm857cn9wlc578j8e4ygnny,ZanshinDojo,0.1,31,3448636,0.008113,1765152000000
agoricvaloper1tfmed8ueaxrmdsvkecrae6renyxjct8xwdkes5,w3coins,0.05,31,3271810,0.007697,1765152000000
agoricvaloper19ylpgq8lww92vf7ecuw5np3crv0t5hl9g6ky4g,Serhio911,0.1,31,3260651,0.007671,1765152000000
agoricvaloper1dvh79mcur9vsntulutrdglcthsm8ecm8tv7vf2,STAKEME,0.05,31,3256600,0.007661,1765152000000
agoricvaloper1nkhsz0uk0d8qd4p7unrwej0j3ne8acpk9dd3sg,NodeStake,0.1,31,3170850,0.007459,1765152000000
agoricvaloper1avjyymefy3wzepse09q3hrgnla3fjr72av43e9,StakeCraft,0.07,31,3098925,0.00729,1765152000000
agoricvaloper13ypv8k9qf7ztlt3cpqf2s8raazkw3eyujpw2u3,STC Capital,0.09,31,3046557,0.007167,1765152000000
agoricvaloper1x34ru60cx0jhaeucnwccg904q26yycw7jmgxxt,qubelabs,0.08,31,3013662,0.00709,1765152000000
agoricvaloper16jmvpsgshac4hl46rfh5evugg36k5ch3jknm74,Hindsight,0.05,31,2861578,0.006732,1765152000000
agoricvaloper1ypwzuhaffvr06ktu0ne6lnm69gxj32qw00ykav,KalpaTech,0.05,31,2840312,0.006682,1765152000000
agoricvaloper1v2hg9k77rm4dt5a33g0dejtjyeywl0hpyr6nmf,Chainp2p,0.05,31,2808385,0.006607,1765152000000
agoricvaloper14vcxy02ve22sgwpudclxv25m0hst56lnxhfmvj,InfStones,0.1,31,2803711,0.006596,1765152000000
agoricvaloper1z89utvygweg5l56fsk8ak7t6hh88fd0ak0qvfl,Inotel,0.05,31,2561284,0.006025,1765152000000
agoricvaloper1j7ywdpe77ysau0kg6ssy9w0ly9y7pavdc22f49,Syd  SUNSETTING  Please redelegate,0.04,31,2522513,0.005934,1765152000000
agoricvaloper1he75c0l5p0400rmw0zpzaca2kvcupeael2w48p,shutdown pls redelegate OmniFlix Network,0.05,31,2467052,0.005804,1765152000000
agoricvaloper13l7rzp5yjnpnsus8xy8q4ere5agtg37frphfjk,Lets Node restakeapp compatible,0.05,31,2377205,0.005592,1765152000000
agoricvaloper14xm0m4kx8t707cjks9y46xws0sh95h8gt5zce4,Bitscale Labs,0.04,31,2330890,0.005483,1765152000000
agoricvaloper1c3wxkr72ustalvwcfn3uctcsu9c6wewzqrxl2q,Frens ,0.05,31,2241687,0.005274,1765152000000
agoricvaloper1dg9pxl5etfnhl40xdxr8uuc0hx88my3eecevrs,Enigma,0.05,31,2238797,0.005267,1765152000000
agoricvaloper1pf4dt8kcyc0vjrfedgckw57la9tarmx0mt439g, KysenPool Build ,0.1,31,2200008,0.005176,1765152000000
agoricvaloper1usfqvckc9lgajp6me4ev3jxalawljlcrghy0g4,Vixello,0.05,31,2033229,0.004783,1765152000000
agoricvaloper17cn500qdaqly0rqcp2alzewnggns997gq8l9s0,CryptoSailors,0.1,31,1967698,0.004629,1765152000000
agoricvaloper16285m22yexr63k2x6npgrhjysf8n2chxrzp0nz,Lemniscap,0.05,31,1955849,0.004601,1765152000000
agoricvaloper1l5uc9shzdgph8da3ntdzeewyheh3ry9a65ynwj,ALTER,0.05,31,1808208,0.004254,1765152000000
agoricvaloper1cjs0sgxz709mvfyzje7tzsflyhcvrpxv04m2dl,Envelop  GodsHunter,0.04,31,1797237,0.004228,1765152000000
agoricvaloper1mxhgvj2c93xahahx9d9fc7rwwtufqza5cn6uhn,Stakelyio  Please Redelegate,0.05,31,1716043,0.004037,1765152000000
agoricvaloper1uln005jgm9f38whgau8n8tpmwxeaeahejzyu6n,OWALLET,0.01,31,1703395,0.004007,1765152000000
agoricvaloper1s55crdh7fgn8z7vvhdfc52f8zwq03cng9wryuj,hiretrade,0.08,31,1701145,0.004002,1765152000000
agoricvaloper1snn4uhxh04gzpgk4l8naw3n6fu7ucwx3lwk9dq,Chainflow,0.07,31,1624691,0.003822,1765152000000
agoricvaloper1ez46hdr7n8ewghmvsqpqwg5a8t2w2rad33s3sz,ushakov,0.05,31,1413986,0.003326,1765152000000
agoricvaloper1llcs6xwp6gdv4t2krmyupfjjr0xyuwk9npyhzs,Colinka,0.05,31,1385786,0.00326,1765152000000
agoricvaloper1upz9xpay0qx0vqealgr69ejtpzj5gskla5v0d9,StakeService,0.05,31,1280642,0.003013,1765152000000
agoricvaloper1ppydrmyjtjwetcz0qqktgeaamqzz3rualxagqy,Shutting Down  Please redelegate,0.05,31,1256985,0.002957,1765152000000
agoricvaloper1gg272pvj5vpdzu058pc7kkdggyh7xguplckddy,FairStaking,0.1,31,1251256,0.002944,1765152000000
agoricvaloper1ahq8d70psln40fkwpghtq59yxq4l8vx9x0ap7p,PDPValidator,0.1,31,1204492,0.002834,1765152000000
agoricvaloper1kxekyxvywtqexan9m9uju69ger67vefeeuhgrz,Wanderer Staking,0.1,31,1203956,0.002832,1765152000000
agoricvaloper1symf474wnypes2d3mecllqk6l26rwz8mwr9wu5,BlockHunters ,0.05,31,1202167,0.002828,1765152000000
agoricvaloper1hv0sxj8synffg73kka8zsllnmxn9ns30j9ac02,onchain,0.05,31,1153475,0.002714,1765152000000
agoricvaloper1gu9eh79ushxrq4c99jp4pkdd3x2glgmmml3dz5,Please undelegate,0.05,31,1144706,0.002693,1765152000000
