chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
akash,0.108686,5.90026,24528637,0.08,104407706,283691813,6395602,100,177,277,30153102,1.2293019787442734,1.2293019787442734,10425,1025131,akash-network,0.432116,122020140,366,122557720,5096317,0.447086,0.423021,-0.01042357,-2.355,-3017194,-2.413,282446611,283690976,388539008,8.07,1617735588484,0.164994,1669062653727,0.273,-2.355,-15.331,-11.145,-35.853,-90.567,1765152000000
akash,0.108689,5.9113885999999995,24514000,0.08,104381532,283628618,6363871,100,177,277,30140774,1.229533083136167,1.229533083136167,10563,1025047,akash-network,0.442634,125037334,365,125560266,3302906,0.443934,0.434717,0.00304637,0.693,870364,0.701,282446611,283627863,388539008,8.07,1617735588484,0.164994,1669062653727,0.128,0.693,-10.443,-8.538,-21.686,-90.651,1765065600000
akash,0.109158,5.9078181,24499371,0.08,103910169,283565467,6332250,100,177,277,30130974,1.2298672484285413,1.2298672484285413,10712,1024920,akash-network,0.439467,124088805,363,124579981,6010368,0.46614,0.435244,-0.02298843,-4.971,-6556194,-5.018,282446611,283564608,388539008,8.07,1617735588484,0.164994,1669062653727,-0.075,-4.971,-14.09,-4.437,-24.555,-90.333,1764979200000
akash,0.108833,5.9247510000000005,24484760,0.08,104197154,283502480,6300694,100,177,277,30121523,1.2302151624112305,1.2302151624112305,10712,1024920,akash-network,0.462466,130644998,358,131132867,7062186,0.483486,0.455619,-0.01905247,-3.957,-5453492,-4.007,282446611,283501354,388539008,8.07,1617735588484,0.164994,1669062653727,-0.351,-3.957,-14.402,-10.897,-19.47,-89.18,1764892800000
akash,0.108714,5.9031566,24470147,0.08,104288024,283439435,6268985,100,176,276,30110277,1.2304902377578688,1.2304902377578688,10981,1024794,akash-network,0.481856,136098490,357,136576553,10281521,0.48592,0.473228,0.00557524,1.171,1631355,1.213,282446611,283438740,388539008,8.07,1617735588484,0.164994,1669062653727,-0.369,1.171,-6.726,-8.1,-20.27,-88.368,1764806400000
akash,0.108688,5.9135987000000005,24455513,0.08,104289359,283376305,6237353,100,176,276,30094951,1.2305998651510601,1.2305998651510601,11062,1024751,akash-network,0.476102,134676484,355,135119236,8833764,0.486147,0.447771,0.02662868,5.924,7673000,6.042,282446611,283375162,388539008,8.07,1617735588484,0.164994,1669062653727,-0.576,5.924,-6.653,-11.487,-31.131,-88.204,1764720000000
akash,0.109132,5.9040925,24440909,0.08,103842743,283313322,8558637,100,176,276,30078656,1.2306684665451681,1.2306684665451681,11040,1024751,akash-network,0.449885,127003483,356,127392834,10357048,0.503948,0.436567,-0.05406309,-10.728,-15253767,-10.723,282446611,283312498,388539008,8.07,1617735588484,0.164994,1669062653727,0.261,-10.728,-9.064,-15.658,-38.007,-89.585,1764633600000
akash,0.109208,5.889995,24426264,0.08,103747069,283250176,8527002,100,176,276,30065445,1.2308654733282176,1.2308654733282176,11125,1024487,akash-network,0.502852,142257250,345,142661516,5918649,0.515438,0.493617,0.00771929,1.559,2395105,1.712,282446611,283249267,388539008,8.07,1617735588484,0.164994,1669062653727,-1.234,1.559,3.4,-9.362,-29.736,-88.331,1764547200000
akash,0.109644,5.879297,24411580,0.08,103311358,283186881,8495306,100,176,276,30054522,1.2311584092467591,1.2311584092467591,11431,1024487,akash-network,0.495182,139862145,351,140228352,5396460,0.510343,0.492927,-0.01391674,-2.734,-4147364,-2.88,282446611,283186153,388539008,8.07,1617735588484,0.164994,1669062653727,0.211,-2.734,2.32,-13.262,-29.895,-88.422,1764460800000
akash,0.109631,5.8790944000000005,24396884,0.08,103300821,283123540,8463588,100,176,276,30041928,1.2313838111457185,1.2313838111457185,12143,1024439,akash-network,0.509399,144009508,347,144354303,8183937,0.537161,0.50913,-0.02081548,-3.926,-5807295,-3.876,282446611,283122859,388539008,8.07,1617735588484,0.164994,1669062653727,-0.291,-3.926,7.736,-10.294,-36.926,-88.241,1764374400000
