id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
313,Akash Client Engineering  Q3 Funding Proposal,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1764092596000,1764092596000,1764697396000,undefined,24349017,akash1u7dmhg2vvu3h3p2cfqmn4zpemwmx6ryu0du0y3,46784173.750774,8520.589836,16841.989648,1714863.669284
312,Akash Core Engineering  Q3 SDK53  Funding Proposal,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1764092098000,1764092098000,1764696898000,undefined,24348933,akash1u7dmhg2vvu3h3p2cfqmn4zpemwmx6ryu0du0y3,46497396.350201,7738.499852,16841.989648,1286266.950494
311,v110,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1763875058000,1763876474000,1763962874000,undefined,24312664,akash1xrvksdjxnhk5rkz420k5km6cl7f0xs48eq32rc,79521466.66675,0,0,73.051547
310,Zealy Q4  Vote passed distribution failed bugged funds request,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1762271882000,1762271882000,1762876682000,undefined,24041876,akash1geya2nmd8tngaegxvd7mg3eqzav50xkfrg8ujc,35391993.154595,2209057.661064,5005,661436.747959
309,Updated Zealy Q4 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,FAILED,1761582622000,1761582622000,1762187422000,undefined,23927301,akash1geya2nmd8tngaegxvd7mg3eqzav50xkfrg8ujc,15754215.969333,11486293.292477,2604.220499,19457286.440482
308,v100,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1760986526000,1761004655000,1761609455000,undefined,23826599,akash1xrvksdjxnhk5rkz420k5km6cl7f0xs48eq32rc,60541441.563877,0,0,2208.112315
307,REVISED Digital Immortality Framework  Autonomous Agent Infrastructure on Akash Network,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1760661970000,1760661970000,1761266770000,undefined,23771863,akash1h6ll9zxmcsa84h08p32k8ylp5rhs0y0clsw4cn,25321673.857021,31982112.149963,23026.102402,2242792.407008
306,Decentralized Cloud Foundation Operational Expenses,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1760390131000,1760390313000,1760995113000,undefined,23726007,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,42896534.557549,860522.549292,31.74913,7958599.502729
305,Zealy 2025 Program Q4,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1760286290000,1760286290000,1760891090000,undefined,23708545,akash1geya2nmd8tngaegxvd7mg3eqzav50xkfrg8ujc,12120393.791792,20098828.147102,745.927236,18134043.866007
304,Digital Immortality Framework  Autonomous Agent Infrastructure on Akash Network,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1759088541000,1759088541000,1759693341000,undefined,23507114,akash1h6ll9zxmcsa84h08p32k8ylp5rhs0y0clsw4cn,2220682.163681,39462067.901871,19189.257131,8128140.63689
303,Provider Incentive Pilot 3,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1757012318000,1757012318000,1757617118000,undefined,23156586,akash1u7dmhg2vvu3h3p2cfqmn4zpemwmx6ryu0du0y3,47475443.946209,7351.086039,4161.62824,3093201.091277
302,Akash Adoption Lab,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1756209192000,1756209192000,1756813992000,undefined,23021314,akash1muxl5623hseqmqrzvhs4c6qcunk444z75gmhrp,2329067.044278,51430295.313432,25292.739397,4005719.801534
301,Blockworks Research Akash DataDashboard,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1755114706000,1755114706000,1755719506000,undefined,22836670,akash1u0hgy25ts6vuzkxfz3e9vmty2s86a6e0xtef3m,41842470.576399,10631566.262796,726.477073,6270587.778973
300,2025 Q3 Events Resourcing Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1755100590000,1755100974000,1755705774000,undefined,22834288,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,57182265.439302,2069553.796168,500,2373887.835646
299,Blockworks Research Akash Network DataDashboard,/cosmos.gov.v1beta1.TextProposal,PASSED,1755011421000,1755011421000,1755616221000,undefined,22819250,akash1u0hgy25ts6vuzkxfz3e9vmty2s86a6e0xtef3m,43097882.801314,10666211.789895,755.719136,10524516.837193
298,Community Support for Akash Chat Akash ChatAPI and AkashGen,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1754663094000,1754663283000,1755268083000,undefined,22760417,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,44922042.015545,2070688.693017,5254.053289,9796319.476482
297,Akash Tenant Incentives Pilot,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1753888080000,1753888239000,1754493039000,undefined,0,null,57840203.370648,8969,0,6189016.324263
296,Zealy 2025 Program Q3,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1751638109000,1751638109000,1752242909000,undefined,22251558,akash1geya2nmd8tngaegxvd7mg3eqzav50xkfrg8ujc,41216438.793172,844901.111968,767.809841,9064799.620053
295,Akash Community Programs Q3 2025 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1751563171000,1751563352000,1752168152000,undefined,22239016,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,55359363.070593,793.638888,0,5002632.977191
294,Reactivate expired IBC client for Umee,/ibc.core.client.v1.ClientUpdateProposal,PASSED,1751294653000,1751294653000,1751899453000,undefined,0,null,55558548.767559,322.680249,0,1716708.900063
293,2025 H2  Community Growth Marketing,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1750873670000,1750873895000,1751478695000,undefined,22123500,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,49698314.94719,1260292.843665,1379.068222,9239054.60664
292,H1 2025 AEP Support Services,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1750161713000,1750161827000,1750766627000,undefined,22004013,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,47624644.1181,6771.718323,0,4258322.817657
291,DeAI Hub,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1749656561000,1749656792000,1750261592000,undefined,21918984,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,48894324.913387,9548.850589,0,11474941.34886
290,AEP 62 63  64  New Features and Quality of Life Improvements for the Akash Network,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1749040472000,1749040856000,1749645656000,undefined,21815085,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,51283480.246674,9136.402095,0,11163145.892869
289,Akash Accelerate 2025,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1745249244000,1745249416000,1745854216000,undefined,21181346,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,49013262.856831,14756.042785,0,15796332.719335
288,AEP 32  Provider Console,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1744213483000,1744213812000,1744818612000,undefined,21008468,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,44808547.197155,10964.676433,542.266605,19710708.923215
287,Akash Community Activities Q2 2025 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1743694731000,1743695068000,1744299868000,undefined,20921872,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,55627586.116466,33490.118204,103.185988,11258047.76058
286,Akash Community Programs Q2 2025 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1743434132000,1743434537000,1744039337000,undefined,20878308,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,65318380.428817,19657.512567,380.312104,14191206.327129
285,2025 Q2 Events Resourcing Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1743010597000,1743010827000,1743615627000,undefined,20807320,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,42198424.586152,2876489.200577,287.413935,22405529.378273
284,Public Good Indexing Analytics and MCP integration,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1741789774000,1741789774000,1742394574000,undefined,20606830,akash17q9aykzrnzgx93tdfvxzkrj07wr46ugnw8x9fe,53715152.892565,257479.695847,0,5075712.176241
283,Akash Inflation Update Proposal  March 6 2025,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1741306201000,1741353957000,1741958757000,undefined,20526743,akash1xrvksdjxnhk5rkz420k5km6cl7f0xs48eq32rc,85278861.60978,1650616.216185,23568.712512,5391922.959287
282,Proposal to increase Community Pool Tax,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1741287743000,1741288055000,1741892855000,undefined,20523714,akash1xrvksdjxnhk5rkz420k5km6cl7f0xs48eq32rc,79066261.554217,144329.254344,33058.539628,4849221.224289
281,v0380,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1741097526000,1741130154000,1741734954000,undefined,20492340,akash1xrvksdjxnhk5rkz420k5km6cl7f0xs48eq32rc,88896292.9416,17.74926,0,9349.017892
280,Enhancing Akash Network Market Liquidity and Depth,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1739306725000,1739306996000,1739911796000,undefined,20196612,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,71814624.699237,27752.221293,2.8,3314538.186178
279,2025 Q1 Events Resourcing Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1736967630000,1736968185000,1737572985000,undefined,19810267,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,63476185.253932,3283.334263,3.101,3022410.357238
278,Akash Community Activities Q1 2025 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1735920481000,1735921003000,1736525803000,undefined,19637960,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,67029210.748057,11773.371455,0,7333624.685105
277,Akash Community Programs Q1 2025 Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1735917191000,1735919870000,1736524670000,undefined,19637417,akash1zfq9geh746nmpjwuykacltfq44t7j7n2qzmnda,60238620.481905,11159.954326,2.17,13602628.050635
276,Akash Community MarketingSupport Team Proposal,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1735218361000,1735218361000,1735823161000,undefined,19522132,akash1j2ljk3zzlystvmr8rktm9fxsruaza56p0jvczf,2578682.423275,51023454.739985,25950.443788,9966248.673911
275,Proposal Log Forwarding Integration for the Akash Network,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,REJECTED,1732801364000,1732801364000,1733406164000,undefined,19125095,akash1zwk4k89237hfuclpffw60kvgzwteej3s7v7ct9,9234308.340788,48397505.586979,4276446.867586,3636886.214398
274,Developer Onboarding Funding Proposal 3 Zealy,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1732551226000,1732551226000,1733156026000,undefined,19083842,akash1j2ljk3zzlystvmr8rktm9fxsruaza56p0jvczf,56803606.803965,818026.474579,4585.474412,5497424.337674
