address,moniker,commission,rank,token,votingPower,timestamp
akashvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfkkw8gz,Cosmostation,0.05,1,8613244,0.082491,1765152000000
akashvaloper1qvsus5qg8yhre7k2c78xkkw4nvqqgev7zw5wzs,kavalabs,0.05,2,7609433,0.072877,1765152000000
akashvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0uzn073,Forbole,0.05,3,5759495,0.05516,1765152000000
akashvaloper1ysywap8nllx5fn9had5qhywktnweuquvl4h85t,16psyche,0.05,4,5235668,0.050143,1765152000000
akashvaloper1lxh0u07haj646pt9e0l2l4qc3d8htfx5kk698d,Chandra Station,0.05,5,5120447,0.049039,1765152000000
akashvaloper196yqn478czwsumlrfdxz4vphmy6wwz0c6nz0ae,Nocturnal Labs,0.1,6,4605616,0.044109,1765152000000
akashvaloper1hme3yu8c93jnhv74mcht7agwe5thp8qpgaqffj,Jormungand  0y,0.05,7,4340224,0.041567,1765152000000
akashvaloper16pj5gljqnqs0ajxakccfjhu05yczp987ptmjx9,Chorus One,0.075,8,4073720,0.039015,1765152000000
akashvaloper1xgnd8aach3vawsl38snpydkng2nv8a4kqgs8hf,ECO Stake   REStakeapp,0.05,9,3358793,0.032168,1765152000000
akashvaloper14mt78hz73d9tdwpdvkd59ne9509kxw8yj7qy8f,Cloudmos,0.05,10,2764632,0.026477,1765152000000
akashvaloper1q07u5g9s5cy5d3tj923v0nt870x073elpuqwg2,stakezone,0.05,11,2499094,0.023934,1765152000000
akashvaloper1rwf9jukr8z0w0s9tqr7pyd23j8645whuqy3twe,Sikka,0.05,12,2493131,0.023877,1765152000000
akashvaloper1a4zxtnu9k0zpl6p5hmduc5zz7xrm2dz8vm2ey8,Citadelone,0.05,13,2349706,0.022504,1765152000000
akashvaloper1wuzqc83rdzfxxremcg9v6lt9adxfpz82au7pn5,OmniFlix Network,0.05,14,2212604,0.021191,1765152000000
akashvaloper1c07ughj0a396vdg7t9edy2wyrzr90p02yhl7p8,Allnodes,0.05,15,2212395,0.021188,1765152000000
akashvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q8v8c3u,Stakecito,0.05,16,2158181,0.020669,1765152000000
akashvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pz5w0ry, polkachucom,0.05,17,2099623,0.020108,1765152000000
akashvaloper1strxz39h5fapp7zvn5mvf8xm0ea9aajqjstv6g, AutoStake  Slash Protected,0.05,18,1971945,0.018886,1765152000000
akashvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57ztqs903, LavenderFive Nodes ,0.05,19,1830717,0.017533,1765152000000
akashvaloper1j94vrql3d06065hg3geauf6mpy3efsylxfvp5g,Quasarch,0.05,20,1359352,0.013019,1765152000000
akashvaloper1uckq4fddrwftu6pv4stsm9ffthxkgathezgznj,Smart Stake ,0.05,21,1222956,0.011712,1765152000000
akashvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98aup3je,Kahuna,0.05,22,1151740,0.01103,1765152000000
akashvaloper1zn3efzs3dlxc8vz6yq2axrv68c8wqacxcuxt5t,Praetor App,0.05,23,1118876,0.010716,1765152000000
akashvaloper14mdu3xwpdr4qkayuv0aut5j6l9lgegc4hnvm9e,Meria,0.05,24,1118814,0.010715,1765152000000
akashvaloper1jwchhtn7m0esyt6jgzrgv4ltsyy2kvrxsv0l4u,europlots,0.05,25,1112408,0.010654,1765152000000
akashvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvp4sl2q,Nansen  Stake to Stack Points,0.05,26,1074559,0.010291,1765152000000
akashvaloper1phskre56344dtx5k0ph9sp8n4lsjlrlg8v0242,SmartNodes  Slash Protected,0.05,27,1018462,0.009754,1765152000000
akashvaloper17np2qshe35wsm63qeqz4j2azzerfqfav4qkhle,SG1,0.05,28,964231,0.009235,1765152000000
akashvaloper1ax4c40gn3s74xxm75g6cmts3fw7rq64gq0kaj4,Decloud Nodes Lab,0.05,29,955225,0.009148,1765152000000
akashvaloper1qwlcuf2c2dhtgy8z5y7xxqev96km0n5mw30ls2,Vitwit Previously Witval,0.05,30,888021,0.008505,1765152000000
akashvaloper1enhj36w6clcm5fjnp87jnffnkthfux2uj88l6h,Imperatorco,0.05,31,828749,0.007937,1765152000000
akashvaloper1f0yyaa2ex29wgmh6an0fmdyputjnh9q4ve6een,Colossus,0.1,32,815826,0.007813,1765152000000
akashvaloper1cke3ja95gkg4drpf28vt454k7pt0pvcmm56lqj,Active Nodes,0.08,33,812093,0.007778,1765152000000
akashvaloper1r4sevyvum9ppqlw75t6h0ex9j4j9dzydu8hczm,SpacePotato,0.1,34,793258,0.007597,1765152000000
akashvaloper1sfdl2s9h6mh8k2c7vjw2l4fx69vyt4xelpmnzk,NoDumpNode,0.05,35,784552,0.007514,1765152000000
akashvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5sjyfzx8,Informal Systems,0.05,36,741030,0.007097,1765152000000
akashvaloper1h0lfv7axpx6h6xz0k54q3vkvmlw2yp93cknhum,Blocc Dynamics,0.05,37,725929,0.006952,1765152000000
akashvaloper18xmxazt7zjhhvzv7u49fs8hjy4w7l4dyvvxpuf,Coinage x DAIC,0.05,38,654588,0.006269,1765152000000
akashvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9wawua3kt9,EZ Staking,0.05,39,628034,0.006015,1765152000000
akashvaloper1lscckv3l204makmgewun4chx3y379esju54c4q,Army IDs,0.0999,40,577996,0.005536,1765152000000
akashvaloper1ep8nr7d383ng7pndvl2u9j6c9tdkwyr6dvtn2n,ChainodeTech,0.05,41,550003,0.005267,1765152000000
akashvaloper1j9pajxv4x5ye7wvdcj57g6mvtnsmk9ztgz0htr,50 Validator  Airdrop,0.05,42,540915,0.00518,1765152000000
akashvaloper10tl28erpf6sk3t5kjpu50t0dww3nhgprur62cx,c29r3,0.1,43,519260,0.004973,1765152000000
akashvaloper19c28jnc6ylf0mlmme3xde74cwhunxac3m95778,Bi23,0.1,44,517520,0.004956,1765152000000
akashvaloper1lpykm8ru865ca8hy392uvtnpeqacj3tvwz9f2n,Crypto and Coffee,0.1,45,513798,0.004921,1765152000000
akashvaloper1f6eqjk9zjc7tkzmvdjnz589w0c4sjfx5hd9z3n,WeStaking,0.1,46,513147,0.004915,1765152000000
akashvaloper1f2jpv5sc6ur6yurq5w0t2chphrznpy8l86yse9,Neta DAO,0.05,47,494004,0.004731,1765152000000
akashvaloper189w9p64x4lmwnap07kelrx7xsnnf0annk5fyp9,HashKey Cloud,0.05,48,466642,0.004469,1765152000000
akashvaloper1nd7sgg7g5xa38zp27mfqf2vz7x6d9f4npt9ptt,EllioTrades NEW,0.05,49,447325,0.004284,1765152000000
akashvaloper1clf6h894yeccf7xf08rkckwd5mq7pyutx5mfuk,Autonomy  Formerly PrithviDevs ,0.05,50,446834,0.004279,1765152000000
akashvaloper10xzfwyvguf6eepfewjlptwzz2ylh37a25xzeqt,Kleomedes,0.05,51,428134,0.0041,1765152000000
akashvaloper10wq46f8du234aqtlucv7h9jtrfuxmcnttf90s2,chainvibes,0.05,52,427383,0.004093,1765152000000
akashvaloper10xv3mmp66rf95w0js8mc7ckm6dlwgcsmz76txt,ChainLayer,0.1,53,396189,0.003794,1765152000000
akashvaloper1anegjnv5uq4l6wfa9v4sr53sth7acvzknjrqj7,Wetez,0.1,54,390614,0.003741,1765152000000
akashvaloper136ygq80ek84ffdse9x585jlkycjundwdh492a3,Unity Farms,0.05,55,372149,0.003564,1765152000000
akashvaloper1epnrvkylqpk0f2d3us3cvx7x9tlycz42lwf0v6,Simply Staking,0.1,56,348280,0.003336,1765152000000
akashvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wytk3dw,Frens ,0.05,57,339308,0.00325,1765152000000
akashvaloper12f02azela2tuz7nv3mpurhumtcr9ut6gj765zh,Nodeify,0.05,58,336635,0.003224,1765152000000
akashvaloper1kgnqwn259lalyx8p0yxdvvh0f65vczx4ngcmw8,Atomstaking,0.05,59,313114,0.002999,1765152000000
akashvaloper1dgxdep80th2qm8xxk8h3j3g93npsd3a8jg60gz,StakeLabzone,0.05,60,297911,0.002853,1765152000000
akashvaloper1vgstlgtsx4w80gphwgre0fcvc04lcnaelukvll,Ping,0.05,61,295314,0.002828,1765152000000
akashvaloper18jukq0lpnhx5xtrwtmm9mj3xlfcfh5eg3k0kfn,ALTER  pathrocknetwork,0.1,62,286079,0.00274,1765152000000
