source,target,messages,txs,channel,timestamp,volume,type
althea,gravity-bridge,0,0,transfer/channel-0,1764892800000,0,ack
althea,noble,0,0,transfer/channel-1,1764892800000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764892800000,0,ack
althea,gravity-bridge,0,0,transfer/channel-0,1764892800000,0,receive
althea,noble,0,0,transfer/channel-1,1764892800000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764892800000,0,receive
althea,gravity-bridge,1,1,transfer/channel-0,1764806400000,0,ack
althea,noble,0,0,transfer/channel-1,1764806400000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764806400000,0,ack
althea,gravity-bridge,4,4,transfer/channel-0,1764806400000,0,receive
althea,noble,0,0,transfer/channel-1,1764806400000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764806400000,0,receive
althea,gravity-bridge,0,0,transfer/channel-0,1764720000000,0,ack
althea,noble,0,0,transfer/channel-1,1764720000000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764720000000,0,ack
althea,gravity-bridge,0,0,transfer/channel-0,1764720000000,0,receive
althea,noble,0,0,transfer/channel-1,1764720000000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764720000000,0,receive
althea,gravity-bridge,0,0,transfer/channel-0,1764633600000,0,ack
althea,noble,0,0,transfer/channel-1,1764633600000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764633600000,0,ack
althea,gravity-bridge,0,0,transfer/channel-0,1764633600000,0,receive
althea,noble,0,0,transfer/channel-1,1764633600000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764633600000,0,receive
althea,gravity-bridge,0,0,transfer/channel-0,1764547200000,0,ack
althea,noble,0,0,transfer/channel-1,1764547200000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764547200000,0,ack
althea,gravity-bridge,0,0,transfer/channel-0,1764547200000,0,receive
althea,noble,0,0,transfer/channel-1,1764547200000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764547200000,0,receive
althea,gravity-bridge,1,1,transfer/channel-0,1764460800000,0,ack
althea,noble,0,0,transfer/channel-1,1764460800000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764460800000,0,ack
althea,gravity-bridge,1,1,transfer/channel-0,1764460800000,0,receive
althea,noble,0,0,transfer/channel-1,1764460800000,0,receive
althea,gravity-bridge,0,0,transfer/channel-2,1764460800000,0,receive
althea,gravity-bridge,1,1,transfer/channel-0,1764374400000,0,ack
althea,noble,0,0,transfer/channel-1,1764374400000,0,ack
althea,gravity-bridge,0,0,transfer/channel-2,1764374400000,0,ack
