chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
althea,0.218333,5.8661172,8813384,0.05,4912117,21449549,5494931,61,18,79,7404,0.0008400859420172774,0.0008400859420172774,76,227,althea,0.09533,0,null,null,52701,0.124801,0.092586,-0.02947168,-23.615,0,0,0,0,0,6.13,1759935331686,0.071336,1764959489038,-0.719,-23.615,-4.703,-1.915,-45.836,0,1765152000000
althea,0.221303,5.8895829,8798667,0.05,4845636,21447046,5494931,60,19,79,7399,0.0008409228352431112,0.0008409228352431112,84,227,althea,0.124801,0,null,null,392928,0.176106,0.075996,0.048101,62.713,0,0,0,0,0,6.13,1759935331686,0.071336,1764959489038,0.32,62.713,25.281,23.754,-37,0,1765065600000
althea,0.221278,5.871635899999999,8783991,0.05,4845606,21444551,5494931,60,19,79,7387,0.000840961699528153,0.000840961699528153,87,227,althea,0.075133,0,null,null,13568.61,0.078983,0.071336,-0.00094746,-1.245,0,0,0,0,0,6.13,1759935331686,0.071336,1764959489038,0.007,-1.245,-22.629,-24.841,-60.834,0,1764979200000
althea,0.21827,5.8723752000000005,8769320,0.05,4911827,21442058,5494931,61,18,79,7349,0.0008380353322720576,0.0008380353322720576,87,227,althea,0.076081,0,null,null,23041,0.089921,0.076074,-0.01081282,-12.444,0,0,0,0,0,6.13,1759935331686,0.076074,1764891581277,-1.067,-12.444,-29.821,-21.77,-47.925,0,1764892800000
althea,0.218244,5.8621253,8754675,0.05,4911827,21439568,5494931,61,18,79,7331,0.0008373811706316911,0.0008373811706316911,90,227,althea,0.086894,0,null,null,13594.01,0.100926,0.085331,-0.00117203,-1.331,0,0,0,0,0,6.13,1759935331686,0.085331,1764805170255,0.835,-1.331,-16.562,-20.317,-48.252,0,1764806400000
althea,0.218219,5.890154,8739948,0.05,4911827,21437065,5494931,61,18,79,7331,0.0008387921758802226,0.0008387921758802226,91,227,althea,0.088066,0,null,null,10396.54,0.096705,0.087234,-0.00524216,-5.618,0,0,0,0,0,6.13,1759935331686,0.087234,1764718891383,-2.933,-5.618,-21.488,-30.535,-58.832,0,1764720000000
althea,0.218197,5.8732485,8725280,0.05,4911755,21434573,5494931,61,18,79,7322,0.0008391707773274898,0.0008391707773274898,91,227,althea,0.093309,0,null,null,6455.33,0.100787,0.092374,-0.0074741,-7.416,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-0.002,-7.416,-2.947,-23.941,-58.034,0,1764633600000
althea,0.218174,5.8687667,8710564,0.05,4911691,21432073,5494931,61,18,79,7316,0.0008398996896182612,0.0008398996896182612,89,226,althea,0.100785,0,null,null,1594.46,0.101823,0.098189,0.00180599,1.825,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,0.035,1.825,2.957,-26.671,-54.378,0,1764547200000
althea,0.218149,5.8660493,8695841,0.05,4911684,21429571,5494931,61,18,79,7309,0.0008405167481788133,0.0008405167481788133,88,225,althea,0.098971,0,null,null,11042.71,0.104849,0.096416,0.00255412,2.649,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-0.651,2.649,-1.025,-29.173,-51.474,0,1764460800000
althea,0.218335,5.8578791,8681108,0.05,4906926,21427069,5494931,61,18,79,7300,0.0008409064833659482,0.0008409064833659482,91,225,althea,0.096416,0,null,null,5191.43,0.109149,0.096412,-0.01200139,-11.07,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-0.711,-11.07,-0.29,-26.921,-60.931,0,1764374400000
althea,0.21831,5.8644976,8666359,0.05,4906919,21424564,5494931,61,18,79,7286,0.0008407221533287509,0.0008407221533287509,104,224,althea,0.108418,0,null,null,21478,0.117869,0.100588,0.00434421,4.174,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,0.003,4.174,11.479,-19.265,-61.443,0,1764288000000
althea,0.218298,5.8695452,8651625,0.05,4906620,21422061,5494931,61,18,79,7275,0.0008408824931732478,0.0008408824931732478,104,224,althea,0.104073,0,null,null,24870,0.107477,0.094333,-0.00202711,-1.911,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-0.066,-1.911,-4.564,-23.805,-81.19,0,1764201600000
althea,0.218272,5.8715925,8636901,0.05,4906613,21419565,5494931,61,18,79,6845,0.0007925296353402685,0.0007925296353402685,104,224,althea,0.106548,0,null,null,33475,0.115544,0.093648,0.01042667,10.847,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-2.145,10.847,-15.956,-24.447,-52.145,0,1764115200000
althea,0.218247,5.859976799999999,8622185,0.05,4906606,21417066,5494931,61,18,79,6827,0.0007917946552990919,0.0007917946552990919,104,224,althea,0.09612,0,null,null,2240.36,0.098547,0.09527,-0.00207518,-2.113,0,0,0,0,0,6.13,1759935331686,0.091554,1763705430046,-0.023,-2.113,-21.649,-32.027,-18.451,0,1764028800000
