timestamp,blockCount,txCount
1765065600000,14718,5
1764979200000,14676,12
1764892800000,14670,38
1764806400000,14646,18
1764720000000,14726,0
1764633600000,14668,9
1764547200000,14716,6
1764460800000,14724,7
1764374400000,14731,9
1764288000000,14750,14
1764201600000,14734,11
1764115200000,14724,430
1764028800000,14716,18
1763942400000,14746,6
1763856000000,14733,3
1763769600000,14720,12
1763683200000,14650,14
1763596800000,14668,1
1763510400000,14708,23
1763424000000,14561,5
1763337600000,14633,7
1763251200000,14703,9
1763164800000,14732,11
1763078400000,14732,5
1762992000000,14655,13
1762905600000,14603,21
1762819200000,13756,12
1762732800000,14697,31
1762646400000,14670,28
1762560000000,14647,6
1762473600000,14689,20
1762387200000,14677,35
1762300800000,14696,146
1762214400000,14700,35
1762128000000,14714,33
1762041600000,14679,6
1761955200000,14680,58
1761868800000,14676,5
1761782400000,14691,21
1761696000000,14669,25
1761609600000,14613,21
1761523200000,14681,496
1761436800000,14547,37
1761350400000,14645,9
1761264000000,14652,73
1761177600000,14678,18
1761091200000,14649,25
1761004800000,14559,13
1760918400000,14701,7
1760832000000,14671,9
1760745600000,14709,10
1760659200000,14753,43
1760572800000,14723,21
1760486400000,14473,33
1760400000000,14761,28
1760313600000,14581,31
1760227200000,14691,11
1760140800000,14641,60
1760054400000,14673,96
1759968000000,14665,208
1759881600000,14645,240
1759795200000,14660,35
1759708800000,14688,12
1759622400000,14691,9
1759536000000,14695,17
1759449600000,14592,24
1759363200000,14677,10
1759276800000,14675,46
1759190400000,14678,515
1759104000000,14672,63
1759017600000,14661,7
1758931200000,14670,22
1758844800000,14692,22
1758758400000,14702,20
1758672000000,14677,34
1758585600000,14655,17
1758499200000,14726,19
1758412800000,14760,4
1758326400000,14792,1
1758240000000,14832,17
1758153600000,14822,15
1758067200000,14805,9
1757980800000,14778,5
1757894400000,14808,8
1757808000000,14752,10
1757721600000,14804,11
1757635200000,14770,12
1757548800000,14804,24
1757462400000,14825,32
1757376000000,14809,33
1757289600000,14825,37
1757203200000,14825,18
1757116800000,14815,18
1757030400000,14806,46
1756944000000,14822,10
1756857600000,14733,15
1756771200000,14802,41
1756684800000,14803,31
1756598400000,14796,21
1756512000000,14767,45
1756425600000,14762,36
1756339200000,14656,9
1756252800000,14721,9
1756166400000,14743,11
1756080000000,14743,6
1755993600000,14766,17
1755907200000,14774,8
1755820800000,14765,8
1755734400000,14766,11
1755648000000,14794,7
1755561600000,14776,7
1755475200000,14779,13
1755388800000,14782,9
1755302400000,14758,16
1755216000000,14781,31
1755129600000,14786,70
1755043200000,14800,149
1754956800000,14788,83
1754870400000,14800,9
1754784000000,14781,11
1754697600000,14790,8
1754611200000,14823,8
1754524800000,14770,9
1754438400000,14829,8
1754352000000,14830,8
1754265600000,14812,8
1754179200000,14819,11
1754092800000,14785,6
1754006400000,14803,13
1753920000000,14819,11
1753833600000,14813,10
1753747200000,14773,16
1753660800000,14853,16
1753574400000,15052,3
1753488000000,14983,7
1753401600000,14796,2
1753315200000,14807,3
1753228800000,14816,7
1753142400000,14805,1
1753056000000,14680,5
1752969600000,14738,3
1752883200000,14795,4
1752796800000,14782,2
1752710400000,14799,3
1752624000000,14806,9
1752537600000,14794,3
1752451200000,14795,2
1752364800000,14751,2
1752278400000,14745,3
1752192000000,14732,2
1752105600000,14743,3
1752019200000,14756,2
1751932800000,14745,7
1751846400000,14767,2
1751760000000,14771,3
1751673600000,14773,2
1751587200000,14772,3
1751500800000,14741,4
1751414400000,14755,7
1751328000000,14780,2
1751241600000,14774,3
1751155200000,14766,2
1751068800000,14769,4
1750982400000,14767,2
1750896000000,14793,3
1750809600000,14800,2
1750723200000,14802,3
1750636800000,14813,2
1750550400000,14814,7
1750464000000,14818,2
1750377600000,14819,4
1750291200000,14803,4
1750204800000,14805,4
1750118400000,14811,2
1750032000000,14803,1
1749945600000,14797,2
1749859200000,14799,6
1749772800000,14795,2
1749686400000,14793,2
1749600000000,14783,2
