id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
25,Fund the iFi dex incentives contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1764891259000,1764891259000,1765150459000,undefined,8769075,althea1mecnruekm9m4cexh6ze9vq0rh6gnl9f7czu9jd,1670132.2278358205,0,0,0
24,Allow the nativedex module to call the iFi Dex Incentives contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1764891063000,1764891063000,1765150263000,undefined,8769042,althea1mecnruekm9m4cexh6ze9vq0rh6gnl9f7czu9jd,1670132.2278358205,0,0,0
23,Update the governance depoist amount,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1762364901000,1762364901000,1762624101000,undefined,8340422,althea1mecnruekm9m4cexh6ze9vq0rh6gnl9f7czu9jd,2172263.6448612525,0,0,0
22,Cardinal Upgrade v160,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1762295731000,1762295731000,1762554931000,undefined,8328659,althea1mecnruekm9m4cexh6ze9vq0rh6gnl9f7czu9jd,2826898.3398612523,0,0,0
21,Refund excessive fees from the community pool,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1757363664000,1757437341000,1757696541000,undefined,7489712,althea1ffweemjnyhtzd84p6j6jwlecpdlpmka59clzen,2329104.354462162,781114.22,0,276392.93
19,Enable transfers and the EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1757100292000,1757100292000,1757359492000,undefined,7444535,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3357593.332207469,0,0,0
18,Configure onboarding module for Gravity Bridge,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1756507251000,1756507251000,1756766451000,undefined,7343023,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,4004993.9909690507,0,0,0
17,Althealink Initial Pools Proposal,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1756495115000,1756495115000,1756754315000,undefined,7340950,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3898224.990969051,0,0,106769
16,Adopt the iFi DEX,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755131814000,1755131814000,1755391014000,undefined,7108063,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3617833.1510355705,0,0,0
15,Add Gravity Bridges native staking token to the Althea EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755032529000,1755032529000,1755291729000,undefined,7091053,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3905846.1410355708,0,0,0
14,Add Gravity Bridged USDT token to the Althea EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755032483000,1755032483000,1755291683000,undefined,7091045,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3905846.1410355708,0,0,0
13,Add Gravity Bridged sUSDS token to the Althea EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755032408000,1755032408000,1755291608000,undefined,7091032,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,3905846.1410355708,0,0,0
12,Add Gravity Bridged USDS token to the Althea EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755032227000,1755032227000,1755291427000,undefined,7091002,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,3905846.1410355708,0,0,0
11,Add Gravity Bridged USDC token to the Althea EVM,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755032117000,1755032117000,1755291317000,undefined,7090983,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,3905846.1410355708,0,0,0
10,Initial funding for IBC relayer multisig,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1740436118000,1740436118000,1740695318000,undefined,4593408,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,3867600.9969766424,0,0,106769
9,Althea Foundation Growth and Sustainability,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1740436077000,1740436077000,1740695277000,undefined,4593401,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,3957442.8369766423,0,0,106769
8,Rescue IBC client,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1739406331000,1739406331000,1739665531000,undefined,4417024,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,3777053.9936626987,0,0,0
7,Set Althea L1 inflation to 5,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1737182996000,1737234669000,1737493869000,undefined,4037054,althea1pphqspe9hmcfmhlltf64uuvlq4autcy573cfg7,1993903.9423097444,0,0,0
6,Tethys Upgrade v151,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1736454278000,1736454485000,1736713685000,undefined,3912554,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,995114.9938006635,43445.509999999995,0,0
5,Fix the lockup module whitelist,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1734553076000,1734553076000,1734812276000,undefined,3585284,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,1165743.963501045,0,0,0
4,Modify distribution parameters to prepare for inflation and Cosmos SDK 046 upgrade,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1733507705000,0,0,undefined,3404578,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,1286520.033501045,0,0,0
3,Add Althea Foundation address to send whitelist,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1733507522000,1733507522000,1733766722000,undefined,3404546,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,1286520.033501045,0,0,0
2,Awarness Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1732394152000,0,0,undefined,3211922,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,805120.3935010451,0,0,84767.99999999999
1,Disable Contract Deployment,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1714081110000,1714081440000,1714340640000,undefined,1203,althea10637femt0j6vz7xdxymjvgn68rp3hpk60swvdy,674392.5135010452,0,0,0
