address,moniker,commission,rank,token,votingPower,timestamp
altheavaloper10hshdll0l803uceqceh5wu0zdtf9apj9rkcm9e,IRISnet,0.08,1,394979,0.080409,1765152000000
altheavaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgw9uxeh2, LavenderFive Nodes ,0.05,2,292015,0.059448,1765152000000
altheavaloper18ejq4qvrjxt53l2k8wj6ngtuxzxvd9jr2rj4f0,breskulpeakcom,0.05,3,207738,0.042291,1765152000000
altheavaloper1htc8jv6354shrqyqw4ex4k4v4mrna795lnuaym,Silk Nodes,0.05,4,203079,0.041343,1765152000000
altheavaloper1hpcxmrknwxmcvj8p69ye50sy86l3pkl0udw9cf,Cosmostation,0.05,5,202970,0.04132,1765152000000
altheavaloper10637femt0j6vz7xdxymjvgn68rp3hpk6tsaznp,Inactive,0.1,6,199032,0.040519,1765152000000
altheavaloper1zsuy2tgjc3860cce3sfx903x9chgnwgqndzsrg,PathrockNetwork,0.05,7,179108,0.036463,1765152000000
altheavaloper10fskpmuml5z3wr00h5cj3c9f5n48xs63np30a0,Citadelone,0.05,8,177303,0.036095,1765152000000
altheavaloper19fmpww5ph44hxkg4z4a9yq5yszfkekgnz9hull,STAVR,0.05,9,176982,0.03603,1765152000000
altheavaloper1xys0n4r80d4tpdm774mx0k8xmz4c073tly8cff,Arcane Forge,0.1,10,163362,0.033257,1765152000000
altheavaloper1zr69a60lugudslf4e5d2p42dglqjw6nh0nq9e2,TRGC By Liquify,0.1,11,154969,0.031549,1765152000000
altheavaloper18mlt2fz93449tw5q06378ddmv9n5eqxsvmcg57,blitmore,0.05,12,121533,0.024742,1765152000000
altheavaloper19qsra37e0h2v8q0gxahnwavahuzpm7w4zetjjp,Trelane,0.1,13,116896,0.023798,1765152000000
altheavaloper1d2x0t42a6anth3lt38ld5997m6e5ya5fw72axt,Encapsulate fka KingSuper,0.05,14,110690,0.022534,1765152000000
altheavaloper1vya85wwh6gkxqdsquqt0ckymjttglm794emcul,Crosnest,0.1,15,106769,0.021736,1765152000000
altheavaloper12mlarml8cgfevqp6zqlgkpgscnd85znppgws76,RandomBits,0.05,16,89841,0.01829,1765152000000
altheavaloper1gzycxekfxq2hvu9jt255aajvlakay9nvacf2mu,Architect Nodes,0.1,17,84152,0.017132,1765152000000
altheavaloper1zkkaat5khg9khs4t488cw35hm75s3y9fqpnel8,Max Foton nodes,0.05,18,83981,0.017097,1765152000000
altheavaloper17ek29q86jtvdt594tf7zvm3eh2p8ftjdqghdj0,Active Nodes,0.1,19,82987,0.016894,1765152000000
altheavaloper1xwsut9xmtg8sy84tzs2w65uqjx986m67qrtep8,bitszn,0.1,20,82984,0.016894,1765152000000
altheavaloper1zx2pe4mvkkvcdrz3hc6lsh9jcnpclc4z9gw8sa,Artifact,0.05,21,82908,0.016878,1765152000000
altheavaloper16g4wsa2frerl0r8z4t0gdhxe92yled8mqvhepq,ProNodes75,0.1,22,79149,0.016113,1765152000000
altheavaloper12dw0z0w4tnnccvef3d40yecuy2tzlcnq296232,blockscape,0.1,23,78551,0.015991,1765152000000
altheavaloper1wr6rt4rze8w0f6mzvjsmy9ktmxnnwntuzkd5fs,Aurora Staking,0.1,24,78322,0.015945,1765152000000
altheavaloper1hw9mchr74dnfk09ef0uaqcnm3902xvyaqxq7p7,MZONDER,0.1,25,77452,0.015768,1765152000000
altheavaloper1fqsrzlm3rs6srpkmk52p65vpuultlkdyrgq88p,CroutonDigital,0.1,26,77303,0.015737,1765152000000
altheavaloper17xgd6yulhuvyk4gswlgj9zcjgs5tu6ggsx4g25,alkadeta,0.1,27,72907,0.014842,1765152000000
altheavaloper19k63gukyqsrp0gmcv4djsh3gw092wvs0e7t0ca,PS350,0.1,28,72345,0.014728,1765152000000
altheavaloper18mfh96fgm27n8k55n2rj3nkd9p8t32xqmghlcj,medium,0.1,29,71695,0.014596,1765152000000
altheavaloper1vqjpy40kggykczcrw4c3ukvxy7dkh2hy9fgmrx,StakeAngle,0.1,29,71695,0.014596,1765152000000
altheavaloper1y078rj4uhpu5naxrfmxzp3f9mtf6mtn6c59zkv,DePIN Connect,0.05,31,66227,0.013482,1765152000000
altheavaloper1dmu5fpa7xjaj7k2kq60u3xq2ah37f9dxav3y0c,Tecnodes,0.08,32,66061,0.013449,1765152000000
altheavaloper1nekx03jd7phw8ru48u7tkttfnfx69l8tjekl3l,StingRay,0.1,33,66058,0.013448,1765152000000
altheavaloper1e6e4d2aux5e2xychpts39zcfu95vt26x3gmfgw, 79anvi ,0.06,34,66058,0.013448,1765152000000
altheavaloper1t3vq6gdn9gjhm5mkn2wd8tan9cwt98rkn6ns8s,wombat,0.1,35,66052,0.013447,1765152000000
altheavaloper1lfxmm3h9snlq6kaaj8rmujqrfrrnshvvclwf3l,OranG3cluB,0.1,35,66052,0.013447,1765152000000
altheavaloper1m77eksxfz9q50qejnqf720sns7q0xtx8c4r6fm,Citizen Web3,0.075,37,63794,0.012987,1765152000000
altheavaloper1tk89wswv7h0ptsqfkgqgr9l6tq4vn7wm6mpecx,web34ever,0.1,38,59899,0.012194,1765152000000
altheavaloper1z7pvh3jmej95kukpa23czwkfpxqg3f4f2a8utz,Please redelegate now,0.05,39,59543,0.012122,1765152000000
altheavaloper1h77z70yque6ezhdlmdqvkq9ntum4l5ptghtwg6,Goooodnes,0.1,40,53682,0.010929,1765152000000
altheavaloper1e8fvgd3pwcuxlr7r5wy0cuu38dnavxnf3se6qq,cyberG,0.1,41,50326,0.010245,1765152000000
altheavaloper17qf0c40junc4fzqfma3j8a854fkfgjavl33fep,ushakov,0.1,42,48218,0.009816,1765152000000
altheavaloper1hya903jcpt7kd6qmuaafxk6pe7c03xy9td84ul,Nodiums,0.1,43,46832,0.009534,1765152000000
altheavaloper1743zd7mx00e0202k5sl55mw7gmed2lws2jvdsj,Oneplus,0.1,44,43626,0.008881,1765152000000
altheavaloper17r5kfqtna74y4qskeqphe2eh4u2fu6xsxm92f3,TAKESHI,0.1,45,43533,0.008862,1765152000000
altheavaloper17gd74yvuxdc2um5rl9w5zhlr2hfuklp6rdnuxx,CosmoWiz,0.1,46,43483,0.008852,1765152000000
