chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
archway,0.188383,5.783822,13077017,0.02,461266093,1158598711,95550525,37,143,180,6227342,0.4762050856093557,0.4762050856093557,1227,97849,archway,0.00223123,1427626,3291,2565594,112049,0.00224892,0.00222979,-0.00000755,-0.337,-5677,-0.396,640028533,1150198258,0,0.277883,1703376000000,0.00222923,1765048436703,-0.364,-0.337,-1.748,-7.711,-18.138,-93.724,1765152000000
archway,0.199553,5.7754012999999995,13062073,0.02,435424707,1158534884,95547558,36,144,180,6209459,0.47538082201806714,0.47538082201806714,1224,97849,archway,0.00223944,1433306,3301,2575800,113227,0.00225008,0.00222923,-0.00000994,-0.442,-6359,-0.442,640028533,1150198258,0,0.277883,1703376000000,0.00222923,1765048436703,-0.367,-0.442,-2.212,-7.319,-15.789,-93.848,1765065600000
archway,0.199542,5.7752223,13047107,0.02,435424538,1158470860,95544587,36,144,180,6192217,0.47460460008490774,0.47460460008490774,1207,97833,archway,0.00224937,1439664,3295,2587227,112653,0.0022508,0.00223093,0.00001828,0.819,11699,0.819,640028533,1150198258,0,0.277883,1703376000000,0.00223003,1764816091848,0.001,0.819,-1.764,-6.241,-15.189,-93.733,1764979200000
archway,0.202275,5.7655705,13032136,0.02,429516008,1158406785,95541613,36,144,180,6174766,0.4738107398510881,0.4738107398510881,1207,97833,archway,0.00223296,1427964,3336,2566201,115920,0.00225138,0.00223003,-0.00000607,-0.271,-5080,-0.354,640028533,1150198258,0,0.277883,1703376000000,0.00223003,1764816091848,-0.005,-0.271,-1.183,-7.701,-15.691,-93.933,1764892800000
archway,0.19078,5.8942139000000005,13017180,0.02,455372550,1158345356,95538646,37,143,180,6157324,0.4730151999127307,0.4730151999127307,1198,97833,archway,0.00224141,1428932,3355,2567940,114478,0.00225268,0.00223003,-0.00000998,-0.443,-12027,-0.835,640028533,1150198258,0,0.277883,1703376000000,0.00223003,1764795613227,-0.005,-0.443,-1.141,-7.601,-15.114,-93.897,1764806400000
archway,0.190594,5.7616468,13002432,0.02,455792388,1158282247,95535670,37,143,180,6139756,0.4722005852443604,0.4722005852443604,1193,97833,archway,0.00225139,1435070,3327,2578970,111958,0.00225299,0.00223245,0.00001595,0.713,4322,0.302,640028533,1150198258,0,0.277883,1703376000000,0.00223245,1764686778615,0.009,0.713,-0.739,-8.105,-16.829,-93.382,1764720000000
archway,0.190584,5.7598028,12987433,0.02,455791238,1158218050,95532693,37,143,180,6122597,0.4714247226530447,0.4714247226530447,1185,97821,archway,0.00223544,1430764,3280,2571232,112649,0.00228015,0.00223366,-0.00003574,-1.574,-22916,-1.576,640028533,1150198258,0,0.277883,1703376000000,0.00223366,1764607211352,-0.35,-1.574,-1.247,-10.829,-17.681,-93.274,1764633600000
archway,0.190573,5.765329,12972447,0.02,455791175,1158153936,95529716,37,143,180,6105066,0.4706179181152176,0.4706179181152176,1187,97821,archway,0.00227054,1453212,3322,2611574,111833,0.00230846,0.002261,-0.00002774,-1.207,-23958,-1.622,640028533,1150198258,0,0.277883,1703376000000,0.00223912,1764006656271,-0.017,-1.207,-6.085,-10.795,-17.036,-93.203,1764547200000
archway,0.185202,5.762059799999999,12957457,0.02,468983513,1158089798,95526741,38,142,180,6088059,0.46984983241696265,0.46984983241696265,1195,97821,archway,0.00229828,1477169,3320,2654628,112253,0.00230806,0.00228891,-0.00000853,-0.37,273,0.018,640028533,1150198258,0,0.277883,1703376000000,0.00223912,1764006656271,0.001,-0.37,-5.231,-11.588,-15.78,-92.218,1764460800000
archway,0.185191,5.7628683,12942467,0.02,468984560,1158025672,95523768,38,142,180,6071145,0.4690871531679393,0.4690871531679393,1188,97821,archway,0.00230684,1476442,3326,2653321,112899,0.0023344,0.0022587,0.00002993,1.315,19133,1.313,640028533,1150198258,0,0.277883,1703376000000,0.00223912,1764006656271,-0.043,1.315,-4.191,-11.233,-15.727,-91.956,1764374400000
