timestamp,blockCount,txCount
1765065600000,14943,17878
1764979200000,14967,17246
1764892800000,14972,17451
1764806400000,14955,17442
1764720000000,14748,17568
1764633600000,14999,17158
1764547200000,14986,17532
1764460800000,14990,17007
1764374400000,14990,16910
1764288000000,14966,17070
1764201600000,14913,16969
1764115200000,14952,18003
1764028800000,14944,17214
1763942400000,14902,17273
1763856000000,14889,16589
1763769600000,14896,16613
1763683200000,14869,17847
1763596800000,14865,18019
1763510400000,14870,17754
1763424000000,14855,19181
1763337600000,14848,20962
1763251200000,14831,17969
1763164800000,14849,17595
1763078400000,14851,20311
1762992000000,14848,19584
1762905600000,14843,18706
1762819200000,14821,19144
1762732800000,14842,19365
1762646400000,14857,19828
1762560000000,14870,18257
1762473600000,14750,18985
1762387200000,14847,18199
1762300800000,14870,15170
1762214400000,14861,18968
1762128000000,14853,19444
1762041600000,14850,17217
1761955200000,14821,18398
1761868800000,14807,19389
1761782400000,14830,19039
1761696000000,14841,18254
1761609600000,14834,20007
1761523200000,14852,18606
1761436800000,14851,18972
1761350400000,14839,18054
1761264000000,14765,18028
1761177600000,14823,14710
1761091200000,14818,12168
1761004800000,14805,13796
1760918400000,14844,15955
1760832000000,14868,13846
1760745600000,14867,13824
1760659200000,14850,14263
1760572800000,14868,16032
1760486400000,14863,16775
1760400000000,14858,16088
1760313600000,14855,17246
1760227200000,14847,15764
1760140800000,14825,15556
1760054400000,14786,17237
1759968000000,14783,17346
1759881600000,14799,17303
1759795200000,14825,17508
1759708800000,14862,17115
1759622400000,14861,16812
1759536000000,14860,16625
1759449600000,14840,17493
1759363200000,14820,17853
1759276800000,14643,17990
1759190400000,14760,16757
1759104000000,14834,17547
1759017600000,14837,16277
1758931200000,14876,15935
1758844800000,14871,13962
1758758400000,14850,16110
1758672000000,14808,17751
1758585600000,14832,17237
1758499200000,14691,17594
1758412800000,14872,17492
1758326400000,14895,17187
1758240000000,14873,17095
1758153600000,14874,17405
1758067200000,14850,17935
1757980800000,14853,17440
1757894400000,14894,14261
1757808000000,14876,16938
1757721600000,14876,17199
1757635200000,14853,17156
1757548800000,14857,17030
1757462400000,14853,17125
1757376000000,14861,17114
1757289600000,14885,17185
1757203200000,14861,17042
1757116800000,14864,16920
1757030400000,14834,17123
1756944000000,14854,17594
1756857600000,14878,17259
1756771200000,14866,12776
1756684800000,14844,16933
1756598400000,14858,16997
1756512000000,14848,17310
1756425600000,14849,17750
1756339200000,14863,17839
1756252800000,14865,17977
1756166400000,14845,17716
1756080000000,14851,17813
1755993600000,14813,17622
1755907200000,14844,17197
1755820800000,14856,17912
1755734400000,14854,17025
1755648000000,14827,17218
1755561600000,14826,16993
1755475200000,14798,17097
1755388800000,14756,17220
1755302400000,14823,16928
1755216000000,14818,17407
1755129600000,14824,17377
1755043200000,14829,17868
1754956800000,14822,17368
1754870400000,14845,17551
1754784000000,14847,18046
1754697600000,14838,16961
1754611200000,14837,15622
1754524800000,14841,16989
1754438400000,14856,17279
1754352000000,14823,17229
1754265600000,14819,17509
1754179200000,14822,17413
1754092800000,14819,17358
1754006400000,14833,17376
1753920000000,14639,15763
1753833600000,14850,17680
1753747200000,14843,17467
1753660800000,14246,15381
1753574400000,14821,16442
1753488000000,14815,16477
1753401600000,14818,17349
1753315200000,14834,17451
1753228800000,14835,17862
1753142400000,14843,17578
1753056000000,14848,18457
1752969600000,14832,17624
1752883200000,14845,17119
1752796800000,14816,17676
1752710400000,14821,16516
1752624000000,14849,17597
1752537600000,14859,17463
1752451200000,14845,5749
1752364800000,14865,3051
1752278400000,14875,2341
1752192000000,14872,2769
1752105600000,14852,2485
1752019200000,14819,2559
1751932800000,14814,2561
1751846400000,14808,2260
1751760000000,14824,2516
1751673600000,14857,2720
1751587200000,14857,2900
1751500800000,14872,2885
1751414400000,14852,2954
1751328000000,14860,2420
1751241600000,14839,2197
1751155200000,14866,2432
1751068800000,14822,2166
1750982400000,14873,3025
1750896000000,14890,2147
1750809600000,14895,2479
1750723200000,14878,2467
1750636800000,14874,2481
1750550400000,14879,2587
1750464000000,14890,2156
1750377600000,14896,2215
1750291200000,14870,2163
1750204800000,14843,3987
1750118400000,14864,6451
1750032000000,14954,4484
1749945600000,14951,2338
1749859200000,14959,2596
1749772800000,14945,2650
1749686400000,14928,2479
1749600000000,14919,2875
