id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
59,Recover Expired IBC Client to XPLA Chain,/ibc.core.client.v1.MsgRecoverClient,PASSED,1758528956000,1758528956000,1759133756000,undefined,0,null,249073276.58670065,0,0,0
58,v1000,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1740143572000,1740143572000,1740748372000,undefined,8772694,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,320160205.7062941,0,5064.520136672476,0
56,Update callback gas limit param to 3000000,/archway.callback.v1.MsgUpdateParams,PASSED,1737986136000,1737986136000,1738590936000,undefined,8401663,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,374964142.27083874,0,0,105.30524104939941
55,Add MsgTransfer as ICA Host allowed messages,/ibc.applications.interchain_accounts.host.v1.MsgUpdateParams,PASSED,1731709499000,1731709499000,1732314299000,undefined,7320223,archway16qqhmsqcs4j6mfa92flnz4n8tj2s53jwncggwk,345139427.5784577,0,0,289.99430429826305
54,v900,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1728288044000,1728288044000,1728892844000,undefined,6731095,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,346849648.8951799,0,0,36.23711217324708
53,Proposal Sell Nomos Multisig IP to Archway Community,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,REJECTED,1726655525000,1726655525000,1727260325000,undefined,6449609,archway1vnglhewf3w66cquy6hr7urjv3589srhez8uw3v,48366665.469652265,180468402.9313223,0,162936956.1779016
52,Lava Public RPC Boosting UX  DevX,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,REJECTED,1726400332000,1726400930000,1727005730000,undefined,6405943,archway1060v0u0yn2h4m6v6jz03eyadcexztwpus64wnr,188444058.3614777,190962581.6223594,0,24021463.36404192
51,Reduce Archway Validator Set,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1726007990000,1726007990000,1726612790000,undefined,6339050,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,257257342.48558322,113838164.86437558,2508378.720268957,36022789.24824844
50,Lower Archway Inflation Rate,/cosmos.mint.v1beta1.MsgUpdateParams,PASSED,1726007818000,1726007818000,1726612618000,undefined,6339021,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,288754838.8415215,11386648.47569054,0,103997135.90458885
49,Proposal to reduce the Archway validator set  network inflation rate,Text,PASSED,1724753746000,1724753746000,1725358546000,undefined,6125771,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,242367780.86484048,111499624.74284267,50804982.584436625,4617419.1821895335
48,Recover expired IBC client to Nibiru cataclysm1,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1724360192000,1724372000000,1724976800000,undefined,6058886,archway1k8wmx9texf0velkysk69wkse0gxv7ahtdedx8e,345186723.47066826,607.1156949239354,0,30
47,Update callback gas limit param,/archway.callback.v1.MsgUpdateParams,PASSED,1720478821000,1720478821000,1721083621000,undefined,5401008,archway10kxf80n68x292qhp7tplqllnfhjg6hhv2ttpcj,351143022.6875395,0,0,3845.1004920948403
46,ARCH incentives for ARCH,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1716515349000,1716518757000,1717123557000,undefined,4730011,archway1t8lz3zjv9cyd8x4h060w3hhdnzagm5cusj6wx7,216845422.42587996,25110769.00477185,0,65459468.67055413
44,Signaling Proposal Creation of a Conflict Resolution Council,Text,PASSED,1715875443000,1715875443000,1716480243000,undefined,4622104,archway168qal2s4x0keguc09003gr9yczd0jtaspx5520,306119204.4261293,1588840.666150133,0,16257718.745930744
