address,moniker,commission,rank,token,votingPower,timestamp
archwayvaloper1qsw3w58yaca87v0g86eqsec0rjxegzjd75gvt4,DELIGHT,0.05,1,39137714,0.084848,1765152000000
archwayvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nad4gt,Chorus One,0.05,2,38643365,0.083777,1765152000000
archwayvaloper1ra4y9k2lle29ztcztcf7chvr7ayjr7uvrj9lam,Astrovault,0.08,3,25851582,0.056045,1765152000000
archwayvaloper16ktf3yu7cnkpx5n7qwmpkaxten8lw2k7etjm70,NodesGuru,0.05,4,19665859,0.042635,1765152000000
archwayvaloper1l54f8nfhtmd9m6sheancpeyse7qtax48duypsc,LuckyFridayio,0.05,5,19033625,0.041264,1765152000000
archwayvaloper18zma4gfcnp9pcr5x56qcnedj333vfvp35nq5df,Validatriumcom,0.2,6,18440899,0.039979,1765152000000
archwayvaloper16vh6jdzrvda47stsjlxap6yukh5pq4q06sgcm6,Alphabet,0.05,7,18366031,0.039817,1765152000000
archwayvaloper1p4n7pw4rdfyn3rgc4cndcqedwmcu3dt6kfdwpt,polkachucom,0.05,8,17378429,0.037675,1765152000000
archwayvaloper1hccgnft2asahy7hxrk4fx2y6nndk3rwre387zm,CroutonDigital,0.1,9,16007532,0.034703,1765152000000
archwayvaloper17qv63dpkg2zwxj5mypgh9ryldpmvsew4pfnvva,Stakelyio,0.05,10,15394291,0.033374,1765152000000
archwayvaloper1judfxhsvzckqzhd4l3wdwrtn3prggjdq28yc6j,MZONDER,0.1,11,15076284,0.032685,1765152000000
archwayvaloper1eze2npmnmu4mu5gklw02rnp6sa6cqysn8kxjsh,Contribution DAO,0.1,12,15020773,0.032564,1765152000000
archwayvaloper14sp0yjvxkrsj7qjltga65g9ctz5c2nrw8cgs72,Silk Nodes,0.05,13,15016437,0.032555,1765152000000
archwayvaloper1ep3mayvcxyr26mc3nmk7gkk7krnssuml87y2td,NuclearBlock,0.1,14,14830578,0.032152,1765152000000
archwayvaloper1skc8aut895jvg4hdxx7q89sus5x63ede7qxs2c,NacionCrypto  Parceros,0.05,15,14798852,0.032083,1765152000000
archwayvaloper1v8er9uqsx0hd6tav2pltqplu2zgj0a3reaaamt,Crosnest,0.05,16,14183742,0.03075,1765152000000
archwayvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zekxzpl, LavenderFive Nodes  ,0.05,17,14092541,0.030552,1765152000000
archwayvaloper18wdwndqaaukkgwn4s0ynw7mdddty6h6vtm2g8p,AM Solutions ,0.09,18,13949678,0.030242,1765152000000
archwayvaloper1lq9la9sh5kjla8x7pg74p7djy2f74u6g60nl9e,Cosmostation,0.05,19,13510061,0.029289,1765152000000
