chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
atomone,0.472344,5.813320500000001,6186455,0.2,51971383,129201990,3511847,100,43,143,1316213,0.21275722526067029,0.21275722526067029,12019,198268,atomone,0.647137,75940588,507,83581717,31439,0.670081,0.634891,-0.01194029,-1.812,-1415256,-1.83,117389065,129200734,0,16.99,1759352206952,0.148095,1756969058524,-0.117,-1.812,-22.172,-40.6,-67.736,0,1765152000000
atomone,0.472469,5.8164975,6171593,0.2,51922353,129114180,3507444,100,43,143,1314082,0.2129242806516891,0.2129242806516891,12340,198224,atomone,0.659077,77355843,501,85145171,32996,0.662937,0.61554,0.0416341,6.743,4980956,6.882,117300934,129112522,0,16.99,1759352206952,0.148095,1756969058524,-0.021,6.743,-17.329,-41.242,-68.435,0,1765065600000
atomone,0.472418,5.8262882,6156735,0.2,51892738,129026673,3503046,100,43,143,1311919,0.21308680656224444,0.21308680656224444,12420,198205,atomone,0.617565,72414820,520,79712162,34441,0.653206,0.593976,-0.01752074,-2.759,-1973320,-2.653,117213299,129025046,0,16.99,1759352206952,0.148095,1756969058524,0.718,-2.759,-22.974,-49.088,-72.29,0,1764979200000
atomone,0.472437,5.8165298000000005,6141898,0.2,51855393,128939029,3498657,100,43,143,1309712,0.21324222577450813,0.21324222577450813,12420,198205,atomone,0.63467,74388139,520,81887266,50921,0.713934,0.61921,-0.07799466,-10.944,-9009436,-10.803,117129455,128937367,0,16.99,1759352206952,0.148095,1756969058524,-0.042,-10.944,-29.66,-46.972,-69.935,0,1764892800000
atomone,0.472366,5.819966399999999,6127042,0.2,51828112,128851659,3494266,100,43,143,1306968,0.21331141519839428,0.21331141519839428,12436,198151,atomone,0.712388,83397575,486,91811223,41729,0.723476,0.679531,0.00752302,1.067,862278,1.045,117042129,128850041,0,16.99,1759352206952,0.148095,1756969058524,1.564,1.067,-25.992,-44.115,-69.219,0,1764806400000
atomone,0.472353,5.9075502,6112190,0.2,51794353,128764217,3489877,100,43,143,1304582,0.21343937279436667,0.21343937279436667,12675,198107,atomone,0.70424,82535297,488,90868129,41147,0.705699,0.640934,0.062126,9.675,7492368,9.984,116955372,128763284,0,16.99,1759352206952,0.148095,1756969058524,1.577,9.675,-26.422,-47.277,-69.861,0,1764720000000
atomone,0.472642,5.8122135,6097490,0.2,51727867,128677738,3485538,100,43,143,1300351,0.21326004634693949,0.21326004634693949,13229,198025,atomone,0.642495,75042929,507,82624956,233866,0.776896,0.581187,-0.13440106,-17.3,-16018602,-17.591,116868517,128676428,0,16.99,1759352206952,0.148095,1756969058524,0.374,-17.3,-42.619,-54.539,-77.061,0,1764633600000
atomone,0.473279,5.8121653,6082622,0.2,51623246,128590655,3481151,100,42,142,1297543,0.21331968351806177,0.21331968351806177,13423,197949,atomone,0.778165,91061530,460,100268870,48816,0.83371,0.772121,-0.00835915,-1.063,-722411,-0.787,116781446,128589358,0,16.99,1759352206952,0.148095,1756969058524,-6.414,-1.063,-28.573,-56.013,-76.057,0,1764547200000
atomone,0.473514,5.814585,6067753,0.2,51563336,128505110,3476767,100,42,142,1295020,0.21342661772817714,0.21342661772817714,13793,197842,atomone,0.786524,91783940,459,101071151,36106,0.808701,0.778389,0.00163269,0.208,239466,0.262,116695601,128503513,0,16.99,1759352206952,0.148095,1756969058524,-1.122,0.208,-29.88,-57.07,-76.804,0,1764460800000
atomone,0.473289,5.986853,6052896,0.2,51553273,128418917,3472390,100,42,142,1293271,0.21366152664774019,0.21366152664774019,13868,197797,atomone,0.784116,91544475,464,100814310,57258,0.906594,0.784892,-0.11762237,-13.044,-13494909,-12.847,116609309,128417221,0,16.99,1759352206952,0.148095,1756969058524,-1.945,-13.044,-35.358,-59.376,-72.948,0,1764374400000
