address,moniker,commission,rank,token,votingPower,timestamp
atonevaloper144xwxcrlntp4wjadhrylzc6p3vdzscyey6a5r0,DKCMC,0.05,1,3634957,0.06995,1765152000000
atonevaloper1wez3ehdwxfygeeu2lj44swcdpds08t3pgnlwc8,Cosmostation,0.05,2,3094280,0.059545,1765152000000
atonevaloper1g5n4lanhsvpkcld9lyk7pxyvunsmdh9s9yq3vh,SG1,0.05,3,3087596,0.059416,1765152000000
atonevaloper17gysx6p6ggvjfgntpv0vsje3xkqc8ddmlnmxwd,Allnodes,0.05,4,2947575,0.056722,1765152000000
atonevaloper1u2mpntxfkq3ztj5aygmuv5dhmg6rghjkh3356j,nyliranet,0.05,5,2862011,0.055075,1765152000000
atonevaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l269dvfs,DragonStake ,0.05,6,2679431,0.051562,1765152000000
atonevaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4nq63k9,0basevc,0.05,7,2084457,0.040112,1765152000000
atonevaloper1z89utvygweg5l56fsk8ak7t6hh88fd0achx5eg,Inotel,0.05,8,2012269,0.038723,1765152000000
atonevaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gd7yqyl,CloudByte,0.05,9,1828739,0.035192,1765152000000
atonevaloper1xgkqle5jzfd3lymrttg8edwux2yz8z0rvxqsdd,Simply Staking,0.05,10,1775070,0.034159,1765152000000
atonevaloper1wlagucxdxvsmvj6330864x8q3vxz4x022j0qq0,DSRV,0.1,11,1653413,0.031818,1765152000000
atonevaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xlxr0l9,Provalidator,0.05,12,1568180,0.030177,1765152000000
atonevaloper1w8cs54tjx5yc9hzp0e2pfmde905pr670hglth4,KalpaTech,0.05,13,1461099,0.028117,1765152000000
atonevaloper1ysvhj4h3z6szgwauuhvytxks9k6s6ktutnjfpv,Forbole,0.05,14,1349103,0.025962,1765152000000
atonevaloper10jzj3jjd3frna0ay08sh4zu4fpy957s4vm4dwg,Onbloc Node,0.05,15,1221927,0.023514,1765152000000
