source,target,messages,txs,channel,timestamp,volume,type
axelar,injective,0,0,transfer/channel-10,1764892800000,0,ack
axelar,terra,572,545,transfer/channel-11,1764892800000,36390.3095460436,ack
axelar,archway,0,0,transfer/channel-110,1764892800000,0,ack
axelar,secret,0,0,transfer/channel-12,1764892800000,0,ack
axelar,celestia,0,0,transfer/channel-125,1764892800000,0,ack
axelar,stargaze,0,0,transfer/channel-18,1764892800000,0,ack
axelar,ki-chain,0,0,transfer/channel-17,1764892800000,0,ack
axelar,cosmos,0,0,transfer/channel-2,1764892800000,0,ack
axelar,fetchai,0,0,transfer/channel-21,1764892800000,0,ack
axelar,evmos,0,0,transfer/channel-22,1764892800000,0,ack
axelar,regen,3,3,transfer/channel-29,1764892800000,624.306839,ack
axelar,osmosis,577,557,transfer/channel-3,1764892800000,748234.1301950166,ack
axelar,comdex,0,0,transfer/channel-31,1764892800000,0,ack
axelar,bitcanna,0,0,transfer/channel-32,1764892800000,0,ack
axelar,umee,0,0,transfer/channel-36,1764892800000,0,ack
axelar,juno,4,4,transfer/channel-4,1764892800000,141.27949,ack
axelar,agoric,0,0,transfer/channel-41,1764892800000,0,ack
axelar,xpla,0,0,transfer/channel-49,1764892800000,0,ack
axelar,emoney,0,0,transfer/channel-6,1764892800000,0,ack
axelar,crescent,0,0,transfer/channel-7,1764892800000,0,ack
axelar,neutron,69,68,transfer/channel-78,1764892800000,9437.423768159468,ack
axelar,dymension,4,4,transfer/channel-138,1764892800000,65.502864,ack
axelar,kujira,0,0,transfer/channel-14,1764892800000,0,ack
axelar,injective,0,0,transfer/channel-1,1764892800000,0,ack
axelar,columbus-5,41,41,transfer/channel-0,1764892800000,873.6972549999999,ack
axelar,jackal-1,0,0,transfer/channel-101,1764892800000,0,ack
axelar,bitsong,0,0,transfer/channel-100,1764892800000,0,ack
axelar,odin-mainnet-freya,0,0,transfer/channel-102,1764892800000,0,ack
axelar,xstaxy-1,0,0,transfer/channel-104,1764892800000,0,ack
axelar,sei,0,0,transfer/channel-103,1764892800000,0,ack
axelar,qwoyn-1,0,0,transfer/channel-108,1764892800000,0,ack
axelar,empowerchain-1,0,0,transfer/channel-109,1764892800000,0,ack
axelar,ununifi-beta-v1,0,0,transfer/channel-107,1764892800000,0,ack
axelar,archway,0,0,transfer/channel-111,1764892800000,0,ack
axelar,migaloo-1,0,0,transfer/channel-112,1764892800000,0,ack
axelar,qamar-dev-1,0,0,transfer/channel-115,1764892800000,0,ack
axelar,haqq_11235-1,0,0,transfer/channel-113,1764892800000,0,ack
axelar,qwoyn-1,0,0,transfer/channel-117,1764892800000,0,ack
axelar,provenance,0,0,transfer/channel-116,1764892800000,0,ack
axelar,coreum,0,0,transfer/channel-119,1764892800000,0,ack
axelar,teritori,0,0,transfer/channel-118,1764892800000,0,ack
axelar,ixo,0,0,transfer/channel-114,1764892800000,0,ack
axelar,coreum,1,1,transfer/channel-120,1764892800000,9.692709,ack
axelar,migaloo-1,0,0,transfer/channel-121,1764892800000,0,ack
axelar,teritori,0,0,transfer/channel-122,1764892800000,0,ack
axelar,ununifi-beta-v1,0,0,transfer/channel-123,1764892800000,0,ack
axelar,kujira,0,0,transfer/channel-13,1764892800000,0,ack
axelar,bitcanna,0,0,transfer/channel-16,1764892800000,0,ack
axelar,comdex,0,0,transfer/channel-15,1764892800000,0,ack
axelar,asset-mantle,0,0,transfer/channel-19,1764892800000,0,ack
axelar,persistence,0,0,transfer/channel-20,1764892800000,0,ack
axelar,asset-mantle,0,0,transfer/channel-23,1764892800000,0,ack
axelar,persistence,0,0,transfer/channel-24,1764892800000,0,ack
axelar,persistence,0,0,transfer/channel-26,1764892800000,0,ack
axelar,persistence,0,0,transfer/channel-27,1764892800000,0,ack
axelar,bitcanna,0,0,transfer/channel-30,1764892800000,0,ack
axelar,exchain-66,0,0,transfer/channel-34,1764892800000,0,ack
axelar,stride,0,0,transfer/channel-33,1764892800000,0,ack
axelar,umee,0,0,transfer/channel-35,1764892800000,0,ack
