chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
axelar,0.098314,5.3238489,21156572,0.038,464316411,0,19040,69,76,145,376176088,17.780578441535802,17.780578441535802,6805,106053,axelar,0.110087,119162219,373,134824067,5128204,0.115579,0.108293,-0.00435866,-3.808,-4739468,-3.825,1083404148,1225799201,0,2.64,1709284805541,0.106074,1764633324558,-0.991,-3.808,-9.115,-15.3,-40.042,-89.429,1765152000000
axelar,0.098243,5.4998024,21140529,0.038,464602878,0,19030,69,76,145,375944585,17.783120990018745,17.783120990018745,6808,106050,axelar,0.114436,123901687,366,140246315,6033053,0.115953,0.112743,0.00092539,0.815,1371967,1.12,1082828473,1225670995,0,2.64,1709284805541,0.106074,1764633324558,-0.226,0.815,-8.915,-11.487,-26.322,-89.242,1765065600000
axelar,0.098301,5.6236498,21124735,0.038,464281392,0,19020,69,76,145,375670957,17.783463650549937,17.783463650549937,6892,106037,axelar,0.113204,122529720,364,138752621,8860569,0.117188,0.109775,-0.00342757,-2.939,-3661420,-2.901,1082252126,1225542017,0,2.64,1709284805541,0.106074,1764633324558,-0.106,-2.939,-12.642,-10.913,-29.052,-89.215,1764979200000
axelar,0.098305,5.7651103,21109552,0.038,464215530,0,19011,71,74,145,375446670,17.785629462908545,17.785629462908545,6892,106037,axelar,0.116645,126191139,365,142960074,9281402,0.122205,0.11602,-0.00481705,-3.966,-5124611,-3.903,1081680838,1225420213,0,2.64,1709284805541,0.106074,1764633324558,-0.206,-3.966,-13.054,-13.15,-22.28,-89.447,1764892800000
axelar,0.094856,5.7734044,21094559,0.038,481046833,0,19000,71,74,145,375147247,17.78407631086291,17.78407631086291,6950,105999,axelar,0.121394,131315749,364,148829484,12157473,0.123269,0.117536,0.00027171,0.224,207685,0.158,1081110683,1225299680,0,2.64,1709284805541,0.106074,1764633324558,0.443,0.224,-7.969,-10.812,-23.133,-88.969,1764806400000
axelar,0.09485,5.765593,21079582,0.038,481031526,0,18988,71,74,145,374857484,17.78296571535432,17.78296571535432,6987,105968,axelar,0.121127,130832436,358,148344889,19335840,0.123266,0.106074,0.01469154,13.803,16036810,13.97,1080546652,1225182211,0,2.64,1709284805541,0.106074,1764633324558,-1.526,13.803,-8.283,-11.834,-32.59,-88.23,1764720000000
axelar,0.095081,5.7630634,21064585,0.038,479814552,0,18977,71,74,145,374588429,17.782853495570883,17.782853495570883,7013,105965,axelar,0.106294,114795627,375,130217229,18595934,0.120432,0.106375,-0.01413771,-11.739,-15188893,-11.685,1079977282,1225061036,0,2.64,1709284805541,0.106375,1764618683983,-0.81,-11.739,-19.953,-18.989,-40.645,-89.647,1764633600000
axelar,0.095127,5.7501212,21049594,0.038,479538211,0,18967,71,74,145,374322253,17.782872819304732,17.782872819304732,7091,105958,axelar,0.120378,129984519,368,147509852,9421448,0.12499,0.120267,-0.00411574,-3.306,-4332732,-3.226,1079407493,1224940025,0,2.64,1709284805541,0.120267,1764545804437,-0.486,-3.306,-7.361,-10.737,-27.337,-87.757,1764547200000
axelar,0.095138,5.7422547,21034562,0.038,479431679,0,18960,71,74,145,374125946,17.786248460985306,17.786248460985306,7131,105918,axelar,0.124501,134317250,362,152492197,7106534,0.130598,0.124252,-0.0051904,-4.002,-5625967,-4.02,1078836525,1224817744,0,2.64,1709284805541,0.122282,1763801423792,-0.457,-4.002,-3.701,-11.673,-23.442,-87.109,1764460800000
axelar,0.103808,5.7588261,21019508,0.038,439346217,0,18952,71,74,145,373917611,17.789075319936128,17.789075319936128,7089,105897,axelar,0.129697,139943217,354,158947628,9840171,0.136174,0.129105,-0.0034432,-2.586,-3548857,-2.473,1078267689,1224697383,0,2.64,1709284805541,0.122282,1763801423792,-0.144,-2.586,2.066,-10.382,-31.013,-86.572,1764374400000
axelar,0.103826,5.7642704,21004477,0.038,439230294,0,18942,71,74,145,373660787,17.78957824086741,17.78957824086741,7084,105890,axelar,0.133071,143492074,349,163048537,11448273,0.135424,0.130343,-0.00004718,-0.035,326482,0.228,1077698784,1224577817,0,2.64,1709284805541,0.122282,1763801423792,-0.141,-0.035,-2.095,-10.202,-26.113,-85.396,1764288000000
axelar,0.103846,5.766015400000001,20989510,0.038,439102549,0,18930,71,74,145,373371062,17.78846014032724,17.78846014032724,7134,105883,axelar,0.133195,143306792,343,162907656,11526223,0.13424,0.127428,0.00036319,0.273,147702,0.103,1077134370,1224460007,0,2.64,1709284805541,0.122282,1763801423792,1.086,0.273,-2.142,-14.775,-31.134,-82.815,1764201600000
axelar,0.103784,5.7639385999999995,20974520,0.038,439321028,0,18919,71,74,145,373095522,17.7880362458831,17.7880362458831,7138,105833,axelar,0.13296,143159090,342,162809863,9446033,0.133731,0.128796,0.00069357,0.524,748895,0.526,1076564560,1224339499,0,2.64,1709284805541,0.122282,1763801423792,0.408,0.524,-4.291,-17.755,-31.406,-83.662,1764115200000
axelar,0.103479,5.7703512,20959535,0.038,440571369,0,18907,71,74,145,372804497,17.78686869723016,17.78686869723016,7138,105833,axelar,0.132279,142318639,343,161923652,8903112,0.134232,0.126285,0.00407772,3.181,4457652,3.233,1075996153,1224219318,0,2.64,1709284805541,0.122282,1763801423792,-0.211,3.181,0.815,-21.244,-30.272,-84.037,1764028800000
axelar,0.103561,5.7755208,20944555,0.038,440182141,0,18895,71,74,145,372514898,17.785763316527852,17.785763316527852,7158,105782,axelar,0.128203,137860987,338,156919359,6757320,0.134582,0.128381,-0.00326842,-2.486,-3580658,-2.532,1075427750,1224098545,0,2.64,1709284805541,0.122282,1763801423792,-1.339,-2.486,-4.934,-25.706,-33.145,-83.907,1763942400000
axelar,0.103568,5.7753385999999995,20929591,0.038,440107255,0,18885,71,74,145,372276830,17.787104869846715,17.787104869846715,7168,105753,axelar,0.131505,141441645,335,161064517,10107896,0.132218,0.122282,0.0047372,3.737,5257192,3.86,1074857165,1223977213,0,2.64,1709284805541,0.122282,1763801423792,1.046,3.737,-6.704,-24.353,-30.48,-81.592,1763856000000
axelar,0.103603,5.7850729,20914627,0.038,439916796,0,18875,71,74,145,372032523,17.78815003490141,17.78815003490141,7118,105728,axelar,0.126728,136040958,348,154981282,17525286,0.139728,0.122554,-0.00670679,-5.026,-7483153,-5.214,1074289279,1223857374,0,2.64,1709284805541,0.122554,1763728040687,1.902,-5.026,-12.434,-32.35,-29.685,-82.347,1763769600000
