address,moniker,commission,rank,token,votingPower,timestamp
axelarvaloper13s44uvtzf578zjze9eqeh0mnemj60pwn83frcp,P2Porg ,0.1,1,31165275,0.06712,1765152000000
axelarvaloper1kj8j6hkmgfvtxpgfuskj602sxs5dsfkm6ewm4l,Cosmostation,0.05,2,26015555,0.056029,1765152000000
axelarvaloper1nqe0ggecgsyaegl4t6m6k4786cd29xjt4znsf5,Coinbase,0.1,3,24031884,0.051757,1765152000000
axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,Everstake,0.1,4,21275072,0.04582,1765152000000
axelarvaloper1fs69lv72gq2a5ujd7szfmnl9qp6zgmk3mjwq2j,anon001,1,5,20000033,0.043074,1765152000000
axelarvaloper1ds9z59d9szmxlzt6f8f6l6sgaenxdyd6095gcg,Lemniscap,0.05,6,16177071,0.03484,1765152000000
axelarvaloper1uvx854yjzn9re8vu74067u68r4ar70tywgpcwg,Figment,0.1,7,13126419,0.02827,1765152000000
axelarvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4ppzdrn6,polkachucom,0.05,8,12302064,0.026495,1765152000000
axelarvaloper1kafxdlrq8svz68j2tn8qtqk74j4yhylyf364pt, AutoStake  Slash Protected,0.05,9,11783077,0.025377,1765152000000
axelarvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s3j2wke,Informal Systems,0.1,10,11712157,0.025224,1765152000000
axelarvaloper1uf7s2v44qqpe9lpnsjy6cfjueqytakuzayfg0h,Stakin,0.1,11,10917373,0.023513,1765152000000
axelarvaloper1v2n7lleh4gn8gjfjhrrelvl4v2saqqlf48rwf5,Simply Staking,0.06,12,9834483,0.02118,1765152000000
axelarvaloper19wz0kfzj2czmjg9052h69wk6kgxc848hxs8rhl,Qubelabs,0.1,13,9750318,0.020999,1765152000000
axelarvaloper1vq6rn6ph9hg3kf0l5lrvdnud9s46lp04mhhsk9,AlexZ,0.15,14,9467459,0.02039,1765152000000
axelarvaloper17q4fqv86dxkes384tnmrvjr9ljp2slunr6k00w,Citadelone,0.05,15,9276918,0.01998,1765152000000
axelarvaloper1s0lankh33kprer2l22nank5rvsuh9ksa6utflp,Encapsulate fka KingSuper,0.09,16,9205225,0.019825,1765152000000
axelarvaloper19dx6vywgr62jtsxhhlhlgh7ug5vmgjnz6dkeud,StakeLabzone,0.05,17,8633762,0.018594,1765152000000
axelarvaloper1u3asfwr2q0xhshj88sq4yvh89qluunefh270lz,Provalidator,0.1,18,8251931,0.017772,1765152000000
axelarvaloper1z9cz08mlfp6qz456zyzkw6epsjlzvr043m4rzz,NodeMonster,0.1,19,8041381,0.017319,1765152000000
