id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
20,v42 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1764582697000,1764582697000,1764841897000,undefined,2046903,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1353847677.7743,0,0,3161.166771
19,v41 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1763553444000,1763553444000,1763812644000,undefined,1945197,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1314260405.653401,59.783317,0,26814689.91303
18,v4 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1762771148000,1762771148000,1763030348000,undefined,1867160,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1077054985.724505,20018.3,10000,17814885.667954
17,Whitelisting b14g Deployer Address to launch CoStaking Marketplace,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1762446241000,1762446241000,1762705441000,undefined,1834566,bbn1zcqm9rh60309r99jg56vhywdj28r8gmga6w3x6,881895908.312952,11020.7,11017.8,24769899.601603
16,Update xtokenfactory parameters to remove denomcreationfee,/osmosis.tokenfactory.v1beta1.MsgUpdateParams,PASSED,1761739259000,1761739259000,1761998459000,undefined,0,null,1105303292.335089,8922.941494,15.43,45905655.985555
15,Signalling Proposal Inflation reduction and the introduction of costaking,Text,PASSED,1759482237000,1759482237000,1759741437000,undefined,1536741,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1154147236.17269,18989.8,0,42061457.65084
14,v23 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1758020560000,1758020560000,1758279760000,undefined,1390010,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1530971924.997889,665,0,3996
13,Signalling Proposal Programmatic Deflation of BABY,Text,PASSED,1754666332000,1754666332000,1754925532000,undefined,1054127,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1068893787.572379,22323.530718,11176.6721,29773487.417457
12,Reduce the unbonding time to 301 BTC blocks,/babylon.btcstaking.v1.MsgUpdateParams,PASSED,1752224760000,1752224760000,1752483960000,undefined,809340,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1164575715.736283,4745,0,12010567.094456
11,v22 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1750998800000,1750998800000,1751085200000,undefined,686553,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1381424472.325884,0,0,0
10,v2 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1749729592000,1749729592000,1749988792000,undefined,561794,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,1263176005.415332,321.775523,0,74010697.674084
9,v11 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1747033233000,1747033233000,1747119633000,undefined,0,null,849362689.912954,0,0,50004796.728052
8,Reduce the unbonding fee to 30 satsvByte,/babylon.btcstaking.v1.MsgUpdateParams,PASSED,1744959605000,1744959605000,1745218805000,undefined,86377,bbn16qt8klszmzn3njraekqtp3kswn86zlc06z6e97,790076028.71607,100000,0,50000108.159391
7,Escher Liquid Staking Smart Contract Deployment on Babylon,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744302416000,1744302416000,1744388816000,undefined,21296,bbn1y3u4mw39adngenlzwqm6hz60flz25gsxh2s9x4,980918719.817031,422.747813,0,299
6,Whitelist SatLayer Labs address to deploy core restaking contracts,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744298000000,1744298000000,1744384400000,undefined,20859,bbn1ajyvjezxgtcfm5czxqq4kawqu73x5n9rfvgqcq,1049041536.44033,0,0,50000830.947813
5,Whitelist Persistence Labs address to deploy Persistence DEX on Babylon,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744292168000,1744294020000,1744553220000,undefined,20283,bbn1ljntyrs8smypepcpqzdunkfr3cl7wajtk8pvyh,1051581574.558702,500,0,50011764.410041
4,Whitelisting Address for Union,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744292006000,1744292006000,1744378406000,undefined,20267,bbn12z2k2wajxty2pqhh9znwn9tusrupkqj7fsdh37,1048852859.900025,0,0,50000108
3,Whitelist Interchain Labs Account To Upload Contracts,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744145211000,1744145211000,1744231611000,undefined,5651,bbn1zhqrfu9w3sugwykef3rq8t0vlxkz72vwjlnpn4,1002500133.025777,0,0,0
2,Whitelisting Address for Tower DEX,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1744138386000,1744138386000,1744224786000,undefined,4970,bbn10gumx3vyesz0u64ljj6mwxxxpgcsv2uaupgglv,928000130.025877,0,0,0
1,v1 Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1743661214000,1743661214000,1743661514000,undefined,0,null,1,0,0,0
