address,moniker,commission,rank,token,votingPower,timestamp
bbnvaloper1g8v4zp9j7jkq4s6spgasanu087kfvtnxg50fk7,Lombard Finance,0.1,1,125496845,0.059867,1765152000000
bbnvaloper1tf2sw45fx6c968ux9zphd57twdlw69jp7qrgdm,Keplr,0.03,2,104057652,0.04964,1765152000000
bbnvaloper1xvzpmejwax2uuquap8rgxt5d7f4xscfww4dfc9,Zellic,0.05,3,89731151,0.042805,1765152000000
bbnvaloper1r48zpc8xzrjhm9el48kpyg0kzmc93mms3xc92f,OKX Earn,0.1,4,75011446,0.035783,1765152000000
bbnvaloper1y5fqc69rthqgltjnjze408t66j5pp6kdyhlz48,P2Porg ,0.1,5,72608442,0.034637,1765152000000
bbnvaloper1u9w7kfngrsr2defextqf5fscypw8dys50pdza4,Cosmostation,0.03,6,66070390,0.031518,1765152000000
bbnvaloper1004nqmppj9tvwf0l5gawl747lg452vl35m5x0x,Figment,0.1,7,61189899,0.02919,1765152000000
bbnvaloper1a67tugdznyxnc0np20d0lgkszd6fshcppeq8sv,NodesGuru,0.05,8,60742136,0.028976,1765152000000
bbnvaloper18hly9zagjfuzzeqp92uhwafmplmtgd0u98vjj3,DSRV,0.1,9,60714943,0.028963,1765152000000
bbnvaloper14axcnvrrhw8yzvvnl79ugtxxf9ws5j7ah0ftv2,Luganodes,0.1,10,56115773,0.026769,1765152000000
bbnvaloper1j2t9f3vencxyvt6knyu8e7srfzfeesdty06dnc,RockX,0.05,11,55924415,0.026678,1765152000000
bbnvaloper1hcqhj9zukk4pncknux3gfkgw9fhy8uc2ldfzsd,stakefish,0.05,12,50456986,0.02407,1765152000000
bbnvaloper167thlj4wjetzwkjp8wkfm5u99jwvlrrd8zr0qd,Kraken,0.1,13,50224810,0.023959,1765152000000
bbnvaloper162e0vrljew6xmkazpcuz6fksjlk0sw0rwvtfwj,Solv Protocol,0.1,14,50085608,0.023893,1765152000000
bbnvaloper13wj0x342yr9mahkaenvdlrzzpwe84570sh0yjq,Anchorage Digital 2,0.2,15,50030033,0.023866,1765152000000
bbnvaloper19fzfy82u2y8p5p6hz9zpgezgc556rjy6dnnmul,CoinSummer Labs,0.05,16,50011908,0.023858,1765152000000
bbnvaloper109x73vm9p45qsgmu2dhelsxscuajyjc20n5xc0,Xangle,0.1,17,50002941,0.023853,1765152000000
bbnvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqrxz9qp,Kiln,0.08,18,50000465,0.023852,1765152000000
bbnvaloper1jcrv77zqx0vggr2v325nkhfctt4gqjretq6mqa,verse2,0.1,19,50000012,0.023852,1765152000000
bbnvaloper1avpnfj6wfkhfz0syl89rrqesp26eke7ux845q9,Cobo,0.1,20,50000010,0.023852,1765152000000
bbnvaloper1l5c6cf6rps3vq65hmk73hqv2epj6wrn2vlkawa,Everstake,0.1,21,39770095,0.018972,1765152000000
bbnvaloper176nnuls55nkgtpc67tp3p70vjnnwx3c4q3w225,Kairos Research X Firstset,0.1,22,29032204,0.01385,1765152000000
bbnvaloper1fyfnvvswqjmg2xlpx2grldmlnuzqj6zj2hc8hd,01node,0.05,23,27932952,0.013325,1765152000000
bbnvaloper163zszfeemrqfyg3jlasztzmy0eea8l8qjlvlz2,CosmosSpaces,0.08,24,26846236,0.012807,1765152000000
bbnvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q2fl4t5,Stakecito,0.05,25,26295027,0.012544,1765152000000
bbnvaloper1nr3u9926m0zmglqam3wljsg9zjaef3ptqege9m,Anchorage Digital 1,0.07,26,26179216,0.012489,1765152000000
bbnvaloper1y2kvtdppq9fujd6qrn7ptsyndej4ngl4u93kyg,InfStones,0.1,27,26142598,0.012471,1765152000000
bbnvaloper1z48ejjhtpy6al2l0rmd64x2qdnrlxq5hqf4d66,Hinode Technologies,0.1,28,26107012,0.012454,1765152000000
bbnvaloper1eunu7l7qfmemdw4xv7apejl28jzgd3t346dh63, CryptoCrew Validators,0.05,29,25859021,0.012336,1765152000000
bbnvaloper12m9zj4d64mehzzrx59kyw5ul773xpshlz690w0,Chorus One,0.1,30,24615260,0.011742,1765152000000
bbnvaloper1n9wz2ww9260jwqfxejgk7p933j32uzqkldm2qw,KudasaiJP,0.1,31,24613849,0.011742,1765152000000
bbnvaloper1d2wmqey6t654avp8s2wxspkfeylj6ax2xqkxwr,BHarvest,0.1,32,24609396,0.01174,1765152000000
bbnvaloper1st53852y75x5lc7he8cekclf3vmpn5ynccyysz,Nansen  Stake to Stack Points,0.05,33,22796464,0.010875,1765152000000
bbnvaloper1jr4tsed9w988fl4xkprvys36pxd0zxjjlprcm8,Staking4All,0.03,34,20479227,0.009769,1765152000000
bbnvaloper1sthe9eeu0jplf7nl9x5crxfquydwxv93hcruz4,ContributionDAO,0.1,35,20310219,0.009689,1765152000000
