source,target,messages,txs,channel,timestamp,volume,type
band,osmosis,2,2,transfer/channel-83,1764892800000,7.806312,ack
band,terra,0,0,transfer/channel-150,1764892800000,0,ack
band,injective,0,0,transfer/channel-3,1764892800000,0,ack
band,consumer,0,0,transfer/channel-2,1764892800000,0,ack
band,injective,0,0,transfer/channel-4,1764892800000,0,ack
band,cosmos,0,0,transfer/channel-8,1764892800000,0,ack
band,osmosis,0,0,transfer/channel-6,1764892800000,0,ack
band,juno,0,0,transfer/channel-87,1764892800000,0,ack
band,juno,0,0,transfer/channel-86,1764892800000,0,ack
band,injective,0,0,transfer/channel-92,1764892800000,0,ack
band,kujira,0,0,transfer/channel-94,1764892800000,0,ack
band,planq_7070-2,0,0,transfer/channel-99,1764892800000,0,ack
band,coreum,0,0,transfer/channel-158,1764892800000,0,ack
band,coreum,0,0,transfer/channel-159,1764892800000,0,ack
band,cosmos,0,0,transfer/channel-160,1764892800000,0,ack
band,stride,4,4,transfer/channel-161,1764892800000,7.521328,ack
band,io-1,0,0,transfer/channel-162,1764892800000,0,ack
band,io-1,0,0,transfer/channel-163,1764892800000,0,ack
band,onomy-testnet-3,0,0,transfer/channel-287,1764892800000,0,ack
band,osmosis,6,6,transfer/channel-83,1764892800000,198.270642,receive
band,terra,0,0,transfer/channel-150,1764892800000,0,receive
band,injective,19,19,transfer/channel-3,1764892800000,1909.745407,receive
band,injective,0,0,transfer/channel-4,1764892800000,0,receive
band,cosmos,0,0,transfer/channel-8,1764892800000,0,receive
band,osmosis,0,0,transfer/channel-6,1764892800000,0,receive
band,injective,0,0,transfer/channel-92,1764892800000,0,receive
band,coreum,0,0,transfer/channel-158,1764892800000,0,receive
band,coreum,0,0,transfer/channel-159,1764892800000,0,receive
band,cosmos,0,0,transfer/channel-160,1764892800000,0,receive
band,stride,5,5,transfer/channel-161,1764892800000,7.048378,receive
band,osmosis,0,0,transfer/channel-83,1764806400000,0,ack
band,terra,0,0,transfer/channel-150,1764806400000,0,ack
band,injective,0,0,transfer/channel-3,1764806400000,0,ack
band,consumer,0,0,transfer/channel-2,1764806400000,0,ack
band,injective,0,0,transfer/channel-4,1764806400000,0,ack
band,cosmos,0,0,transfer/channel-8,1764806400000,0,ack
band,osmosis,0,0,transfer/channel-6,1764806400000,0,ack
band,juno,0,0,transfer/channel-87,1764806400000,0,ack
band,juno,0,0,transfer/channel-86,1764806400000,0,ack
band,injective,0,0,transfer/channel-92,1764806400000,0,ack
band,kujira,0,0,transfer/channel-94,1764806400000,0,ack
band,planq_7070-2,0,0,transfer/channel-99,1764806400000,0,ack
band,coreum,0,0,transfer/channel-158,1764806400000,0,ack
band,coreum,0,0,transfer/channel-159,1764806400000,0,ack
band,cosmos,0,0,transfer/channel-160,1764806400000,0,ack
band,stride,4,4,transfer/channel-161,1764806400000,7.335228,ack
band,io-1,0,0,transfer/channel-162,1764806400000,0,ack
band,io-1,0,0,transfer/channel-163,1764806400000,0,ack
band,onomy-testnet-3,0,0,transfer/channel-287,1764806400000,0,ack
band,osmosis,1,1,transfer/channel-83,1764806400000,42.117264,receive
band,terra,0,0,transfer/channel-150,1764806400000,0,receive
band,injective,96,96,transfer/channel-3,1764806400000,15961.1040744,receive
band,injective,0,0,transfer/channel-4,1764806400000,0,receive
band,cosmos,0,0,transfer/channel-8,1764806400000,0,receive
band,osmosis,0,0,transfer/channel-6,1764806400000,0,receive
band,injective,0,0,transfer/channel-92,1764806400000,0,receive
band,coreum,0,0,transfer/channel-158,1764806400000,0,receive
band,coreum,0,0,transfer/channel-159,1764806400000,0,receive
band,cosmos,0,0,transfer/channel-160,1764806400000,0,receive
band,stride,4,4,transfer/channel-161,1764806400000,1.044098,receive
band,osmosis,7,7,transfer/channel-83,1764720000000,51.871083,ack
band,terra,0,0,transfer/channel-150,1764720000000,0,ack
band,injective,0,0,transfer/channel-3,1764720000000,0,ack
band,consumer,0,0,transfer/channel-2,1764720000000,0,ack
band,injective,0,0,transfer/channel-4,1764720000000,0,ack
band,cosmos,0,0,transfer/channel-8,1764720000000,0,ack
band,osmosis,0,0,transfer/channel-6,1764720000000,0,ack
band,juno,0,0,transfer/channel-87,1764720000000,0,ack
band,juno,0,0,transfer/channel-86,1764720000000,0,ack
band,injective,0,0,transfer/channel-92,1764720000000,0,ack
band,kujira,0,0,transfer/channel-94,1764720000000,0,ack
band,planq_7070-2,0,0,transfer/channel-99,1764720000000,0,ack
band,coreum,0,0,transfer/channel-158,1764720000000,0,ack
band,coreum,0,0,transfer/channel-159,1764720000000,0,ack
band,cosmos,0,0,transfer/channel-160,1764720000000,0,ack
band,stride,4,4,transfer/channel-161,1764720000000,6.518423,ack
band,io-1,0,0,transfer/channel-162,1764720000000,0,ack
band,io-1,0,0,transfer/channel-163,1764720000000,0,ack
band,onomy-testnet-3,0,0,transfer/channel-287,1764720000000,0,ack
band,osmosis,1,1,transfer/channel-83,1764720000000,0.066871,receive
band,terra,0,0,transfer/channel-150,1764720000000,0,receive
band,injective,91,91,transfer/channel-3,1764720000000,11818.991064,receive
band,injective,0,0,transfer/channel-4,1764720000000,0,receive
band,cosmos,0,0,transfer/channel-8,1764720000000,0,receive
band,osmosis,0,0,transfer/channel-6,1764720000000,0,receive
band,injective,0,0,transfer/channel-92,1764720000000,0,receive
