chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
band,0.138599,1.0903258,52610437,0.08509125171358105,90248731,168923971,1349664,53,182,235,465569472,8.849374735283039,8.849374735283039,1612,32236,band-protocol,0.377765,63027809,564,63791740,5068426,0.394763,0.375709,-0.01486806,-3.787,-2505958,-3.824,166900496,168923421,0,22.83,1618488251270,0.203625,1574660962765,-0.634,-3.787,-10.019,-0.433,-25.584,-82.833,1765152000000
band,0.138599,1.1144648,52531302,0.08509125171358105,90245822,168879452,1348774,53,182,235,465234208,8.856323568755254,8.856323568755254,1607,32200,band-protocol,0.392687,65530682,552,66307500,4544123,0.404802,0.391853,-0.00280265,-0.709,-472417,-0.716,166900496,168878980,0,22.83,1618488251270,0.203625,1574660962765,-0.431,-0.709,4.532,5.698,-11.589,-82.143,1765065600000
band,0.138599,1.0927397,52452189,0.08509125171358105,90297367,168834982,1347883,53,182,235,464951285,8.864287532404033,8.864287532404033,1633,32168,band-protocol,0.39549,66003098,549,66767767,6762327,0.419516,0.388838,-0.0211524,-5.077,-3600695,-5.173,166900496,168834097,0,22.83,1618488251270,0.203625,1574660962765,-0.72,-5.077,1.671,7.642,-14.797,-82.207,1764979200000
band,0.138599,1.090537,52373115,0.08509125171358105,90288569,168790575,1346995,53,182,235,464647808,8.871876496175567,8.871876496175567,1633,32168,band-protocol,0.417111,69603792,541,70391653,9387006,0.442896,0.411848,-0.01849955,-4.247,-3175395,-4.363,166900496,168789681,0,22.83,1618488251270,0.203625,1574660962765,0.32,-4.247,4.379,6.608,-4.125,-81.128,1764892800000
band,0.138599,1.0987995000000002,52294585,0.08509125171358105,90281951,168746512,1346113,53,182,235,464356882,8.879636046447256,8.879636046447256,1623,32092,band-protocol,0.436063,72779187,533,73583921,12134805,0.445124,0.427473,-0.00773215,-1.742,-1212496,-1.639,166900496,168745949,0,22.83,1618488251270,0.203625,1574660962765,0.825,-1.742,9.849,8.224,-4.312,-79.356,1764806400000
band,0.138599,1.2801863,52220223,0.08509125171358105,90280193,168704824,1345281,53,182,235,464037843,8.886171225274163,8.886171225274163,1645,32063,band-protocol,0.443561,73991683,522,74791388,31277948,0.497994,0.438459,-0.03177135,-6.684,-5403575,-6.806,166900496,168704364,0,22.83,1618488251270,0.203625,1574660962765,-0.146,-6.684,13.382,6.648,-14.689,-77.005,1764720000000
band,0.138599,1.2794188,52153201,0.08509125171358105,90285215,168667279,1344530,53,182,235,463730676,8.891701124922323,8.891701124922323,1723,32036,band-protocol,0.475551,79395257,487,80235490,37144778,0.505602,0.383525,0.056428,13.463,9373655,13.387,166900496,168666790,0,22.83,1618488251270,0.203625,1574660962765,-1.079,13.463,21.317,19.712,-10.015,-74.399,1764633600000
band,0.138599,1.2509218,52085025,0.08509125171358105,93668732,168629119,1343767,53,182,235,463411673,8.897215140052252,8.897215140052252,1769,32020,band-protocol,0.41911,70021602,541,70746513,25803456,0.455408,0.371662,0.04263447,11.325,7184981,11.434,166900496,168628363,0,22.83,1618488251270,0.203625,1574660962765,0.055,11.325,10.07,4.396,-16.168,-77.926,1764547200000
band,0.138599,1.2608009,52016590,0.08509125171358105,93657344,168590838,1343000,53,182,235,463125631,8.903421600685475,8.903421600685475,1803,32020,band-protocol,0.376652,62836621,568,63472780,3428086,0.39042,0.373234,-0.01200424,-3.089,-2020844,-3.116,166900496,168590200,0,22.83,1618488251270,0.203625,1574660962765,0.339,-3.089,2.484,-10.76,-22.163,-78.836,1764460800000
band,0.138599,1.2449367,51947891,0.08509125171358105,93657109,168552437,1342231,53,182,235,462845080,8.909795394773582,8.909795394773582,1878,32020,band-protocol,0.388691,64857464,565,65499095,4293018,0.396896,0.383227,-0.00714372,-1.805,-1244177,-1.882,166900496,168551633,0,22.83,1618488251270,0.203625,1574660962765,-0.077,-1.805,5.792,-7.674,-26.99,-76.691,1764374400000
band,0.138599,1.252483,51879064,0.08509125171358105,93659715,168513988,1341462,53,182,235,462560119,8.916123062667438,8.916123062667438,2020,32018,band-protocol,0.395747,66080927,565,66719512,3446880,0.401487,0.392943,-0.00113051,-0.285,-88254,-0.133,166900496,168513371,0,22.83,1618488251270,0.203625,1574660962765,-0.192,-0.285,-0.202,-8.624,-24.084,-76.195,1764288000000
band,0.138599,1.2685159,51810619,0.08509125171358105,93659349,168475783,1340698,53,182,235,462281398,8.922522195691196,8.922522195691196,2060,32013,band-protocol,0.396866,66169180,559,66793459,4202740,0.397345,0.382879,0.00412155,1.049,619996,0.946,166900496,168475135,0,22.83,1618488251270,0.203625,1574660962765,0.154,1.049,-1.504,-12.961,-27.132,-73.842,1764201600000
band,0.138599,1.2750202,51742937,0.08509125171358105,93659317,168438027,1339942,53,182,235,462000580,8.928766065211953,8.928766065211953,2161,32003,band-protocol,0.392192,65549183,559,66152761,4864197,0.393417,0.383332,0.00134202,0.343,177291,0.271,166900496,168437318,0,22.83,1618488251270,0.203625,1574660962765,0.439,0.343,-4.747,-15.716,-28.721,-74.181,1764115200000
band,0.138599,1.2757835,51676448,0.08509125171358105,93658990,168400963,1339200,53,182,235,461719196,8.934809064276244,8.934809064276244,2161,32003,band-protocol,0.391346,65371893,563,65959394,6145576,0.396444,0.371587,0.01535649,4.084,2621550,4.178,166900496,168400442,0,22.83,1618488251270,0.203625,1574660962765,0.08,4.084,-1.485,-21.421,-28.178,-74.177,1764028800000
band,0.138599,1.2713686,51608989,0.08509125171358105,93608344,168363381,1338448,53,182,235,461399450,8.94029235875944,8.94029235875944,2368,32001,band-protocol,0.37601,62750343,568,63300135,5334817,0.386856,0.369333,0.00529063,1.427,901675,1.458,166900496,168362808,0,22.83,1618488251270,0.203625,1574660962765,-0.91,1.427,-6.927,-21.095,-31.18,-73.955,1763942400000
band,0.138599,1.2833804,51541000,0.08509125171358105,93618151,168325532,1337691,53,182,235,461088015,8.946043247123649,8.946043247123649,2405,31996,band-protocol,0.370582,61848668,567,62376553,5516757,0.373244,0.354199,0.00747251,2.058,1261470,2.082,166900496,168325009,0,22.83,1618488251270,0.203625,1574660962765,-0.251,2.058,-12.198,-24.248,-31.491,-72.563,1763856000000
band,0.138599,1.2933843,51473707,0.08509125171358105,93616736,168288095,1336942,53,182,235,460791995,8.951987759498262,8.951987759498262,2407,31983,band-protocol,0.36303,60587198,573,61090747,11899247,0.394616,0.351252,-0.02713134,-6.954,-4368562,-6.725,166900496,168287631,0,22.83,1618488251270,0.203625,1574660962765,1.729,-6.954,-13.341,-28.487,-29.211,-72.55,1763769600000
band,0.138599,1.270744,51406954,0.08509125171358105,93616020,168250981,1336199,53,182,235,460397875,8.955945434930847,8.955945434930847,2411,31954,band-protocol,0.389154,65123116,569,65649801,9565363,0.434466,0.379302,-0.01630045,-4.02,-2520287,-3.726,166900496,168250309,0,22.83,1618488251270,0.203625,1574660962765,-2.062,-4.02,-10.146,-12.384,-29.324,-68.694,1763683200000
band,0.138599,1.2428251000000001,51342519,0.08509125171358105,93584937,168215183,1335482,53,182,235,460083424,8.961060597747453,8.961060597747453,2420,31931,band-protocol,0.405337,67661251,566,68194004,7824205,0.413965,0.382543,-0.00862786,-2.084,-1395601,-2.021,166900496,168214641,0,22.83,1618488251270,0.203625,1574660962765,0.889,-2.084,-11.103,-12.675,-26.842,-68.638,1763596800000
band,0.138599,1.2326463,51273180,0.08509125171358105,93587922,168176683,1334712,53,182,235,459779603,8.967253503683603,8.967253503683603,2449,31918,band-protocol,0.413816,69093045,563,69621060,9168290,0.41932,0.399683,0.00997372,2.47,1712754,2.542,166900496,168175965,0,22.83,1618488251270,0.203625,1574660962765,-0.504,2.47,-11.069,-4.882,-24.244,-69.707,1763510400000
band,0.138599,1.2538719999999999,51204022,0.08509125171358105,93586371,168138315,1333944,53,182,235,459462954,8.973180934888278,8.973180934888278,2497,31896,band-protocol,0.403808,67380291,569,67879796,8854509,0.418299,0.394464,-0.00548254,-1.34,-967487,-1.416,166900496,168137768,0,22.83,1618488251270,0.203625,1574660962765,0.571,-1.34,-18.919,-11.472,-23.903,-68.22,1763424000000
band,0.138599,1.2487736999999999,51135150,0.08509125171358105,93585993,168100126,1333179,53,182,235,459125876,8.978674668989921,8.978674668989921,2553,31874,band-protocol,0.408912,68347777,573,68838769,6296792,0.428408,0.397975,-0.01555535,-3.665,-2403677,-3.397,166900496,168099465,0,22.83,1618488251270,0.203625,1574660962765,1.218,-3.665,-14.191,-21.37,-22.126,-69.907,1763337600000
