id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
17,BCIP17 Strengthening Validator Operations for Band v3,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1759307665000,1759308599000,1759740599000,undefined,47928422,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,80831763.593432,0,17910.827159,314420.806686
16,BCIP16 Launching the First TSS Group on BandChain,/band.bandtss.v1beta1.MsgTransitionGroup,PASSED,1753942626000,1753946335000,1754378335000,undefined,43413920,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,67262215.305884,0,0,1555050.061549
15,BCIP15 Upgrade to v31,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1752292183000,1752294094000,1752726094000,undefined,42173475,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,69360664.4994,0,0,1029212.905675
14,BCIP14 Upgrade to v3,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1750675943000,1750696103000,1751905703000,undefined,41603073,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,66206566.899873,0,0,552827.910987
13,BCIP12 Increase the maximum data size for oracle module,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1710233481000,1710251254000,1711460854000,undefined,26855522,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,39966022.610798,64.568353,0,42720551.391023
12,Band Protocol Grants Program,/cosmos.distribution.v1beta1.CommunityPoolSpendProposal,PASSED,1685434432000,1685435306000,1686644906000,undefined,17628342,band1xz5zcr3c97u99lxgr5u54uhx43t62fpzedevhq,19790413.643489,0,0,47682210.564841
11,BCIP11 Upgrade to v25,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1681194339000,1681194559000,1682404159000,undefined,16032005,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,70733404.495946,0,0,53167.359112
10,BCIP10 Introduce minimum gas price of 00025 uband,/cosmos.gov.v1beta1.TextProposal,PASSED,1673610087000,1673610261000,1674819861000,undefined,13203970,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,17504224.442471,14.12597,0,32147784.232584
9,BCIP9 Upgrade to v24,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1667467806000,1667469998000,1668679598000,undefined,10994419,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,76973831.418618,0,0,0
7,BCIP7 Increase maxrawrequestcount from 12 to 16,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1646980204000,1646980825000,1648190425000,undefined,4665136,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,67752085.842959,0.000001,0,1541.206307
6,BCIP6 Increase Block Capacity through Request Gas Parameter,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1644555311000,1644555465000,1645765065000,undefined,3948518,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,74682907.122905,0,0,200
5,BCIP5 Enable IBC Transfer,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1635423780000,1635423955000,1636633555000,undefined,1013159,band1xx0cnnpqahcwmx47adf3tluhcp5cpl267cumwc,60161828.259064,0,0,0
4,BCIP4 Enable IBC Oracle,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1633093080000,1633093359000,1634302959000,undefined,241665,band1ttmw4lehuk2e5fhs4cqq2apc2exaxeytax0v6z,73802515.005187,0,0,0
3,BCIP3 Laozi Upgrade Proposal B,/cosmos.gov.v1beta1.TextProposal,PASSED,1631014778000,1631014901000,1632224501000,undefined,0,null,68172490.148583,0,0,0
2,BCIP2 Laozi Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1624882590000,1624890528000,1626100128000,undefined,0,null,74265857.671497,0,0,0
1,GuanYu Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1601363436000,1601363537000,1602573137000,undefined,0,null,61509712.685441,0,0,515.217133
