address,moniker,commission,rank,token,votingPower,timestamp
bandvaloper1wja9nds8klxcjurvxerdsun4t52zfjvqpj6y54,Knuth,1,1,9420359,0.104382,1765152000000
bandvaloper1m88fha4982ev7smptzu8a7wvt8wkxdvfewh2md,Tarjan,1,2,9415248,0.104325,1765152000000
bandvaloper128dkddh98pfwdxg07t36fxedczthg0p2mdcs42,Hamming,1,3,8702269,0.096425,1765152000000
bandvaloper1r00x80djyu6wkxpceegmvn5w9nx65prgqhxkzq,Dijkstra,1,4,8498085,0.094163,1765152000000
bandvaloper1f6htx23e4xfu0dkpa2ck2kk63la2ej947cq0w4,Kruskal,1,5,8458861,0.093728,1765152000000
bandvaloper153znf8a89gmunexzrg2ud2yz47gyer9c05t2l8,Binance validator,0.025,6,4772904,0.052886,1765152000000
bandvaloper17d3uhcjlh4jyqcep82jfsrg8avsngklxxan5tg,Cosmostation,0.1,7,3453905,0.038271,1765152000000
bandvaloper1ycs4g7xu8wmf7n4vwwtfsvhtfm7tekvwk34rxz,sorawit,0.1,8,3072094,0.03404,1765152000000
bandvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvn4hl7n,Nansen  Stake to Stack Points,0.1,9,2626336,0.029101,1765152000000
bandvaloper1q894x7p4ugl3q5l47e8ksll5k5lmx74fxqez5y,BHarvest,0.1,10,2550498,0.028261,1765152000000
bandvaloper15urq2dtp9qce4fyc85m6upwm9xul3049fz627w,Chorus One,0.1,11,2506720,0.027776,1765152000000
bandvaloper1nqmeykpnqdccxf2kfqnwszy748ll3qlzu0heyt,Active Nodes,0.069,12,2088013,0.023136,1765152000000
bandvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0wz502z,Forbole,0.1,13,2017297,0.022353,1765152000000
bandvaloper1lksevk5362eterq75haf7wxx6jdpgdzyd9ms9h,Wanchain,0.1,14,1558270,0.017266,1765152000000
bandvaloper1dr64r506ln5n3aqqgkccf56uwdd9d9jvlh9l4p,HashKey Cloud,0.1,15,1548026,0.017153,1765152000000
bandvaloper10grrhfawl98ypn5x25zmqcp8f20eg9sw56v3e0,Citadelone,0.05,16,1204255,0.013344,1765152000000
bandvaloper1cuc594q8uam3rx90tztgplssnymlqnr5epmsjq,Wellstake,0.1,17,1146808,0.012707,1765152000000
bandvaloper1cmx8hvx8pn9ezuc57rgy3dqqlkju6uph3mjwxs,polkachucom,0.01,18,1041576,0.011541,1765152000000
bandvaloper14wuzcsyttmyedc7e7z7e0exhg8k94x6eulj6pt,Ubik Capital,0.1,19,1031116,0.011425,1765152000000
bandvaloper1p26kdh5fx24qz9xa5jtjje8ha8ee9q44nrsc8c,Stakecito,0.05,20,1030080,0.011414,1765152000000
bandvaloper1qgvcttnjx3enjqg9pnhclt6d4z7qdknavg4q9c,WeStaking,0.1,21,1019346,0.011295,1765152000000
bandvaloper1lvnlajgsn6mkx0p33g7ge6jyfpjlhrpv7clhqk,Imperatorco,0.1,22,1009639,0.011187,1765152000000
bandvaloper1aqqfs9dftsmdnp3tuzqfvpwd4768mj42pd67ea,htx,0.1,23,1000001,0.01108,1765152000000
bandvaloper1hln9scsl9yqup8nxyum06rmggql5m5zqwxmt3p,InfStones,0.1,24,1000000,0.01108,1765152000000
bandvaloper1nguv0kdayw7qhy6d354el4f87d67ynt52wrdk3,Stake Shark,0.1,25,958211,0.010617,1765152000000
bandvaloper1y6cjh2xy6550kw63wxzgyse85vxues809z3sys,Finality,0.05,26,802238,0.008889,1765152000000
bandvaloper1pp534se9rmt59d5zkv4p8cp6jj5zxm4uxdhejs,Enigma,0.05,27,700356,0.00776,1765152000000
bandvaloper1unfg2zhnssl07tql8d85zc6rx7zsfs5qh206av,StakeCraft,0.1,28,605613,0.00671,1765152000000
bandvaloper1uytng9pl50mtedmsdrzanvy8vgxttvysw59ugd,HighStakesch  Daily Airdrops,0.05,29,538723,0.005969,1765152000000
bandvaloper1hcu2spr3r80v36us40mg938f5qhaqq2qeajtfv,Stakewollecom  Autocompound,0.04,30,536091,0.00594,1765152000000
bandvaloper1qzl2ckmfv83w4f65rf77utuc5jmhtexpjxjyzw,BitNordic,0.05,31,512339,0.005677,1765152000000
bandvaloper1hdw8pzr79y4at0teak0mwcrjhv3e6n3wegfv2m,w3coins,0.1,32,511099,0.005663,1765152000000
bandvaloper13vd9rzgytsvcm278ufehsvdvg2kky2djwjguq7,0basevc,0.1,33,408689,0.004528,1765152000000
bandvaloper1zm5p8gg3ugjcdwz9yrxaf6fdptxa4gw04rplr9,figment,0.1,34,389730,0.004318,1765152000000
bandvaloper1xs2penspev206jj0egh5qu7qmr6mjzfgj299xl, AutoStake  Slash Protected,0.1,35,324180,0.003592,1765152000000
bandvaloper1ev4ylm9q6kyzsck3t6sw0h86zev95cfxzkn4cz, CryptoCrew Validators IBCgang,0.05,36,314197,0.003481,1765152000000
bandvaloper10s7t8prp0nz36g4dug5ftkm8elyg9hdtlpn6uv,StakeLab,0.05,37,311632,0.003453,1765152000000
bandvaloper17s35yz3rglx7pnjppm4u9l9ht2k9mr9tq0eyh6,Stakeflow,0.1,38,301815,0.003344,1765152000000
bandvaloper1fzhy0swda9ajmtqeh0ch8v59ngnwsy8ys2dhv9,Cosmos Spaces,0.08,39,301532,0.003341,1765152000000
bandvaloper15ak2q82ddzhxfdgcah34sfxjr7gqchmm4qssqc,StakingCabin,0.05,40,300350,0.003328,1765152000000
bandvaloper1qcncyz7lk6am048zhuyh2vv47ymf929lpdfd7d,ContributionDAO,0.1,41,300049,0.003325,1765152000000
bandvaloper1h9a8wasp8zvj8h06mp7tlm0eetgacafkyfqapc,TTT VN,0.1,42,300016,0.003324,1765152000000
bandvaloper1ppycvs7hfnw37aghc9mc58zy9al793sr4mwxjg,NodesGuru,0.1,43,300003,0.003324,1765152000000
bandvaloper1plau7keptn9qdt7nmhphltakv5t054f8lgwjdn,Meria,0.05,44,295207,0.003271,1765152000000
bandvaloper1l8zzhhe3ltlkk7sd38rcw7u6g9d609t2etc2zp,node101,0.05,45,250049,0.002771,1765152000000
bandvaloper147k9e3ssy8yh2xjqmgjc8pnvwgzrl4g2fj306s, Hub,0.1,46,239773,0.002657,1765152000000
bandvaloper1tfej533yf07npx6cpl989k5mqrpdn4hdsuyqya,Antrix Validators,0.1,47,235233,0.002606,1765152000000
bandvaloper12v3458kg298ckge36lsqafmmggj3pywj062p2q,Inter Blockchain Services,0.05,48,201323,0.002231,1765152000000
bandvaloper13xe7vcptjcrj9jz3z0vu80tgmarxay99c2ucpn,BronBro,0.05,49,201022,0.002227,1765152000000
bandvaloper1mfvez2maqvh4p07gvmq67ek2ul3ua4f8lgpg7n,CrowdControl,0.01,50,112741,0.001249,1765152000000
bandvaloper16c9s32mr3q59w6dupwreh5yyzu20nlp3ctxapu,Atlas Staking Autocompound Rewards,0.09,51,102492,0.001136,1765152000000
bandvaloper18fdf6hxw2y2u55xwhhplq438awuk52r27a9ghu,Discontinued,0.085,52,70776,0.000784,1765152000000
bandvaloper1lgctql28g09l4a829teqev0mpqcup6vu2he8el,feelmining,0.03,53,53356,0.000591,1765152000000
bandvaloper1yz8rv4ptfgs5fd68jam3732p9smma7ceun3xqv,ICON Foundation,0.1,54,52555,0.000582,1765152000000
bandvaloper1g07e0vqcqpxax93uwn8sqgx4tse5n5g5h7vlyg,Fantom Foundation,0.1,54,50016,0.000554,1765152000000
bandvaloper1vvevlfz7r9xrj9kghhguw8ygwvv9x3duldlw3j,Pickle Banddd ,0.1,54,46066,0.00051,1765152000000
bandvaloper1jyze35artdzs5nhvalt6jnatzhg5z88rfpmv27,DO NOT DELEGATE  Everstake,0.1,54,45014,0.000499,1765152000000
bandvaloper1vnsqgwu7jxd49u99etdzt028kkgwvuvz5x6lty,StakeSabai,0.1,54,43922,0.000487,1765152000000
bandvaloper1wwl9d8gvpktdjhdpzxe9yupunpkthzayysf2hn,Please redelegate  Shutting down,0.05,54,25063,0.000278,1765152000000
bandvaloper1595hec3hxlag3a2p97t2geruhv58zmyzr4euux,stakefish,0.1,54,20582,0.000228,1765152000000
bandvaloper1gqsyphjwkqnp8ahffzx2ul2txru8jaztr3fzdg,Snow Fall,0.05,54,18175,0.000201,1765152000000
bandvaloper1nmlds05h9zpj0m3actleslnmf5ett8xfvmjgju,Shutdown  please redelegate,0.05,54,17736,0.000197,1765152000000
bandvaloper16gt0r924p830qmjkam7rcnlmfaxx5336t4zhnf,Data Nexus,0.1,54,9816,0.000109,1765152000000
