source,target,messages,txs,channel,timestamp,volume,type
celestia,osmosis,184,182,transfer/channel-2,1764892800000,21302.418437,ack
celestia,stride,5,5,transfer/channel-4,1764892800000,3198.383891,ack
celestia,injective,60,59,transfer/channel-7,1764892800000,6232.38749,ack
celestia,neutron,15,15,transfer/channel-8,1764892800000,858.963627,ack
celestia,axelar,0,0,transfer/channel-1,1764892800000,0,ack
celestia,secret,0,0,transfer/channel-14,1764892800000,0,ack
celestia,dymension,0,0,transfer/channel-27,1764892800000,0,ack
celestia,milkyway,0,0,transfer/channel-49,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-11,1764892800000,0,ack
celestia,centauri-1,0,0,transfer/channel-12,1764892800000,0,ack
celestia,kava,0,0,transfer/channel-13,1764892800000,0,ack
celestia,stride,0,0,transfer/channel-3,1764892800000,0,ack
celestia,stride,0,0,transfer/channel-5,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-6,1764892800000,0,ack
celestia,kujira,0,0,transfer/channel-9,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-10,1764892800000,0,ack
celestia,terra,0,0,transfer/channel-15,1764892800000,0,ack
celestia,cronosmainnet_25-1,1,1,transfer/channel-16,1764892800000,0.049532,ack
celestia,umee,0,0,transfer/channel-19,1764892800000,0,ack
celestia,red-bull-1,0,0,transfer/channel-20,1764892800000,0,ack
celestia,red-bull-two-1,0,0,transfer/channel-21,1764892800000,0,ack
celestia,archway,0,0,transfer/channel-24,1764892800000,0,ack
celestia,jackal-1,0,0,transfer/channel-22,1764892800000,0,ack
celestia,red-bull-four-1,0,0,transfer/channel-25,1764892800000,0,ack
celestia,evmos,0,0,transfer/channel-26,1764892800000,0,ack
celestia,red-bull-three-1,0,0,transfer/channel-23,1764892800000,0,ack
celestia,coreum,0,0,transfer/channel-28,1764892800000,0,ack
celestia,stargaze,0,0,transfer/channel-33,1764892800000,0,ack
celestia,stargaze,0,0,transfer/channel-29,1764892800000,0,ack
celestia,stargaze,0,0,transfer/channel-30,1764892800000,0,ack
celestia,stargaze,0,0,transfer/channel-31,1764892800000,0,ack
celestia,stargaze,0,0,transfer/channel-32,1764892800000,0,ack
celestia,pryzm-1,3,3,transfer/channel-34,1764892800000,0.729765,ack
celestia,penumbra-1,0,0,transfer/channel-35,1764892800000,0,ack
celestia,quicksilver,0,0,transfer/channel-36,1764892800000,0,ack
celestia,astria,0,0,transfer/channel-48,1764892800000,0,ack
celestia,elys-1,5,5,transfer/channel-50,1764892800000,317.043151,ack
celestia,housefire-alpaca.cc0d3e0c033be,0,0,transfer/channel-63,1764892800000,0,ack
celestia,campfire-square.ff09671d333707,0,0,transfer/channel-64,1764892800000,0,ack
celestia,campfire-square.ff09671d333707,0,0,transfer/channel-65,1764892800000,0,ack
celestia,housefire-alpaca.cc0d3e0c033be,0,0,transfer/channel-72,1764892800000,0,ack
celestia,namada.5f5de2dd1b88cba30586420,0,0,transfer/channel-73,1764892800000,0,ack
celestia,campfire-square.ff09671d333707,0,0,transfer/channel-81,1764892800000,0,ack
celestia,interwoven-1,0,0,transfer/channel-86,1764892800000,0,ack
celestia,kyve,0,0,transfer/channel-87,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-88,1764892800000,0,ack
celestia,stride,0,0,transfer/channel-89,1764892800000,0,ack
celestia,neutron,0,0,transfer/channel-90,1764892800000,0,ack
celestia,injective,0,0,transfer/channel-91,1764892800000,0,ack
celestia,elys-1,0,0,transfer/channel-92,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-100,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-103,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-102,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-101,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-104,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-93,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-94,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-95,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-98,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-97,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-99,1764892800000,0,ack
celestia,osmosis,0,0,transfer/channel-96,1764892800000,0,ack
celestia,elys-1,0,0,transfer/channel-105,1764892800000,0,ack
celestia,neutron,0,0,transfer/channel-106,1764892800000,0,ack
celestia,campfire-square.ff09671d333707,0,0,transfer/channel-107,1764892800000,0,ack
celestia,localchain-1,0,0,transfer/channel-108,1764892800000,0,ack
celestia,stagingchain_9000-1,0,0,transfer/channel-110,1764892800000,0,ack
