chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
celestia,0.061197,6.1185947999999994,8851763,0.0232420563,430210889,1156875555,3137865,100,173,273,44354438,5.010802706760224,5.010802706760224,32314,1564604,celestia,0.555672,472833476,159,642654025,69674097,0.588836,0.547996,-0.02355014,-4.066,-20362701,-4.129,850911706,1156520973,0,20.85,1707575402495,0.510806,1760131684078,-1.397,-4.066,-14.074,-10.548,-47.654,-93.46,1765152000000
celestia,0.061396,6.1706395,8837636,0.0232420563,428820985,1156802000,3136392,100,173,273,44318587,5.014755869103457,5.014755869103457,32736,1564604,celestia,0.579895,492381278,153,669508992,50222155,0.587615,0.566735,0.00445528,0.774,3033539,0.62,850493395,1156447251,0,20.85,1707575402495,0.510806,1760131684078,0.407,0.774,-5.771,-6.686,-27.759,-93.492,1765065600000
celestia,0.0614,6.112161,8823595,0.0232420563,428795321,1156728445,3134920,100,173,273,44285013,5.018930832614144,5.018930832614144,33422,1564567,celestia,0.575783,489436392,152,665789762,62803413,0.628805,0.567061,-0.04707056,-7.557,-39702301,-7.503,850075084,1156373528,0,20.85,1707575402495,0.510806,1760131684078,-0.167,-7.557,-7.933,-13.2,-29.564,-93.082,1764979200000
celestia,0.061336,6.1751116,8809460,0.0232420563,429236796,1156654889,3133447,100,173,273,44250138,5.023025020829881,5.023025020829881,33422,1564567,celestia,0.622794,529138693,149,720106033,60685886,0.652346,0.622006,-0.02955276,-4.53,-24657984,-4.453,849656773,1156299806,0,20.85,1707575402495,0.510806,1760131684078,-0.516,-4.53,-5.803,-13.757,-20.954,-92.752,1764892800000
celestia,0.060433,6.1181432000000004,8795459,0.0232420563,435656106,1156581337,3131974,100,173,273,44214854,5.027009278310547,5.027009278310547,35224,1564370,celestia,0.651679,553796677,147,753986296,104586118,0.660472,0.60923,0.03209462,5.18,27803313,5.286,849238462,1156226084,0,20.85,1707575402495,0.510806,1760131684078,-0.353,5.18,3.417,-14.186,-19.764,-91.902,1764806400000
celestia,0.060441,6.1325956,8781333,0.0232420563,435592111,1156507780,3130501,100,173,273,44179930,5.031118851773416,5.031118851773416,35370,1564368,celestia,0.620068,525993364,148,716439718,105239907,0.646469,0.5511,0.056982,10.12,47777701,9.991,848820151,1156152361,0,20.85,1707575402495,0.510806,1760131684078,-0.961,10.12,-0.441,-21.933,-34.446,-91.707,1764720000000
celestia,0.060304,6.1263404,8767233,0.0232420563,436583709,1156434230,3129026,100,173,273,44144804,5.035203695396255,5.035203695396255,36235,1564368,celestia,0.563354,478215663,155,651642754,117662502,0.639045,0.549273,-0.075691,-11.844,-65182746,-11.995,848401841,1156078639,0,20.85,1707575402495,0.510806,1760131684078,-0.167,-11.844,-12.717,-27.257,-41.582,-92.994,1764633600000
celestia,0.060287,6.1121668,8753119,0.0232420563,436711188,1156360675,3127553,100,173,273,44102862,5.038531065326542,5.038531065326542,36721,1564368,celestia,0.639455,542355959,147,739361241,155525238,0.69433,0.613565,0.02134483,3.453,18688187,3.569,847983530,1156004917,0,20.85,1707575402495,0.510806,1760131684078,-0.668,3.453,3.094,-21.071,-28.897,-92.485,1764547200000
celestia,0.060299,6.1172369,8738984,0.0232420563,436624010,1156287119,3126079,100,173,273,44059634,5.041734142092491,5.041734142092491,37370,1564318,celestia,0.618153,523667772,149,714191544,116776827,0.654128,0.608485,-0.00729984,-1.167,-6152186,-1.161,847565219,1155931194,0,20.85,1707575402495,0.510806,1760131684078,0.382,-1.167,-0.53,-27.765,-31.652,-92.337,1764460800000
celestia,0.060369,6.1213662,8724854,0.0232420563,436113084,1156213563,3124606,100,172,272,44019492,5.04529840843182,5.04529840843182,37915,1564084,celestia,0.625426,529819957,148,722892748,98044020,0.652173,0.596861,-0.02398867,-3.694,-20004430,-3.638,847146908,1155857472,0,20.85,1707575402495,0.510806,1760131684078,-0.096,-3.694,-2.47,-28.777,-39.4,-92.422,1764374400000
