timestamp,blockCount,txCount
1765065600000,14126,35851
1764979200000,14041,33580
1764892800000,14136,34879
1764806400000,14000,35275
1764720000000,14126,34922
1764633600000,14101,35126
1764547200000,14113,41936
1764460800000,14136,43221
1764374400000,14129,40151
1764288000000,14114,42065
1764201600000,14113,40436
1764115200000,14035,41776
1764028800000,14010,42616
1763942400000,14909,46564
1763856000000,15819,50166
1763769600000,15820,49946
1763683200000,15753,52023
1763596800000,15737,41615
1763510400000,15879,36434
1763424000000,15811,35110
1763337600000,15744,34974
1763251200000,15603,35018
1763164800000,15610,33547
1763078400000,15155,32674
1762992000000,11248,25924
1762905600000,11249,24230
1762819200000,12128,21121
1762732800000,16106,40374
1762646400000,16873,46247
1762560000000,16859,49334
1762473600000,16900,48424
1762387200000,16925,43683
1762300800000,16923,42438
1762214400000,16931,44626
1762128000000,16917,44487
1762041600000,16932,45787
1761955200000,16934,43559
1761868800000,16918,44353
1761782400000,16906,43539
1761696000000,16941,43479
1761609600000,16848,42177
1761523200000,16925,37658
1761436800000,16815,37793
1761350400000,16781,41554
1761264000000,16772,41439
1761177600000,16869,42917
1761091200000,16769,42676
1761004800000,16770,36207
1760918400000,16759,32808
1760832000000,16847,32564
1760745600000,16832,32786
1760659200000,16887,35328
1760572800000,16743,34095
1760486400000,16884,34528
1760400000000,16884,35835
1760313600000,16877,35917
1760227200000,16891,35328
1760140800000,16777,38898
1760054400000,16793,38026
1759968000000,16839,35115
1759881600000,16874,34172
1759795200000,16822,37019
1759708800000,16898,35736
1759622400000,16900,38406
1759536000000,16892,35117
1759449600000,16758,35567
1759363200000,16847,33511
1759276800000,16789,37726
1759190400000,16778,34402
1759104000000,16818,33889
1759017600000,16819,33513
1758931200000,16892,32050
1758844800000,16889,33215
1758758400000,16865,33021
1758672000000,16786,33741
1758585600000,16566,35326
1758499200000,16871,36974
1758412800000,16903,35551
1758326400000,16876,35073
1758240000000,16907,35468
1758153600000,16874,35935
1758067200000,16905,35600
1757980800000,16981,33931
1757894400000,16957,35172
1757808000000,16975,34472
1757721600000,16971,35592
1757635200000,16942,35584
1757548800000,16918,34619
1757462400000,16930,34179
1757376000000,16965,35826
1757289600000,17016,35176
1757203200000,17001,34005
1757116800000,17019,33178
1757030400000,17010,33333
1756944000000,16996,33340
1756857600000,16976,33332
1756771200000,16981,35658
1756684800000,16967,36393
1756598400000,16923,33647
1756512000000,16882,34683
1756425600000,16924,34847
1756339200000,16943,35359
1756252800000,16960,34441
1756166400000,16984,33835
1756080000000,17000,34188
1755993600000,17036,37221
1755907200000,17000,42890
1755820800000,16987,36302
1755734400000,16995,34426
1755648000000,17014,35017
1755561600000,16974,34045
1755475200000,16985,32098
1755388800000,17018,32608
1755302400000,16992,33660
1755216000000,16996,35580
1755129600000,16982,38342
1755043200000,16979,39994
1754956800000,17012,37337
1754870400000,17005,37777
1754784000000,16992,36913
1754697600000,16970,37902
1754611200000,16946,37747
1754524800000,16961,38813
1754438400000,16996,40964
1754352000000,17028,41309
1754265600000,17004,42938
1754179200000,16845,41248
1754092800000,16681,41120
1754006400000,16859,45391
1753920000000,17017,38926
1753833600000,16988,38729
1753747200000,17049,41135
1753660800000,16828,42955
1753574400000,16963,44086
1753488000000,16925,41775
1753401600000,16904,42178
1753315200000,16575,41477
1753228800000,16651,43870
1753142400000,16982,43864
1753056000000,16924,48501
1752969600000,16930,49907
1752883200000,16900,45160
1752796800000,16787,44751
1752710400000,16074,39760
1752624000000,16764,40913
1752537600000,16795,39798
1752451200000,16900,42298
1752364800000,16834,41222
1752278400000,16871,41795
1752192000000,16870,53665
1752105600000,16853,47628
1752019200000,16868,41465
1751932800000,16849,41362
1751846400000,16885,40966
1751760000000,16905,39549
1751673600000,16903,39857
1751587200000,16875,40835
1751500800000,16854,42207
1751414400000,16778,43225
1751328000000,16788,44422
1751241600000,16944,44146
1751155200000,16967,42679
1751068800000,16883,41268
1750982400000,16851,40502
1750896000000,16857,41092
1750809600000,16788,41441
1750723200000,16854,42875
1750636800000,16872,40852
1750550400000,16883,42523
1750464000000,16866,42381
1750377600000,16866,41145
1750291200000,16816,41454
1750204800000,16876,42528
1750118400000,16866,43554
1750032000000,16882,42061
1749945600000,16891,41447
1749859200000,16796,40561
1749772800000,16788,45450
1749686400000,16824,43880
1749600000000,16825,49932
