address,moniker,commission,rank,token,votingPower,timestamp
celestiavaloper1ac4mnwg79gyvd0x5trl2fgjv07lgfas02jf378,POPS Team,0.1,1,23799487,0.05532,1765152000000
celestiavaloper1mpt4chntuewyktq64fgrszjp6ly7we5a3t4a8l,BinanceNode,0.1,2,19035977,0.044247,1765152000000
celestiavaloper1r4kqtye4dzacmrwnh6f057p50pdjm8g59tlhhg,P2Porg ,0.14,3,18308486,0.042556,1765152000000
celestiavaloper1emku8jrvf9dzu80n3sx7wx50chpgjhrws9x62u,bitcoinsuissecom,1,4,16705944,0.038831,1765152000000
celestiavaloper1j2jq259d3rrc24876gwxg0ksp0lhd8gy49k6st,Qubelabs,0.1,5,16033024,0.037267,1765152000000
celestiavaloper1xqc7w3pe38kg4tswjt7mnvks7gy4p38vtsuycj,Figment,0.1,6,11203344,0.026041,1765152000000
celestiavaloper1e2p4u5vqwgum7pm9vhp0yjvl58gvhfc6yfatw4,Finoa Consensus Services,0.1,7,10305355,0.023954,1765152000000
celestiavaloper17gtfnhhcgz7ltnkn8vaqaqjuujvu2vqf2pe9c7,bitwise,0.1,8,10006518,0.023259,1765152000000
celestiavaloper1pmn4cjwf26hkcpvyl322glhpdpcemcel8ca2vl,Kraken,0.1,9,9223580,0.021439,1765152000000
celestiavaloper1uqj5ul7jtpskk9ste9mfv6jvh0y3w34vtpz3gw,Cosmostation,0.1,10,9003847,0.020929,1765152000000
celestiavaloper1llfydg9q5fnfuc0lfrwwqnvpywnw97lmvek8jf,Anchorage Digital,0.1,11,8024913,0.018653,1765152000000
celestiavaloper1uwmf03ke52vld2sa9khs0nslpgzwsm5xs5e4pn,Keplr,0.1,12,7602931,0.017672,1765152000000
celestiavaloper1wu24jxpn9j0580ehjz344d58cf3t7lzrrgqmnr,Staking Facilities,0.1,13,7321580,0.017018,1765152000000
celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,Binary Builders,0.1,14,6931899,0.016113,1765152000000
celestiavaloper1ftmw4wh8dq2ljw0xq3xgg00dl7l20se3lrml7q,Hex Trust,0.1,15,6699601,0.015573,1765152000000
celestiavaloper1geuw5f6u3n5l4ne2d2nze3fehxf023f7s8h08t,Coinbase,0.1,16,6691787,0.015554,1765152000000
celestiavaloper1jkuw8rxxrsgn9pq009987kzelkp46cgcaa7lhj,CUCK,0.1,17,6262705,0.014557,1765152000000
celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,IYKYK,0.1,18,6184748,0.014376,1765152000000
celestiavaloper1fyw0qppar97easavw07n876ktv0a4vpptawt09,T DATA,0.1,19,6030864,0.014018,1765152000000
celestiavaloper1vje2he3pcq3w5udyvla7zm9qd5yes6hzffsjxj,DSRV,0.2,20,6025869,0.014007,1765152000000
celestiavaloper17srrapx2cvqyyy4rg3menq0hn86py8f3klelhl,ContributionDAO,0.1,21,5815547,0.013518,1765152000000
celestiavaloper1cs37tvmahavw8xcnzcgyz342sh0al37ma4zqat,Cumulo,0.2,22,5749072,0.013363,1765152000000
celestiavaloper1fxgucuvhzrd4wlx5aert8n03xcp47l6pj8yf54,Everstake,0.2,23,5600619,0.013018,1765152000000
celestiavaloper1sjpn0l03xw9m8v9qg5f7yfknydxmqxezvljss4,TTT VN,0.2,24,5500369,0.012785,1765152000000
celestiavaloper13v2jzm0w8yuw7p30cc4h4p3shv2vd7sq07et3q,node101,0.2,25,5500280,0.012785,1765152000000
celestiavaloper1j6mjapwrznvgqkl9u9m4660se7vwufc6ct7lp6,KYVE Public Good Funding,0.2,26,5500173,0.012785,1765152000000
celestiavaloper13xz8683xvpm8qnen8nzggy7604d80fr872lycx,Tan,0.2,27,5500002,0.012784,1765152000000
celestiavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvjeqh0m,Nansen  Stake to Stack Points,0.1,28,5454280,0.012678,1765152000000
celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj,Kiln,0.1,29,5352937,0.012442,1765152000000
celestiavaloper135w0ugccxxjjz6n4wn2mw2qzreevu67x6u70cd,senggigi,0.2,30,5122903,0.011908,1765152000000
celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,Upnode,0.1,31,5019814,0.011668,1765152000000
celestiavaloper1gvankwagylqedzsj0snlk24h626hw6j2n53srg,Goose,1,32,5000481,0.011623,1765152000000
celestiavaloper1murrqgqahxevedty0nzqrn5hj434fvffxufxcl,01node,0.1,33,4119099,0.009574,1765152000000
celestiavaloper19f0w9svr905fhefusyx4z8sf83j6et0g57nch8,NodeStake,0.1,34,4000170,0.009298,1765152000000
celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru,Informal Systems,0.1,35,3991193,0.009277,1765152000000
celestiavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5qhs58,Stakecito,0.1,36,3845832,0.008939,1765152000000
celestiavaloper19v94c3z7ckarwsum76kaagma0wqsqhh5nl5zqg,Validatus,0.12,37,3790771,0.008811,1765152000000
celestiavaloper1yknsyf9ws4ugtv3r9g43kwqkne4zmrupcxhlth,Stakelyio,0.1,38,3762124,0.008745,1765152000000
celestiavaloper1dlsl4u42ycahzjfwc6td6upgsup9tt7cz8vqm4,Stakin,0.2,39,3555296,0.008264,1765152000000
celestiavaloper1un77nfm6axkhkupe8fk4xl6fd4adz3y59fucpu,Easy 2 Stake,0.1,40,3554550,0.008262,1765152000000
celestiavaloper107lwx458gy345ag2afx9a7e2kkl7x49y3433gj,Enigma,0.2,41,3412006,0.007931,1765152000000
celestiavaloper1hm2d8e6nd5ngtlte3hlded03vgj3rer94vmdml,NodesGuru,0.19,42,3404296,0.007913,1765152000000
celestiavaloper14ntfv0qkg8522xe0pvrfgqxcmnj5x466v8z3tl,BHarvest,0.2,43,3391689,0.007884,1765152000000
celestiavaloper15urq2dtp9qce4fyc85m6upwm9xul3049gwdz0x,Chorus One,0.1,44,3346216,0.007778,1765152000000
celestiavaloper17p8y0sm76zhrtjny98tknevafvlq9860ehykz3, kjnodescom ,0.2,45,3337471,0.007758,1765152000000
celestiavaloper1vl3dkus7g0cj4lg0e2jrqk2reukmlht0ee7cr4,Alchemy,0.1,46,3334264,0.00775,1765152000000
celestiavaloper187avawwq7qhanrkxf45mayztdqsr49hu8lezdh,ZKV,0.1,47,3163847,0.007354,1765152000000
celestiavaloper1cmaga4f6f7pttuwzfldn9067ld3090uw0e6zq8,wavefive,0.2,48,3070365,0.007137,1765152000000
celestiavaloper1l0zmpm02u240crndlj7hkvlj5azuglv4emfczt,StakeSquid,0.1,49,3055787,0.007103,1765152000000
celestiavaloper1nxdm2vdl9xmmekauu3yfhq49t6vqc5cph2dj3s,CroutonDigital,0.2,50,3045425,0.007079,1765152000000
celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd,Smart Stake ,0.1,51,3042148,0.007071,1765152000000
celestiavaloper1v987evnk7hsqct7smdqpxqprhvlcxgt43kyewc,alphabai,0.2,52,3029582,0.007042,1765152000000
celestiavaloper1gl0rg3g0pkcpr8umj2hvlhha06ecjd65yt96z5,itrocket,0.2,53,3027063,0.007036,1765152000000
celestiavaloper1vfkgjmjxkvj0kfnzf5jkjzkj7wn3ms8d83ljks,STAKEME,0.2,54,3022736,0.007026,1765152000000
celestiavaloper17vrdfe4mfwzd3mfkf3nvj5lx2m9vqtlz82hrma,Kairos Research X Firstset,0.2,55,3014584,0.007007,1765152000000
celestiavaloper1m7xh6ms0cxhguzgfjnagx4nrzem8hf68qzdf7f,ECAD Infra,0.2,56,3010478,0.006998,1765152000000
celestiavaloper1lxfvm8rcflcnvrtmmds95vvatxfasna2vqfaww,deNodes,0.2,57,3004239,0.006983,1765152000000
celestiavaloper14lpj0cetmg4ayshv5nlckjt0whwlvfdcpu9ux6,CosmoWiz,0.2,58,3000934,0.006975,1765152000000
celestiavaloper1lm4jtr6wjwpamz2e9wlgzdazly3vnwqy53t5t4,F5 Nodes,0.2,59,3000893,0.006975,1765152000000
celestiavaloper1ry3453n79p9nlzcq7nm6yqfyluzqn0d4fehnat,StakeTown,0.2,60,3000476,0.006974,1765152000000
celestiavaloper17hw6htgj2vadkutyurtq7568g9gz9kz4x7d5tm,LuckyResearch Labs,0.2,61,3000451,0.006974,1765152000000
celestiavaloper18xm7jr8x35lgnf9atr2hafjj35fzuljukyeue4,Cosmic Validator,0.2,62,3000427,0.006974,1765152000000
celestiavaloper1c46a0zml74hqzr3ww5vefa9khqxmjsdxu8f4dy,mammothguru,0.25,63,3000418,0.006974,1765152000000
celestiavaloper1ml5st9az0z4tz6kf5ymqam3qvefaesckappde0,CHAIN DIGITAL,0.2,64,3000217,0.006974,1765152000000
celestiavaloper1uw5jj229cjuanluduy0f0kmaej4qnl3rhsa5e5,bitszn,0.2,65,3000174,0.006974,1765152000000
celestiavaloper1ujrsxwl860m00z797lwhh0pwxuuvxt6lz8lz0e,21state,0.2,66,3000111,0.006973,1765152000000
celestiavaloper1n4x47z0e8wlhjvvafhhuvypz4kfqal7er80ejy,StakeUs,0.2,67,3000110,0.006973,1765152000000
celestiavaloper1vl965dx0ephssn2rcrum60lq3vssw4u0zhz7fs,Neoprom,0.2,68,3000065,0.006973,1765152000000
celestiavaloper1m30w6dmf50cchetyjqrapz3d9ndq9ra8mp655t,quantumcore,0.2,69,3000056,0.006973,1765152000000
celestiavaloper1vxw3hag7gx5xx2z7j86q5k5t2803he5lq88xdh,ChainTrails Team  ,0.2,70,3000022,0.006973,1765152000000
celestiavaloper1gyrwsnkmz69wgfd7zmd32gktqm7qd66e6j4vrq,Endorphine Stake,0.2,71,3000003,0.006973,1765152000000
celestiavaloper1903nlmjss20garjvtjgm78v0peauc7xg0w48js,DTEAM,0.2,72,3000001,0.006973,1765152000000
