chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
chihuahua,0.131219,5.7310419999999995,21117709,0.042,37260588783,121453398283,7395788395,63,188,251,15089330,0.7145344222709007,0.7145344222709007,1847,84767,chihuahua-token,0.00000918,1047627,3666,1115559,9646.88,0.0000094,0.0000085,1e-7,1.089,11402,1.1,114057337285,121453215626,0,0.00983165,1642673457442,0.00000799,1764458661316,-0.062,1.089,-12.719,-12.15,-51.816,-92.275,1765152000000
chihuahua,0.131627,5.7623901,21102645,0.042,37140406021,121441155231,7395155952,63,188,251,15089028,0.7150301774967072,0.7150301774967072,1833,84760,chihuahua-token,0.00000909,1036225,3686,1103418,18936.06,0.00000952,0.00000825,-4e-8,-0.451,-6463,-0.62,114045737156,121440969224,0,0.00983165,1642673457442,0.00000799,1764458661316,-3.876,-0.451,-17.808,-7.93,-42.246,-91.662,1765065600000
chihuahua,0.137302,5.744148,21087632,0.042,35588446444,121428960940,7394524726,63,188,251,15088734,0.7155252898950437,0.7155252898950437,1849,84760,chihuahua-token,0.00000913,1042688,3680,1110300,10904.08,0.00001011,0.00000912,-9.7e-7,-9.605,-113348,-9.805,114034367137,121428771058,0,0.00983165,1642673457442,0.00000799,1764458661316,-0.575,-9.605,-19.391,-12.292,-39.176,-91.387,1764979200000
chihuahua,0.137268,5.715385700000001,21072578,0.042,35593883722,121416732435,7393891558,63,188,251,15088432,0.7160221212611005,0.7160221212611005,1849,84760,chihuahua-token,0.00001014,1151832,3585,1226524,8627.58,0.00001067,0.00000984,2.9e-7,2.956,29026,2.585,114022567928,121416498569,0,0.00983165,1642673457442,0.00000799,1764458661316,0.462,2.956,-15.362,-11.532,-20.793,-92.051,1764892800000
chihuahua,0.137321,5.7197209,21057468,0.042,35576358767,121404615861,7393240863,63,188,251,15088107,0.7165204762509909,0.7165204762509909,1907,84758,chihuahua-token,0.00000985,1122806,3640,1195617,65950,0.00001053,0.00000935,5e-8,0.535,6137,0.55,114011102006,121404466203,0,0.00983165,1642673457442,0.00000799,1764458661316,0.705,0.535,-0.381,-12.049,-19.434,-91.227,1764806400000
chihuahua,0.137338,5.7201147,21042356,0.042,35568448599,121392346861,7392597973,63,188,251,15087804,0.7170206606142392,0.7170206606142392,1928,84758,chihuahua-token,0.0000098,1116668,3621,1189082,136389,0.00001055,0.00000953,8e-8,0.799,8982,0.811,113999477574,121392110059,0,0.00983165,1642673457442,0.00000799,1764458661316,0.635,0.799,4.399,-21.2,-28.594,-91.347,1764720000000
chihuahua,0.13745,5.7149734,21027240,0.042,35535441965,121380080821,7391954602,63,188,251,15087487,0.7175210346198551,0.7175210346198551,1933,84758,chihuahua-token,0.00000973,1107685,3577,1179518,8180.65,0.00001048,0.00000877,-7.4e-7,-7.087,-86041,-7.208,113987854120,121379835835,0,0.00983165,1642673457442,0.00000799,1764458661316,0.171,-7.087,-5.976,-32.726,-33.629,-91.765,1764633600000
chihuahua,0.133232,5.7028231,21012112,0.042,36659092029,121342036413,7391311205,65,186,251,15087205,0.7180242043255813,0.7180242043255813,1951,84758,chihuahua-token,0.00001048,1193726,3545,1271154,95556,0.00001139,0.00001048,-5.7e-7,-5.173,-66093,-5.246,113950655922,121341836288,0,0.00983165,1642673457442,0.00000799,1764458661316,-0.453,-5.173,0.195,-29.276,-15.541,-91.843,1764547200000
chihuahua,0.133528,5.706368299999999,20996960,0.042,36573200211,121329736087,7390666681,65,186,251,15086977,0.7185314921779152,0.7185314921779152,1965,84758,chihuahua-token,0.00001104,1259818,3491,1341538,118707,0.00001168,0.00000799,-2.7e-7,-2.39,-28425,-2.206,113938802347,121329553150,0,0.00983165,1642673457442,0.00000799,1764458661316,-0.207,-2.39,11.784,-25.26,-13.583,-90.29,1764460800000
chihuahua,0.133598,5.7043116000000005,20981815,0.042,36550243726,121317437165,7390023091,65,186,251,15086774,0.7190404643258936,0.7190404643258936,1981,84758,chihuahua-token,0.00001131,1290373,3464,1374075,128597,0.00001215,0.00001021,-4.6e-7,-3.914,-49152,-3.669,113927142884,121317228682,0,0.00983165,1642673457442,0.00000914,1764086831949,0.063,-3.914,8.603,-28.197,-15.701,-91.032,1764374400000
chihuahua,0.133584,5.705712200000001,20966668,0.042,36550496600,121305140005,7389379219,65,186,251,15086554,0.7195494295994004,0.7195494295994004,2012,84758,chihuahua-token,0.00001177,1339524,3429,1426416,139024,0.00001208,0.00000979,0.00000189,19.134,218162,19.455,113915488916,121304883064,0,0.00983165,1642673457442,0.00000914,1764086831949,-1.762,19.134,2.682,-23.239,-12.082,-88.91,1764288000000
chihuahua,0.133591,5.7209847,20951530,0.042,36544824461,121292851648,7388735664,65,186,251,15086351,0.7200596328764534,0.7200596328764534,2039,84756,chihuahua-token,0.00000988,1121362,3618,1194101,43919,0.00001013,0.0000094,4.5e-7,4.803,48791,4.549,113904048147,121292657474,0,0.00983165,1642673457442,0.00000914,1764086831949,0.26,4.803,-11.781,-41.369,-33.252,-90.264,1764201600000
chihuahua,0.133081,5.7120348,20936430,0.042,36682384062,121280694073,7388093839,66,185,251,15086160,0.7205698392705919,0.7205698392705919,2044,84755,chihuahua-token,0.00000942,1072571,3642,1142146,5985.19,0.00001054,0.00000914,-8.9e-7,-8.616,-100784,-8.589,113892531796,121280483775,0,0.00983165,1642673457442,0.00000914,1764086831949,0.003,-8.616,-18.114,-44.662,-40.061,-90.416,1764115200000
chihuahua,0.133124,5.7127071,20921299,0.042,36666613736,121268421546,7387450226,66,185,251,15085917,0.7210793651006087,0.7210793651006087,2044,84755,chihuahua-token,0.00001031,1173580,3545,1249711,9478.08,0.00001046,0.00000933,-1.4e-7,-1.298,-12763,-1.076,113880701897,121268184959,0,0.00983165,1642673457442,0.00000933,1764009033696,-0.075,-1.298,-28.771,-46.682,-34.11,-90.399,1764028800000
chihuahua,0.130728,5.6975689,20906164,0.042,37258334752,120987560544,7386806752,67,184,251,15085643,0.7215882837234033,0.7215882837234033,2113,84755,chihuahua-token,0.00001044,1186343,3505,1263483,10324.29,0.00001049,0.00000994,4.8e-7,4.858,55171,4.877,113600683979,120987429271,0,0.00983165,1642673457442,0.00000942,1763816959353,-0.149,4.858,-29.502,-46.969,-31.606,-89.205,1763942400000
chihuahua,0.130767,5.6929749,20890991,0.042,37243386959,120975278060,7386162973,67,184,251,15085406,0.7221010243123459,0.7221010243123459,2152,84755,chihuahua-token,0.00000996,1131171,3549,1204727,6057.06,0.00001041,0.00000942,-4.6e-7,-4.382,-51626,-4.365,113588842857,120975088909,0,0.00983165,1642673457442,0.00000942,1763816959353,0.252,-4.382,-32.565,-53.173,-25.993,-90.983,1763856000000
chihuahua,0.130789,5.7339062,20875854,0.042,37233271809,120963028880,7385520844,67,184,251,15085133,0.7226115396285105,0.7226115396285105,2176,84755,chihuahua-token,0.00001041,1182797,3506,1259708,33119,0.0000116,0.00000982,2.6e-7,2.595,31908,2.772,113577439837,120962803099,0,0.00983165,1642673457442,0.00000963,1763681411234,-0.036,2.595,-33.871,-45.369,-25.427,-88.422,1763769600000
chihuahua,0.13067,5.7342563,20860778,0.042,37263787961,120950823176,7384881620,67,184,251,15084855,0.723120441624948,0.723120441624948,2193,84755,chihuahua-token,0.00001015,1150889,3588,1225729,74559,0.00001253,0.00000963,-0.000001,-8.976,-115538,-9.123,113565672683,120950660420,0,0.00983165,1642673457442,0.00000963,1763681411234,-2.186,-8.976,-33.312,-34.805,-34.453,-88.08,1763683200000
chihuahua,0.122268,5.7200864000000005,20845694,0.042,39844849159,120938627121,7384241291,67,184,251,15084511,0.7236271913038731,0.7236271913038731,2199,84755,chihuahua-token,0.00001115,1266427,3505,1348779,73949,0.00002168,0.00001104,-1.9e-7,-1.638,-20989,-1.63,113554316826,120938421680,0,0.00983165,1642673457442,0.00001104,1763529568472,-0.401,-1.638,-33.801,-25.718,-19.136,-88.971,1763596800000
chihuahua,0.122293,5.7270807,20830590,0.042,39832496068,120926405213,7383600014,67,184,251,15084282,0.7241408908725101,0.7241408908725101,2197,84751,chihuahua-token,0.00001134,1287395,3509,1371111,110681,0.00001343,0.00001131,-0.00000208,-15.495,-236931,-15.543,113542736935,120926171235,0,0.00983165,1642673457442,0.00001114,1761924596360,-1.411,-15.495,-33.222,-11.42,-26.407,-88.727,1763510400000
chihuahua,0.130797,5.7366165,20815510,0.042,37215842552,120914204978,7382960383,68,183,251,15084016,0.7246527228974933,0.7246527228974933,2205,84751,chihuahua-token,0.00001342,1524325,3292,1623452,308914,0.00001493,0.00001341,-0.00000122,-8.313,-138028,-8.303,113531176368,120914077520,0,0.00983165,1642673457442,0.00001114,1761924596360,-2.232,-8.313,-30.384,9.771,0.132,-85.713,1763424000000
chihuahua,0.130806,5.7486638,20800453,0.042,37209674032,120902034644,7382321449,68,183,251,15083729,0.725163485622164,0.725163485622164,2203,84744,chihuahua-token,0.00001464,1662352,3233,1770457,406673,0.00001563,0.00001462,-8.2e-7,-5.328,-88112,-5.034,113519644181,120901918563,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.022,-5.328,-25.632,6.751,0.125,-84.14,1763337600000
chihuahua,0.130799,5.750151600000001,20785425,0.042,37207887320,120889879722,7381684376,68,183,251,15083498,0.7256766700704941,0.7256766700704941,2203,84744,chihuahua-token,0.00001547,1758022,3187,1872352,359395,0.00001602,0.000014,-2.6e-7,-1.667,-27757,-1.554,113507927170,120889716523,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.185,-1.667,-27.267,5.475,-2.542,-76.958,1763251200000
chihuahua,0.130341,5.7361384,20770390,0.042,37336031611,120877734432,7381046218,67,183,250,15083207,0.7261879531390599,0.7261879531390599,2213,84744,chihuahua-token,0.00001573,1785779,3164,1901911,392524,0.0000166,0.00001461,-5.5e-7,-3.36,-61977,-3.354,113496620076,120877481031,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.088,-3.36,-24.148,26.854,-6.901,-77.077,1763164800000
chihuahua,0.129233,5.7213441,20755323,0.042,37655177693,120865549982,7380407455,67,183,250,15082970,0.7267036990944443,0.7267036990944443,2255,84730,chihuahua-token,0.00001628,1847755,3177,1967920,390173,0.00001819,0.00001401,-5e-7,-2.982,-56593,-2.972,113485072002,120865302896,0,0.00983165,1642673457442,0.00001114,1761924596360,6.964,-2.982,3.439,29.036,-6.313,-75.916,1763078400000
chihuahua,0.127837,5.724872400000001,20740213,0.042,38066200583,120853339835,7379766463,66,184,250,15082668,0.7272185681024588,0.7272185681024588,2233,84724,chihuahua-token,0.00001679,1904348,3168,2028196,411780,0.00001767,0.00001667,-1.8e-7,-1.081,-21003,-1.091,113473502849,120853185158,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.415,-1.081,11.801,25.138,2.836,-78.947,1762992000000
chihuahua,0.126764,5.7195399,20725143,0.042,38387590585,120841160880,7379127260,65,185,250,15082386,0.7277337483268511,0.7277337483268511,2251,84715,chihuahua-token,0.00001697,1925351,3153,2050566,443610,0.00002165,0.00001689,-0.00000266,-13.539,-302228,-13.568,113461963889,120840946625,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.287,-13.539,32.569,26.778,12.991,-81.107,1762905600000
chihuahua,0.125751,5.7167828,20710032,0.042,38695999881,120828965676,7378485436,65,185,250,15081991,0.7282456637440251,0.7282456637440251,2257,84715,chihuahua-token,0.00001963,2227579,3043,2372457,320979,0.00002168,0.0000192,-1.7e-7,-0.855,-20147,-0.896,113450210037,120828807424,0,0.00983165,1642673457442,0.00001114,1761924596360,1.56,-0.855,60.568,32.623,35.256,-74.805,1762819200000
chihuahua,0.124468,5.716396,20694916,0.042,39094576437,120816774789,7377843021,65,185,250,15081612,0.7287592759497067,0.7287592759497067,2234,84711,chihuahua-token,0.0000198,2247725,3017,2393916,145258,0.00002138,0.00001961,-0.00000153,-7.155,-170561,-7.053,113438660642,120816655987,0,0.00983165,1642673457442,0.00001114,1761924596360,0.531,-7.155,44.305,25.924,48.399,-77.884,1762732800000
chihuahua,0.12451,5.718197,20679801,0.042,39077151374,120804566883,7377201621,65,185,250,15081267,0.7292752478614277,0.7292752478614277,2216,84711,chihuahua-token,0.00002132,2418285,2920,2575566,107292,0.00002147,0.00001729,0.00000227,11.938,258462,11.967,113427295478,120804399844,0,0.00983165,1642673457442,0.00001114,1761924596360,0.256,11.938,45.387,36.322,8.497,-78.82,1762646400000
chihuahua,0.125744,5.725482899999999,20664690,0.042,38686478543,120792386692,7376559351,65,185,250,15080777,0.7297848165155151,0.7297848165155151,2216,84711,chihuahua-token,0.00001905,2159824,3052,2300296,178044,0.00002088,0.00001404,0.00000367,23.903,406796,23.205,113415759006,120792165271,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.075,23.903,53.572,25.461,-19.521,-79.675,1762560000000
chihuahua,0.131017,5.730743,20649606,0.042,37111706361,120780217630,7375919253,65,185,250,15080358,0.7302976143951608,0.7302976143951608,2331,84697,chihuahua-token,0.00001542,1753028,3231,1867049,123653,0.00001577,0.00001421,4.8e-7,3.19,54515,3.21,113404027300,120780101669,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.849,3.19,20.743,14.559,-24.183,-76.21,1762473600000
chihuahua,0.131366,5.7310809,20634530,0.042,37008444910,120768045527,7375280267,65,185,250,15079951,0.7308114602077198,0.7308114602077198,2347,84688,chihuahua-token,0.00001494,1698512,3289,1808988,242194,0.00001586,0.00001223,0.00000252,20.274,290331,20.617,113392496223,120767814771,0,0.00983165,1642673457442,0.00001114,1761924596360,0.074,20.274,11.415,7.018,-41.514,-70.208,1762387200000
chihuahua,0.129289,5.7352869,20619457,0.042,37584535908,120691016197,7374640704,66,184,250,15079474,0.7313225561662463,0.7313225561662463,2360,84688,chihuahua-token,0.00001243,1408181,3454,1499825,139770,0.00001347,0.0000119,3e-8,0.242,3668,0.261,113316306717,120690902190,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.732,0.242,-10.861,-19.629,-52.253,-72.725,1762300800000
chihuahua,0.126727,5.7222669999999995,20604384,0.042,38347280502,120678924500,7373998514,66,184,250,15078691,0.7318195486941032,0.7318195486941032,2388,84679,chihuahua-token,0.0000124,1404513,3516,1495918,127850,0.0000137,0.00001189,-0.00000128,-9.334,-144421,-9.324,113304857420,120678739095,0,0.00983165,1642673457442,0.00001114,1761924596360,1.175,-9.334,-16.237,-10.942,-43.668,-73.483,1762214400000
chihuahua,0.126736,5.722020199999999,20589285,0.042,38340836050,120666758914,7373357978,66,184,250,15078309,0.7323376698122348,0.7323376698122348,2504,84673,chihuahua-token,0.00001367,1548649,3514,1649439,152883,0.0000147,0.00001223,-0.00000101,-6.896,-117634,-7.06,113293132463,120666510930,0,0.00983165,1642673457442,0.00001114,1761924596360,-0.334,-6.896,-12.982,-11.261,-34.397,-72.598,1762128000000
chihuahua,0.126714,5.7310517999999995,20574191,0.042,38343736268,120654610521,7372717162,67,183,250,15077748,0.7328476730871216,0.7328476730871216,2611,84673,chihuahua-token,0.00001468,1664001,3430,1772297,179110,0.00001577,0.00001162,0.00000221,17.684,256123,18.192,113281825553,120654372170,0,0.00983165,1642673457442,0.00001114,1761924596360,0.134,17.684,-6.11,8.121,-32.733,-70.514,1762041600000
chihuahua,0.126444,5.7219807000000005,20559106,0.042,38422433843,120642443846,7372078030,67,183,250,15077396,0.7333682700016236,0.7333682700016236,2626,84673,chihuahua-token,0.00001243,1407878,3606,1499507,147305,0.00001296,0.00001114,-3.1e-7,-2.449,-35194,-2.439,113270296916,120642247924,0,0.00983165,1642673457442,0.00001114,1761924596360,0.21,-2.449,-18.134,-14.051,-24.643,-75.072,1761955200000
