id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
96,Upgrade v906,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1761054109000,1761054109000,1761486109000,undefined,20403029,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,28298466430.416103,0,0,29303.490936
95,Updating TokenFactory Params,/osmosis.tokenfactory.v1beta1.MsgUpdateParams,PASSED,1750191941000,1750191941000,1750623941000,undefined,18523010,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,26929835247.875057,884747.580587,0,314990454.567674
94,Updating Liquidity Pools Params,/liquidity.v1beta1.MsgUpdateParams,PASSED,1750191752000,1750191752000,1750623752000,undefined,18522977,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,26929132650.806828,747875,0,314990454.567674
93,Upgrade v905,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1749625237000,1749625237000,1750057237000,undefined,0,null,28960526082.06529,0,0,0
92,Upgrade v904,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1748890886000,1748890886000,1749322886000,undefined,18299511,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,30015509229.99677,0,7953509.246859,338659.07002
91,ATOM Airdrop   New Airdrop ,Text,REJECTED,1747691201000,1747691201000,1748123201000,undefined,18092105,chihuahua17xj7l4fwa60ysp4aqcluler8xlpzdz5gk0qxzy,2487045.185763,1165117.565108,21328245528.674824,10284269.87223
90,Decrease Validators Set from 93 to 80,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1741860278000,1741860278000,1742292278000,undefined,17084890,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,17000787105.380733,1620783999.671658,31542.037877,7202609987.698903
89,EXPEDITED Upgrade v902,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1741601917000,1741602063000,1741688463000,undefined,17041036,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,27428122341.02089,35332087.373412,0,520904876.240732
88,Upgrade v902,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,REJECTED,1741601847000,1741601847000,1742033847000,undefined,17041024,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,910055678.280567,26242699950.113064,1328120.999366,1698151550.788795
87,Set Expedite Proposal Deposit to 10M HUAHUA and Fix Denomination,/cosmos.gov.v1.MsgUpdateParams,PASSED,1738761411000,1738761411000,1739193411000,undefined,16555605,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,28649428944.333992,72852.14352,0,625233485.38197
86,Decrease Validators Set from 125 to 93,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1738760746000,1738760746000,1739192746000,undefined,16555491,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,27936410839.790726,329224092.394716,1599737.173083,1213625405.48567
85,Upgrade v901,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1738706085000,1738706085000,1739138085000,undefined,16547061,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,30772785127.0465,0,0,606535056.300004
84,Upgrade v900,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1738009150000,1738009150000,1738441150000,undefined,16440604,chihuahua14fketv99hlrlk80mkggw643spsj3yyf7qylvqn,30083547871.79556,72852.14352,0,146000
