source,target,messages,txs,channel,timestamp,volume,type
coreum,osmosis,113,113,transfer/channel-2,1764892800000,12375.879068,ack
coreum,cosmos,6,6,transfer/channel-9,1764892800000,0,ack
coreum,noble,21,21,transfer/channel-19,1764892800000,858.412053,ack
coreum,osmosis,0,0,transfer/channel-0,1764892800000,0,ack
coreum,osmosis,0,0,transfer/channel-1,1764892800000,0,ack
coreum,axelar,0,0,transfer/channel-3,1764892800000,0,ack
coreum,cosmos,0,0,transfer/channel-5,1764892800000,0,ack
coreum,cosmos,0,0,transfer/channel-4,1764892800000,0,ack
coreum,axelar,0,0,transfer/channel-6,1764892800000,0,ack
coreum,gravity-bridge,0,0,transfer/channel-7,1764892800000,0,ack
coreum,evmos,0,0,transfer/channel-8,1764892800000,0,ack
coreum,vota-ash,0,0,transfer/channel-10,1764892800000,0,ack
coreum,kava,0,0,transfer/channel-11,1764892800000,0,ack
coreum,secret,0,0,transfer/channel-12,1764892800000,0,ack
coreum,noble,0,0,transfer/channel-13,1764892800000,0,ack
coreum,kujira,0,0,transfer/channel-14,1764892800000,0,ack
coreum,band,0,0,transfer/channel-15,1764892800000,0,ack
coreum,dydx,0,0,transfer/channel-16,1764892800000,0,ack
coreum,kujira,0,0,transfer/channel-17,1764892800000,0,ack
coreum,kava,0,0,transfer/channel-18,1764892800000,0,ack
coreum,band,0,0,transfer/channel-20,1764892800000,0,ack
coreum,dydx,0,0,transfer/channel-21,1764892800000,0,ack
coreum,secret,0,0,transfer/channel-22,1764892800000,0,ack
coreum,sei,0,0,transfer/channel-23,1764892800000,0,ack
coreum,dydx,0,0,transfer/channel-24,1764892800000,0,ack
coreum,secret,0,0,transfer/channel-25,1764892800000,0,ack
coreum,sei,0,0,transfer/channel-26,1764892800000,0,ack
coreum,celestia,0,0,transfer/channel-27,1764892800000,0,ack
coreum,archway,0,0,transfer/channel-28,1764892800000,0,ack
coreum,archway,0,0,transfer/channel-29,1764892800000,0,ack
coreum,archway,0,0,transfer/channel-30,1764892800000,0,ack
coreum,centauri-1,0,0,transfer/channel-31,1764892800000,0,ack
coreum,xion,0,0,transfer/channel-32,1764892800000,0,ack
coreum,injective,0,0,transfer/channel-33,1764892800000,0,ack
coreum,omniflix,0,0,transfer/channel-34,1764892800000,0,ack
coreum,osmosis,140,140,transfer/channel-2,1764892800000,10298.240489,receive
coreum,cosmos,7,7,transfer/channel-9,1764892800000,154.48072,receive
coreum,noble,14,14,transfer/channel-19,1764892800000,13127.03077,receive
coreum,osmosis,0,0,transfer/channel-0,1764892800000,0,receive
coreum,osmosis,0,0,transfer/channel-1,1764892800000,0,receive
coreum,axelar,0,0,transfer/channel-3,1764892800000,0,receive
coreum,cosmos,0,0,transfer/channel-5,1764892800000,0,receive
coreum,cosmos,0,0,transfer/channel-4,1764892800000,0,receive
coreum,axelar,1,1,transfer/channel-6,1764892800000,9.692709,receive
coreum,gravity-bridge,0,0,transfer/channel-7,1764892800000,0,receive
coreum,kava,0,0,transfer/channel-11,1764892800000,0,receive
coreum,secret,0,0,transfer/channel-12,1764892800000,0,receive
coreum,noble,0,0,transfer/channel-13,1764892800000,0,receive
coreum,band,0,0,transfer/channel-15,1764892800000,0,receive
coreum,dydx,0,0,transfer/channel-16,1764892800000,0,receive
coreum,kava,0,0,transfer/channel-18,1764892800000,0,receive
coreum,band,0,0,transfer/channel-20,1764892800000,0,receive
coreum,dydx,0,0,transfer/channel-21,1764892800000,0,receive
coreum,secret,0,0,transfer/channel-22,1764892800000,0,receive
coreum,sei,0,0,transfer/channel-23,1764892800000,0,receive
coreum,dydx,0,0,transfer/channel-24,1764892800000,0,receive
coreum,secret,0,0,transfer/channel-25,1764892800000,0,receive
coreum,sei,0,0,transfer/channel-26,1764892800000,0,receive
coreum,celestia,0,0,transfer/channel-27,1764892800000,0,receive
coreum,archway,0,0,transfer/channel-28,1764892800000,0,receive
coreum,archway,0,0,transfer/channel-29,1764892800000,0,receive
coreum,archway,0,0,transfer/channel-30,1764892800000,0,receive
coreum,xion,0,0,transfer/channel-32,1764892800000,0,receive
coreum,injective,0,0,transfer/channel-33,1764892800000,0,receive
coreum,osmosis,100,99,transfer/channel-2,1764806400000,3309.037652,ack
coreum,cosmos,3,3,transfer/channel-9,1764806400000,0.361395,ack
coreum,noble,13,13,transfer/channel-19,1764806400000,665.484779,ack
coreum,osmosis,0,0,transfer/channel-0,1764806400000,0,ack
coreum,osmosis,0,0,transfer/channel-1,1764806400000,0,ack
coreum,axelar,0,0,transfer/channel-3,1764806400000,0,ack
coreum,cosmos,0,0,transfer/channel-5,1764806400000,0,ack
coreum,cosmos,0,0,transfer/channel-4,1764806400000,0,ack
coreum,axelar,0,0,transfer/channel-6,1764806400000,0,ack
coreum,gravity-bridge,0,0,transfer/channel-7,1764806400000,0,ack
coreum,evmos,0,0,transfer/channel-8,1764806400000,0,ack
coreum,vota-ash,0,0,transfer/channel-10,1764806400000,0,ack
coreum,kava,0,0,transfer/channel-11,1764806400000,0,ack
coreum,secret,0,0,transfer/channel-12,1764806400000,0,ack
coreum,noble,0,0,transfer/channel-13,1764806400000,0,ack
coreum,kujira,0,0,transfer/channel-14,1764806400000,0,ack
coreum,band,0,0,transfer/channel-15,1764806400000,0,ack
coreum,dydx,0,0,transfer/channel-16,1764806400000,0,ack
coreum,kujira,0,0,transfer/channel-17,1764806400000,0,ack
coreum,kava,0,0,transfer/channel-18,1764806400000,0,ack
coreum,band,0,0,transfer/channel-20,1764806400000,0,ack
coreum,dydx,0,0,transfer/channel-21,1764806400000,0,ack
coreum,secret,0,0,transfer/channel-22,1764806400000,0,ack
coreum,sei,0,0,transfer/channel-23,1764806400000,0,ack
coreum,dydx,0,0,transfer/channel-24,1764806400000,0,ack
coreum,secret,0,0,transfer/channel-25,1764806400000,0,ack
coreum,sei,0,0,transfer/channel-26,1764806400000,0,ack
coreum,celestia,0,0,transfer/channel-27,1764806400000,0,ack
coreum,archway,0,0,transfer/channel-28,1764806400000,0,ack
coreum,archway,0,0,transfer/channel-29,1764806400000,0,ack
coreum,archway,0,0,transfer/channel-30,1764806400000,0,ack
coreum,centauri-1,0,0,transfer/channel-31,1764806400000,0,ack
coreum,xion,0,0,transfer/channel-32,1764806400000,0,ack
coreum,injective,0,0,transfer/channel-33,1764806400000,0,ack
coreum,omniflix,0,0,transfer/channel-34,1764806400000,0,ack
coreum,osmosis,89,87,transfer/channel-2,1764806400000,4966.733149000001,receive
coreum,cosmos,3,3,transfer/channel-9,1764806400000,19.120147,receive
coreum,noble,7,7,transfer/channel-19,1764806400000,359.530386,receive
coreum,osmosis,0,0,transfer/channel-0,1764806400000,0,receive
coreum,osmosis,0,0,transfer/channel-1,1764806400000,0,receive
coreum,axelar,0,0,transfer/channel-3,1764806400000,0,receive
coreum,cosmos,0,0,transfer/channel-5,1764806400000,0,receive
coreum,cosmos,0,0,transfer/channel-4,1764806400000,0,receive
coreum,axelar,0,0,transfer/channel-6,1764806400000,0,receive
coreum,gravity-bridge,0,0,transfer/channel-7,1764806400000,0,receive
coreum,kava,0,0,transfer/channel-11,1764806400000,0,receive
coreum,secret,0,0,transfer/channel-12,1764806400000,0,receive
coreum,noble,0,0,transfer/channel-13,1764806400000,0,receive
coreum,band,0,0,transfer/channel-15,1764806400000,0,receive
coreum,dydx,0,0,transfer/channel-16,1764806400000,0,receive
coreum,kava,0,0,transfer/channel-18,1764806400000,0,receive
coreum,band,0,0,transfer/channel-20,1764806400000,0,receive
coreum,dydx,0,0,transfer/channel-21,1764806400000,0,receive
coreum,secret,0,0,transfer/channel-22,1764806400000,0,receive
coreum,sei,0,0,transfer/channel-23,1764806400000,0,receive
coreum,dydx,0,0,transfer/channel-24,1764806400000,0,receive
coreum,secret,0,0,transfer/channel-25,1764806400000,0,receive
coreum,sei,0,0,transfer/channel-26,1764806400000,0,receive
coreum,celestia,0,0,transfer/channel-27,1764806400000,0,receive
coreum,archway,0,0,transfer/channel-28,1764806400000,0,receive
coreum,archway,0,0,transfer/channel-29,1764806400000,0,receive
coreum,archway,0,0,transfer/channel-30,1764806400000,0,receive
coreum,xion,0,0,transfer/channel-32,1764806400000,0,receive
coreum,injective,0,0,transfer/channel-33,1764806400000,0,receive
coreum,osmosis,160,160,transfer/channel-2,1764720000000,12554.964274,ack
coreum,cosmos,11,11,transfer/channel-9,1764720000000,4.188188,ack
coreum,noble,46,46,transfer/channel-19,1764720000000,1893.38671,ack
coreum,osmosis,0,0,transfer/channel-0,1764720000000,0,ack
coreum,osmosis,0,0,transfer/channel-1,1764720000000,0,ack
coreum,axelar,0,0,transfer/channel-3,1764720000000,0,ack
coreum,cosmos,0,0,transfer/channel-5,1764720000000,0,ack
coreum,cosmos,0,0,transfer/channel-4,1764720000000,0,ack
coreum,axelar,1,1,transfer/channel-6,1764720000000,0,ack
coreum,gravity-bridge,0,0,transfer/channel-7,1764720000000,0,ack
coreum,evmos,0,0,transfer/channel-8,1764720000000,0,ack
coreum,vota-ash,0,0,transfer/channel-10,1764720000000,0,ack
coreum,kava,0,0,transfer/channel-11,1764720000000,0,ack
coreum,secret,0,0,transfer/channel-12,1764720000000,0,ack
coreum,noble,0,0,transfer/channel-13,1764720000000,0,ack
coreum,kujira,0,0,transfer/channel-14,1764720000000,0,ack
coreum,band,0,0,transfer/channel-15,1764720000000,0,ack
coreum,dydx,0,0,transfer/channel-16,1764720000000,0,ack
coreum,kujira,0,0,transfer/channel-17,1764720000000,0,ack
coreum,kava,0,0,transfer/channel-18,1764720000000,0,ack
coreum,band,0,0,transfer/channel-20,1764720000000,0,ack
coreum,dydx,0,0,transfer/channel-21,1764720000000,0,ack
coreum,secret,0,0,transfer/channel-22,1764720000000,0,ack
coreum,sei,0,0,transfer/channel-23,1764720000000,0,ack
coreum,dydx,0,0,transfer/channel-24,1764720000000,0,ack
coreum,secret,0,0,transfer/channel-25,1764720000000,0,ack
coreum,sei,0,0,transfer/channel-26,1764720000000,0,ack
coreum,celestia,0,0,transfer/channel-27,1764720000000,0,ack
coreum,archway,0,0,transfer/channel-28,1764720000000,0,ack
coreum,archway,0,0,transfer/channel-29,1764720000000,0,ack
coreum,archway,0,0,transfer/channel-30,1764720000000,0,ack
coreum,centauri-1,0,0,transfer/channel-31,1764720000000,0,ack
coreum,xion,0,0,transfer/channel-32,1764720000000,0,ack
coreum,injective,0,0,transfer/channel-33,1764720000000,0,ack
coreum,omniflix,0,0,transfer/channel-34,1764720000000,0,ack
coreum,osmosis,183,182,transfer/channel-2,1764720000000,13091.974432,receive
coreum,cosmos,4,4,transfer/channel-9,1764720000000,73.364735,receive
coreum,noble,11,11,transfer/channel-19,1764720000000,544.507043,receive
