id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
26,Coreum Proposal XXX Set Minimum Validator Commission to 5,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1763668538000,1763668538000,1764100538000,undefined,57055972,core1na0s5xdg3u2f46zmqrkaqr20vwkmcj5wp4et05,118160995.098976,50173808.718471,22621706.502145,166349957.10507
25,ActivityScaled Burn,Text,REJECTED,1763522726000,1763522726000,1763954726000,undefined,56908333,core15vhxw4sz9pxtcqfym3j5q4hhgn2kt7j8gc4atx,7208340.321606,283963122.821023,156181.761176,30461347.513192
24,Dynamic Delegator Rewards and Minimum Commission Mandate,Text,REJECTED,1763229352000,1763230305000,1763662305000,undefined,56609964,core1na0s5xdg3u2f46zmqrkaqr20vwkmcj5wp4et05,58690803.149659,252732988.797859,0,36612117.490327
23,Aligning Coreums Tokenomics for LongTerm Sustainability,Text,REJECTED,1762695589000,1762695589000,1763127589000,undefined,56065106,core13323z3cdxl953ds577r2m8g2dyw63takp75k7c,132961053.741726,184135359.619556,4089879.517603,65851971.806991
22,Migrate CoreumXRPL Bridge smart contract to v117,/cosmwasm.wasm.v1.MsgMigrateContract,PASSED,1761041213000,1761042425000,1761474425000,undefined,54380046,core18pnxa0r200txxjy32txa3dvuhy99u9yq5sqzvv,280859428.679536,0,2500,0
21,Degen Creative Studios NFT Platform Development,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,REJECTED,1759091230000,1759091230000,1759523230000,undefined,52378472,core1l9vjf6kemnpmmm3846sykdupcydmww94a5ra4g,53006016.739426,94195595.622817,0,142489384.188596
20,Bidds permissionless borrowing  lending protocol for tokenised assets,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1755004778000,1755004778000,1755436778000,undefined,48287340,core1eegug92k2gp9c6kqjsadk3tku29sr2rs46laqm,216275592.515082,9944182.750338,0,31114095.743344
19,Proposal from Coreum Labs,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1754625618000,1754625618000,1755057618000,undefined,47916907,core146af0kjrpn725rkqffjehaq8r83vq5dtcl9sc6,282958973.053817,123300.016005,1889.489987,7379684.30932
18,Empowering Coreums Decentralized Future,Text,PASSED,1750406434000,1750431902000,1750863902000,undefined,43885429,core1ww0llzqlyz68u3m9qwleu5xtfju0ne969ruhcy,292333529.887293,871685.000271,14570.728869,5420755.757646
17,The Coreum Foundation will fix staking params in an upcoming proposal,Text,PASSED,1750094728000,1750094728000,1750526728000,undefined,43597627,core18pnxa0r200txxjy32txa3dvuhy99u9yq5sqzvv,212409301.31251,60069118.0917,1782.969987,24895278.750518
