address,moniker,commission,rank,token,votingPower,timestamp
corevaloper1uhrrdv6g6v9t38v4qghjucunnxyk8xt30vr8za,ZenLounge,0.02,1,77766070,0.138933,1765152000000
corevaloper1x9hd9r7duv2gagztvvqlw94v5gy4zd9xwhqnlm,007COREUM,0,2,67025333,0.119744,1765152000000
corevaloper14t9235vp7f23erugflme3lzszykwsfwcjfqdcg,Brouj Coreum,0,3,41042506,0.073324,1765152000000
corevaloper10zh7zme4m3ash43k5cxz9ztq0refcpvepv3dar,Bitrue,0.01,4,39411316,0.07041,1765152000000
corevaloper1ll9gdh5ur6gyv6swgshcm4zkkw4ttakt0zghmr,Cosmostation,0.05,5,35682760,0.063749,1765152000000
corevaloper15jt4n79afsyed2maw76advx7x2w5gxvvre9ve4,Macy and Foster  Ysera,0.01,6,23755631,0.042441,1765152000000
corevaloper1gsaxrwfu5glgw764mqhc4t8f3yxg2h07rmwt0k,SoloNationio,0.01,7,17041270,0.030445,1765152000000
corevaloper1m2zzfv08ndxjnxnxu9tlwa3r2myte5up6w3vfm,CORE MARSHALLS,0.02,8,11531818,0.020602,1765152000000
corevaloper19p9mc0lrlndcwejrqk0m8a4jv035prnn0q34g0,Keyrock,0.05,9,10902678,0.019478,1765152000000
corevaloper10gq88py0q52xmf6wu6tytszee7durnwcw7e37f,Bumbalu,0.05,10,9978167,0.017826,1765152000000
corevaloper1fq63eks78npnsgtja8m8nvvv5qmahqxawgpafz,Stakewollecom,0.05,11,9658630,0.017256,1765152000000
corevaloper1pulqspt7t3tcnvcde38hmyngj0x43y0ujsvfus,Allnodes,0.05,12,9467244,0.016914,1765152000000
corevaloper106hu5d46yeuaxud2v2v9av8crltmegcauqltlj,Go and Partners,0.0911,13,9237071,0.016502,1765152000000
corevaloper17qvasmyr7uyt5ykw0dvqqk4yfdgzqdjq6xdfc5,BitGo,0.1,14,8413975,0.015032,1765152000000
corevaloper1f3v67lpkha4hhruncehqzjmt6f6t2fdnua6rv9,Huobi,0.1,15,7798634,0.013933,1765152000000
corevaloper1dh2vuvhtryv8wl62lrnuw9q5f8jf2ex5lp6glu,ByteStake,0.01,16,7547420,0.013484,1765152000000
corevaloper1v9h6lnt4a3k6z34cy0qe3mj07ykujkh0uy7n6j,Degen Labs,0.2,17,7371457,0.013169,1765152000000
corevaloper1lr2jz6xrncu8d8t6uw8pctc9velpgxmg8fdde7,Cointelegraph Decentralization Guardians,0.18,18,6666605,0.01191,1765152000000
corevaloper1yhr8hqys3f3jwme82weaerknvan70h9j53y5cy,Zeeve Inc,0.01,19,6171075,0.011025,1765152000000
corevaloper1r4k9kr6sugcj9pmvtza93eaats6qwxwck8saak,Synchrotron,0.025,20,5696391,0.010177,1765152000000
corevaloper16djhza7768xc4mlnf0rd582tg7swvyy438h42v,CoreHeroes,0.045,21,5543333,0.009903,1765152000000
corevaloper1k3wy8ztt2e0uq3j5deukjxu2um4a4z5tvz35la,Forbole,0.1,22,5542950,0.009903,1765152000000
