chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
cosmos,0.170016,5.7732024,28755729,0.1,277727523,481816631,9773504,200,405,605,91094011,3.167856081826338,3.167856081826338,110451,3008176,cosmos,2.18,1047343505,99,1047358374,31314553,2.25,2.15,-0.05934671,-2.656,-28942047,-2.689,481807204,481814045,0,44.45,1642379681497,1.16,1584066464591,-0.659,-2.656,-9.776,-13.409,-30.578,-78.644,1765152000000
cosmos,0.170236,5.7783705,28740761,0.1,277273361,481651239,9770196,200,405,605,91071727,3.1687305357015423,3.1687305357015423,111267,3008149,cosmos,2.24,1076285551,97,1076301078,29890207,2.28,2.19,0.03775752,1.718,16986846,1.604,481642269,481649217,0,44.45,1642379681497,1.16,1584066464591,0.019,1.718,-7.852,-10.543,-16.149,-78.428,1765065600000
cosmos,0.170372,5.9253814,28725806,0.1,276955879,481486059,9766894,200,405,605,91049826,3.16961779941005,3.16961779941005,111719,3008047,cosmos,2.2,1059298705,97,1059313428,39814006,2.33,2.16,-0.11429902,-4.941,-53861535,-4.839,481477633,481484325,0,44.45,1642379681497,1.16,1584066464591,0.143,-4.941,-9.91,-13.538,-17.745,-77.204,1764979200000
cosmos,0.170571,5.9642900999999995,28711221,0.1,276541550,481325020,9763674,200,405,605,91025137,3.1703680244041172,3.1703680244041172,111719,3008047,cosmos,2.31,1113160240,97,1113160240,37150605,2.4,2.29,-0.08883808,-3.699,-42109277,-3.645,481322834,481322834,0,44.45,1642379681497,1.16,1584066464591,-0.222,-3.699,-9.029,-17.674,-3.064,-77.254,1764892800000
cosmos,0.170941,5.9291507,28696706,0.1,275849741,481164818,9760470,200,405,605,91000345,3.171107687411928,3.171107687411928,114161,3006531,cosmos,2.4,1155269516,94,1155269516,47948771,2.41,2.33,0.03417183,1.443,16535818,1.452,481162942,481162942,0,44.45,1642379681497,1.16,1584066464591,-0.14,1.443,-5.444,-11.299,-3.975,-74.541,1764806400000
cosmos,0.170967,5.9297173999999995,28682133,0.1,275715528,481004008,9757253,200,405,605,90975779,3.1718623925215046,3.1718623925215046,114985,3006372,cosmos,2.37,1139799715,95,1139815557,46388675,2.42,2.25,0.096829,4.264,48078876,4.404,480995160,481001846,0,44.45,1642379681497,1.16,1584066464591,-0.699,4.264,-3.661,-14.615,-21.559,-74.866,1764720000000
cosmos,0.170947,5.9388641,28667563,0.1,275656878,480843307,9754040,200,405,605,90945362,3.1724134346543513,3.1724134346543513,115567,3006372,cosmos,2.27,1092315532,92,1092329762,69971667,2.38,2.16,-0.11051313,-4.639,-51958374,-4.541,480834308,480840572,0,44.45,1642379681497,1.16,1584066464591,0.075,-4.639,-9.668,-15.691,-24.77,-74.226,1764633600000
cosmos,0.171168,5.9404758,28653018,0.1,275209274,480682924,9750831,200,404,604,90910245,3.17279823716999,3.17279823716999,116646,3005685,cosmos,2.38,1145403660,96,1145420658,29209826,2.45,2.38,-0.0465661,-1.918,-21361750,-1.831,480673376,480680509,0,44.45,1642379681497,1.16,1584066464591,-1.196,-1.918,-5.221,-12.764,-19.878,-72.705,1764547200000
cosmos,0.171462,5.935029,28638469,0.1,274645522,480522550,9747624,200,404,604,90887103,3.173602017621822,3.173602017621822,147594,3005685,cosmos,2.43,1166765410,94,1166780557,30565486,2.45,2.4,-0.01546764,-0.633,-7132140,-0.608,480513865,480520103,0,44.45,1642379681497,1.16,1584066464591,0.213,-0.633,-2.851,-14.549,-17.264,-72.045,1764460800000
cosmos,0.171621,5.942174,28623911,0.1,274299811,480362131,9744416,200,404,604,90871121,3.174657753791926,3.174657753791926,148684,3004547,cosmos,2.44,1173530604,93,1173530604,42827298,2.53,2.44,-0.07677063,-3.047,-36404590,-3.009,480360247,480360247,0,44.45,1642379681497,1.16,1584066464591,-0.26,-3.047,-0.709,-14.381,-22.448,-70.225,1764374400000
cosmos,0.171823,5.9555766000000006,28609369,0.1,273885710,480201941,9741213,200,404,604,90852550,3.1756222935220975,3.1756222935220975,150182,3004547,cosmos,2.52,1209935194,91,1209935194,42187671,2.55,2.51,-0.00437011,-0.173,-1354317,-0.112,480199529,480199529,0,44.45,1642379681497,1.16,1584066464591,-0.035,-0.173,-10.645,-11.736,-18.913,-69.72,1764288000000
cosmos,0.171817,5.9671828,28594849,0.1,273804230,480042037,9738014,200,404,604,90834251,3.1765948825258703,3.1765948825258703,152047,3004368,cosmos,2.52,1211289511,91,1211289511,51896738,2.56,2.44,0.056149,2.275,25515182,2.152,480039306,480039306,0,44.45,1642379681497,1.16,1584066464591,-0.456,2.275,-7.091,-13.371,-20.886,-68.235,1764201600000
cosmos,0.172029,5.937659,28580347,0.1,273375692,479882423,10434447,200,404,604,90813920,3.177495360710631,3.177495360710631,152472,3004368,cosmos,2.47,1185774329,92,1185789804,46376411,2.53,2.42,-0.0364923,-1.457,-15149884,-1.262,479873959,479880222,0,44.45,1642379681497,1.16,1584066464591,0.049,-1.457,-11.007,-17.398,-24.515,-68.99,1764115200000
cosmos,0.170666,5.9446658,28565789,0.1,275467082,479722217,10431243,200,404,604,90792083,3.1783502636667937,3.1783502636667937,152472,3004368,cosmos,2.5,1200924212,86,1200924212,69580613,2.54,2.4,0.00755976,0.303,5182870,0.433,479720314,479720314,0,44.45,1642379681497,1.16,1584066464591,-0.444,0.303,-7.08,-18.401,-20.695,-70.862,1764028800000
cosmos,0.170702,5.9352574,28551247,0.1,275316811,479562231,10428044,200,404,604,90771546,3.1792497889846985,3.1792497889846985,154235,3003231,cosmos,2.5,1197133323,84,1197146887,53028894,2.56,2.49,-0.01149619,-0.459,-4751696,-0.395,479553718,479559151,0,44.45,1642379681497,1.16,1584066464591,-0.678,-0.459,-8.582,-16.123,-22.436,-70.007,1763942400000
cosmos,0.170869,5.9366198,28536686,0.1,274956168,479402111,10424842,200,404,604,90752658,3.180210133720503,3.180210133720503,153441,3003140,cosmos,2.51,1201885019,82,1201885019,49895670,2.52,2.44,-0.01184094,-0.47,-4857478,-0.403,479400055,479400055,0,44.45,1642379681497,1.16,1584066464591,0.141,-0.47,-11.759,-14.868,-21.139,-65.97,1763856000000
cosmos,0.171002,5.950918,28522133,0.1,274649954,479242121,10421641,200,404,604,90735265,3.1812229821661653,3.1812229821661653,152651,3002095,cosmos,2.52,1206742496,82,1206759712,101806572,2.82,2.45,-0.23505503,-8.539,-112688897,-8.541,479233228,479240065,0,44.45,1642379681497,1.16,1584066464591,2.018,-8.539,-11.748,-19.659,-18.16,-60.621,1763769600000
cosmos,0.17119,5.949060500000001,28507608,0.1,274257633,479082480,10418449,200,404,604,90710783,3.181985068687629,3.181985068687629,153370,3001602,cosmos,2.75,1319431393,79,1319449429,196937884,3.12,2.72,0.02534259,0.932,18393738,1.414,479073536,479080085,0,44.45,1642379681497,1.16,1584066464591,-2.542,0.932,-3.828,3.326,-15.238,-56.048,1763683200000
cosmos,0.17134,5.946152199999999,28493095,0.1,273925116,478923036,10415260,200,404,604,90683464,3.182647023778919,3.182647023778919,154194,3001261,cosmos,2.72,1302259079,82,1302259079,61352728,2.77,2.62,-0.0360596,-1.308,-16969122,-1.286,478921103,478921103,0,44.45,1642379681497,1.16,1584066464591,0.499,-1.308,-6.658,1.741,-17.408,-56.296,1763596800000
cosmos,0.171432,5.9408637,28478550,0.1,273687024,478763305,10412065,200,404,604,90665503,3.183641828674564,3.183641828674564,153368,3000807,cosmos,2.76,1319228201,82,1319228201,83786329,2.81,2.68,0.057053,2.114,30077180,2.333,478760164,478760164,0,44.45,1642379681497,1.16,1584066464591,-0.635,2.114,-6.712,15.477,-15.24,-57.289,1763510400000
cosmos,0.17163,5.9212875,28463988,0.1,273280569,478603429,10408867,200,403,603,90648526,3.1846741222628396,3.1846741222628396,154417,3000098,cosmos,2.7,1289151021,84,1289151021,84301868,2.88,2.69,-0.07496824,-2.704,-37670627,-2.839,478601299,478601299,0,44.45,1642379681497,1.16,1584066464591,-0.344,-2.704,-12.09,7.86,-15.147,-51.832,1763424000000
cosmos,0.171576,5.9151169999999995,28449390,0.1,273274900,478443200,10405663,200,403,603,90626308,3.185527281955782,3.185527281955782,154968,2999916,cosmos,2.77,1326821648,82,1326821648,60094127,2.87,2.71,-0.07901423,-2.77,-37592834,-2.755,478440633,478440633,0,44.45,1642379681497,1.16,1584066464591,1.034,-2.77,-6.597,-8.125,-12.678,-53.837,1763337600000
cosmos,0.171781,5.9198759,28434782,0.1,272857644,478282938,10402458,200,403,603,90609333,3.186566825094703,3.186566825094703,154968,2999916,cosmos,2.85,1364414481,82,1364414481,64777666,2.99,2.8,0.04377174,1.558,16714570,1.24,478281742,478281742,0,44.45,1642379681497,1.16,1584066464591,-0.193,1.558,-3.099,-5.508,-11.625,-45.61,1763251200000
cosmos,0.171836,5.9310730000000005,28420195,0.1,272678571,478122948,10399258,200,403,603,90592425,3.1876074390059603,3.1876074390059603,155047,2999916,cosmos,2.82,1347699911,82,1347699911,91729181,2.9,2.76,-0.06682288,-2.318,-30048304,-2.181,478121479,478121479,0,44.45,1642379681497,1.16,1584066464591,-1.157,-2.318,-9.415,-5.252,-15.324,-44.333,1763164800000
cosmos,0.171882,5.9273242,28405622,0.1,272514580,477963177,10396063,200,403,603,90573022,3.1885597153971843,3.1885597153971843,157817,2998375,cosmos,2.87,1377748214,83,1377767806,79414454,3,2.78,-0.01508176,-0.522,-2507927,-0.182,477954352,477961149,0,44.45,1642379681497,1.16,1584066464591,0.656,-0.522,7.8,-2.055,-17.707,-42.774,1763078400000
cosmos,0.171226,5.9168682,28391034,0.1,273466990,477803273,10392865,200,403,603,90554616,3.1895497712411602,3.1895497712411602,159452,2998012,cosmos,2.89,1380256141,85,1380256141,68622266,3.1,2.87,-0.05710096,-1.938,-28265633,-2.007,477800127,477800127,0,44.45,1642379681497,1.16,1584066464591,-0.843,-1.938,8.078,-8.262,-20.487,-45.446,1762992000000
cosmos,0.171294,5.9117381,28376422,0.1,273266664,477643170,10389662,200,403,603,90536544,3.1905553138447122,3.1905553138447122,160759,2997656,cosmos,2.95,1408521773,84,1408521773,76319246,3.14,2.94,-0.15905138,-5.122,-74266087,-5.009,477640354,477640354,0,44.45,1642379681497,1.16,1584066464591,-1.412,-5.122,16.368,-4.229,-15.463,-46.034,1762905600000
cosmos,0.169346,6.0349523000000005,28361876,0.1,276318682,477484283,10386477,200,403,603,90517465,3.1915189601703355,3.1915189601703355,161773,2996863,cosmos,3.1,1482787859,84,1482810033,80358054,3.14,2.96,0.132249,4.453,66091307,4.665,477475632,477482772,0,44.45,1642379681497,1.16,1584066464591,-1.314,4.453,24.037,-2.772,-1.039,-41.25,1762819200000
cosmos,0.169304,5.9327001,28347485,0.1,276295331,477326707,10383324,200,403,603,90495274,3.192356358950362,3.192356358950362,162894,2996501,cosmos,2.97,1416696552,85,1416716341,98738354,3,2.84,0.01758057,0.596,8316623,0.591,477318069,477324736,0,44.45,1642379681497,1.16,1584066464591,0.3,0.596,-1.65,-9.194,-0.312,-37.466,1762732800000
cosmos,0.169393,5.9285216,28332914,0.1,276058026,477167223,10380134,200,403,603,90474658,3.193270483932574,3.193270483932574,164256,2995008,cosmos,2.95,1406977359,82,1406996786,96470528,3.15,2.9,-0.09262815,-3.043,-52429957,-3.593,477158533,477165122,0,44.45,1642379681497,1.16,1584066464591,0.221,-3.043,-2.27,-6.523,-27.067,-36.584,1762646400000
cosmos,0.169194,5.948163,28318340,0.1,276290099,477007749,10376945,200,403,603,90450260,3.1940523349885623,3.1940523349885623,164256,2995008,cosmos,3.05,1454110400,82,1454110400,161042911,3.15,2.64,0.405056,15.338,194141306,15.408,477006305,477006305,0,44.45,1642379681497,1.16,1584066464591,-2.172,15.338,2.498,-4.481,-26.786,-32.467,1762560000000
cosmos,0.169171,5.9455396,28303809,0.1,276237097,476848798,10373766,200,402,602,90424854,3.194794523945523,3.194794523945523,168309,2994669,cosmos,2.64,1259969094,89,1259969094,66109442,2.67,2.55,-0.02625975,-0.983,-12921546,-1.015,476846830,476846830,0,44.45,1642379681497,1.16,1584066464591,-0.177,-0.983,-9.873,-16.81,-34.997,-40.849,1762473600000
cosmos,0.169306,5.9442811,28289273,0.1,275924125,476689846,10370587,200,402,602,90406095,3.195773005548782,3.195773005548782,168868,2994308,cosmos,2.67,1272890640,90,1272890640,81254863,2.68,2.42,0.158731,6.32,75571278,6.312,476688414,476688414,0,44.45,1642379681497,1.16,1584066464591,-0.107,6.32,-15.209,-13.33,-37.521,-35.798,1762387200000
cosmos,0.169481,5.9478361,28274741,0.1,275547060,476530980,10367410,200,402,602,90385009,3.1966697413780025,3.1966697413780025,168221,2992704,cosmos,2.51,1197319362,94,1197319362,138338784,2.64,2.37,0.00767511,0.307,4560651,0.382,476522105,476522105,0,44.45,1642379681497,1.16,1584066464591,-0.683,0.307,-18.365,-23.674,-39.436,-35.5,1762300800000
cosmos,0.169862,5.9392121,28260208,0.1,274837615,476372177,10364234,200,402,602,90353377,3.197194337706219,3.197194337706219,170014,2990967,cosmos,2.5,1192843582,96,1192843582,146380273,3.07,2.48,-0.5679924,-18.497,-269290900,-18.418,476369609,476369609,0,44.45,1642379681497,1.16,1584066464591,0.074,-18.497,-21.556,-23.877,-39.416,-37.225,1762214400000
