timestamp,blockCount,txCount
1765065600000,14970,22281
1764979200000,14955,21914
1764892800000,14585,24681
1764806400000,14514,24792
1764720000000,14573,24570
1764633600000,14570,30407
1764547200000,14545,35122
1764460800000,14549,23155
1764374400000,14557,15972
1764288000000,14543,18571
1764201600000,14521,18308
1764115200000,14502,20330
1764028800000,14557,21842
1763942400000,14543,20538
1763856000000,14560,18882
1763769600000,14553,17395
1763683200000,14526,24461
1763596800000,14512,27340
1763510400000,14545,17948
1763424000000,14562,16980
1763337600000,14598,22222
1763251200000,14607,16975
1763164800000,14589,16908
1763078400000,14572,19409
1762992000000,14588,18404
1762905600000,14612,18072
1762819200000,14548,19083
1762732800000,14389,22185
1762646400000,14571,20610
1762560000000,14574,24404
1762473600000,14531,25412
1762387200000,14536,18751
1762300800000,14533,21079
1762214400000,14532,31640
1762128000000,14548,34698
1762041600000,14571,24734
1761955200000,14563,27728
1761868800000,14548,35727
1761782400000,14525,31408
1761696000000,14591,55961
1761609600000,14598,25190
1761523200000,14598,29239
1761436800000,14613,24884
1761350400000,14616,26253
1761264000000,14609,22382
1761177600000,14610,28833
1761091200000,14524,28925
1761004800000,14631,31175
1760918400000,14641,27226
1760832000000,14625,25510
1760745600000,14634,26403
1760659200000,14621,23956
1760572800000,14629,21413
1760486400000,14588,28081
1760400000000,14582,25835
1760313600000,14601,33638
1760227200000,14612,38176
1760140800000,14598,53711
1760054400000,14610,37462
1759968000000,14592,32406
1759881600000,14600,26718
1759795200000,14585,30944
1759708800000,14602,37315
1759622400000,14609,38519
1759536000000,14618,32680
1759449600000,14597,39255
1759363200000,14616,45494
1759276800000,14613,45964
1759190400000,14629,31223
1759104000000,14643,23867
1759017600000,14641,21525
1758931200000,14642,21415
1758844800000,14658,27081
1758758400000,14646,30381
1758672000000,14621,32073
1758585600000,14568,39013
1758499200000,14588,48105
1758412800000,14624,36375
1758326400000,14649,34313
1758240000000,14650,35246
1758153600000,14634,29636
1758067200000,14632,28164
1757980800000,14552,35560
1757894400000,14623,27011
1757808000000,14617,26935
1757721600000,14610,30708
1757635200000,14630,30562
1757548800000,14623,31621
1757462400000,14617,29950
1757376000000,14599,26274
1757289600000,14621,26454
1757203200000,14619,25162
1757116800000,14608,34435
1757030400000,14619,35613
1756944000000,14629,22020
1756857600000,14624,22185
1756771200000,14631,25158
1756684800000,14680,27833
1756598400000,14669,25659
1756512000000,14670,22936
1756425600000,14643,23237
1756339200000,14646,24076
1756252800000,14637,29058
1756166400000,14619,34331
1756080000000,14615,36320
1755993600000,14633,32752
1755907200000,14620,38770
1755820800000,14621,37243
1755734400000,14617,34835
1755648000000,14624,23791
1755561600000,14593,27024
1755475200000,14600,46025
1755388800000,14609,40156
1755302400000,14601,35297
1755216000000,14579,27702
1755129600000,14526,34174
1755043200000,14487,54086
1754956800000,14534,36004
1754870400000,14645,33326
1754784000000,14773,32002
1754697600000,14756,42182
1754611200000,14759,44016
1754524800000,14752,40211
1754438400000,14769,29295
1754352000000,14751,24691
1754265600000,14755,25331
1754179200000,14746,23167
1754092800000,14759,22524
1754006400000,14755,28765
1753920000000,14724,26672
1753833600000,14708,25562
1753747200000,14692,27947
1753660800000,14694,30503
1753574400000,14710,26010
1753488000000,14705,22098
1753401600000,14691,22252
1753315200000,14700,23557
1753228800000,14665,28739
1753142400000,14651,29790
1753056000000,14688,38200
1752969600000,14704,35118
1752883200000,14724,23239
1752796800000,14706,35270
1752710400000,14419,29555
1752624000000,14617,29364
1752537600000,14567,25257
1752451200000,14573,30063
1752364800000,14582,25231
1752278400000,14628,23029
1752192000000,14607,38389
1752105600000,14546,28426
1752019200000,14628,24130
1751932800000,14619,22331
1751846400000,14616,23513
1751760000000,14604,18093
1751673600000,14614,17686
1751587200000,14596,21003
1751500800000,14588,22498
1751414400000,14355,21600
1751328000000,14644,22085
1751241600000,14597,25724
1751155200000,14617,21978
1751068800000,14625,18053
1750982400000,14710,20091
1750896000000,14756,18798
1750809600000,14755,21980
1750723200000,14722,23305
1750636800000,14748,22628
1750550400000,14766,22037
1750464000000,14771,19633
1750377600000,14778,19218
1750291200000,14789,19938
1750204800000,14757,21342
1750118400000,14732,20575
1750032000000,14738,21868
1749945600000,14734,17262
1749859200000,14738,16433
1749772800000,14746,20019
1749686400000,14747,19019
1749600000000,14551,21236
