id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
1017,Migrate Stargaze its Applications and Collections to the Cosmos Hub,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1763577205000,1763577825000,1764182625000,undefined,28489808,cosmos1fd68882pq8al866lg6z0x3wzce07ud92tqlutm,41518287.65106,33132401.562192,279527.666229,61292977.221987
1016,Gaia v2520 Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1762451790000,1762452023000,1762711223000,undefined,28300153,cosmos1cc5mtuje84sx5dsqw4gtr4w8lthpzw02rjjnew,136560124.8007,16607.240388,2599.809896,1569.171876
1015,Recover Expired IBC Client to XPLA Chain,/ibc.core.client.v1.MsgRecoverClient,PASSED,1761024383000,1761024383000,1761629183000,undefined,28059391,cosmos1rjujxmsdk3n7hj07q54huh4esf4v0ts87dk43g,102526041.893849,102964.824314,18915.911826,13198555.941273
1014,Correct Owner Address Migrate Stride to optin PSS,/interchain_security.ccv.provider.v1.MsgUpdateConsumer,PASSED,1759950845000,1759952253000,1760557053000,undefined,27877845,cosmos1na05cry4g23hwt4x5lknktn3nnffgakgkrac0s,133435177.238144,604553.163046,2866.183632,8082735.171424
1013,Migrate Stride to optin PSS,/interchain_security.ccv.provider.v1.MsgUpdateConsumer,REJECTED,1759950476000,1759950476000,1760555276000,undefined,27877782,cosmos1na05cry4g23hwt4x5lknktn3nnffgakgkrac0s,2715183.14049,116635636.156909,421476.735103,2343375.245525
1012,Migrate Stride to optin PSS,/interchain_security.ccv.provider.v1.MsgUpdateConsumer,REJECTED,1759871416000,1759871416000,1760476216000,undefined,27864421,cosmos1na05cry4g23hwt4x5lknktn3nnffgakgkrac0s,24099744.857459,92003061.185198,402889.217642,1902546.824234
1011,Recover Expired IBC Client to XPLA Chain,/ibc.core.client.v1.MsgRecoverClient,REJECTED,1758548475000,1758548475000,1759153275000,undefined,27640596,cosmos1rjujxmsdk3n7hj07q54huh4esf4v0ts87dk43g,93935862.971633,17187.934736,13120.933703,13523839.550953
1010,SIGNALING PROPOSAL 1010 Integrating Token Factory into the Cosmos Hub ,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1757966714000,1758189919000,1758794719000,undefined,27542139,cosmos1vmxx4z2mjyjqqln6vq86vqdv2l3y9sdegt0u3a,87718137.532682,25860.92038,3888.238699,22342439.010838
1009,Grant Eureka Security Council 08wasm AuthZ permissions,/cosmos.authz.v1beta1.MsgGrant,PASSED,1757360355000,1757360739000,1757965539000,undefined,27439556,cosmos16mpxhyurfckn67zzfp7f56kle9zca3e4gfwxdm,99484083.32355,30852.544276,5862.79505,16308746.238526
1008,Recover IBC light client for Xrplevm,/ibc.core.client.v1.MsgRecoverClient,PASSED,1757000758000,1757000758000,1757605558000,undefined,0,null,111404365.374364,16719.278979,5877.379593,1868991.511401
