address,moniker,commission,rank,token,votingPower,timestamp
cosmosvaloper10sjr8xv2yr83agmzw7acf6xxqrw8e3q6wvh5ne,Coinbase01,0.2,1,47371032,0.170619,1765152000000
cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,Upbit Staking,1,2,17030491,0.06134,1765152000000
cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,Cosmostation,0.05,3,13237970,0.04768,1765152000000
cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,Everstake,0.08,4,11041760,0.03977,1765152000000
cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Kraken01,0.1,5,10020884,0.036093,1765152000000
cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,DokiaCapital,0.15,6,8634038,0.031098,1765152000000
cosmosvaloper15gyzcp2kas2yntv9k3p0zm4k8y6e89ecmkeqee,Kiln,0.08,7,8583356,0.030915,1765152000000
cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,Ledger by Chorus One,0.075,8,8314672,0.029947,1765152000000
cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,Binance Node,0.05,9,7484179,0.026956,1765152000000
cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,SG1,0.05,10,6786477,0.024443,1765152000000
cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,Allnodes,0.05,11,6670456,0.024025,1765152000000
cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,Blockdaemon,0.1,12,5764509,0.020762,1765152000000
cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,CloudByte,0.05,13,5620598,0.020244,1765152000000
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,Chorus One,0.075,14,5465296,0.019685,1765152000000
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,P2Porg,0.08,15,5343552,0.019246,1765152000000
cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,Figment,0.09,16,4856318,0.017491,1765152000000
cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,stakefish,0.05,17,4378333,0.01577,1765152000000
cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,Informal Systems,0.05,18,4242294,0.01528,1765152000000
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,GAME,0.05,19,3980154,0.014336,1765152000000
cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,Nansen  Stake to Stack Points,0.05,20,3905542,0.014067,1765152000000
cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,Keplr,0.05,21,3710782,0.013365,1765152000000
cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,NO Fee to 2025   meleaxyz,0.05,22,3158854,0.011377,1765152000000
cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,Sikka,0.05,23,3123534,0.01125,1765152000000
cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,Imperatorco,0.05,24,2855050,0.010283,1765152000000
cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,OKXEarn,0.05,25,2695348,0.009708,1765152000000
cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,Provalidator,0.05,26,2670359,0.009618,1765152000000
cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,Kiln legacy  please redelegate,0.08,27,2524099,0.009091,1765152000000
cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,Swiss Staking,0.05,28,2348922,0.00846,1765152000000
cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,POSTHUMAN  StakeDrop,0.05,29,2197494,0.007915,1765152000000
cosmosvaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56fz4sdg3,BouBouNode,0.061,30,2125102,0.007654,1765152000000
