chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
crypto-org,0.07191,5.181961299999999,27022098,0.01,11609401765,98216103100,124048852,100,186,286,41194358,1.5244692695585664,1.5244692695585664,13490,645279,crypto-com-chain,0.103214,3853995327,40,10134673847,14844841,0.105226,0.101376,-0.00089959,-0.864,-32833824,-0.845,37349424141,98216058905,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.028,-0.864,-4.279,-5.215,-21.332,-49.374,1765152000000
crypto-org,0.071945,5.1821079,27005424,0.01,11603487653,98213508426,123659627,100,186,286,41191507,1.5253049535530343,1.5253049535530343,13671,645275,crypto-com-chain,0.104108,3886829150,40,10221454869,10526484,0.104642,0.10358,0.00045386,0.438,16432000,0.425,37346829312,98213457697,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.102,0.438,-2.591,5.411,-15.121,-49.297,1765065600000
crypto-org,0.071993,5.1857476,26988751,0.01,11595441911,98210913976,123270413,100,186,286,41188429,1.526133202681369,1.526133202681369,13734,645275,crypto-com-chain,0.103656,3870397150,39,10178680914,17261510,0.107326,0.10222,-0.00273088,-2.567,-102326602,-2.576,37344234863,98210864649,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.291,-2.567,-4.746,4.711,-17.399,-50.123,1764979200000
crypto-org,0.072072,5.1828563,26972085,0.01,11582413936,98208320684,122881466,100,186,286,41181912,1.5268345773046466,1.5268345773046466,13734,645275,crypto-com-chain,0.106388,3972723752,38,10448237409,15482586,0.11094,0.105986,-0.00400794,-3.631,-149478270,-3.626,37341641415,98208271980,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.047,-3.631,-5.794,2.131,-8.301,-51.391,1764892800000
crypto-org,0.072123,5.1817706,26955415,0.01,11573913344,98205726682,122492389,100,186,286,41173975,1.5274843663137814,1.5274843663137814,13829,645209,crypto-com-chain,0.110402,4122202021,38,10841832729,20359559,0.111042,0.107873,0.00141292,1.296,52819188,1.298,37339047725,98205693851,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.112,1.296,-1.147,2.533,-14.635,-43.537,1764806400000
crypto-org,0.072205,5.1828142999999995,26938740,0.01,11560542908,98203132438,122103206,100,186,286,41170237,1.5282911153231369,1.5282911153231369,13979,645075,crypto-com-chain,0.108979,4069382833,38,10703373711,27937837,0.111921,0.101321,0.0070739,6.942,257248524,6.748,37336453481,98203101319,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.185,6.942,-1.171,-0.78,-24.44,-40.521,1764720000000
crypto-org,0.072213,5.1837668,26922071,0.01,11558971376,98200538729,121714150,100,186,286,41165536,1.529062753010346,1.529062753010346,14064,645075,crypto-com-chain,0.101961,3812134309,40,10027195529,26081365,0.106462,0.098782,-0.00450089,-4.228,-172937411,-4.34,37333814496,98200490185,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.123,-4.228,-7.789,-2.087,-30.534,-46.044,1764633600000
crypto-org,0.072307,5.1837782,26905406,0.01,11543637962,98197945711,121325220,100,186,286,41161205,1.5298488712640128,1.5298488712640128,14187,645075,crypto-com-chain,0.106457,3985071720,39,10482532143,11673072,0.109044,0.106727,-0.00070937,-0.662,-15378073,-0.384,37331221791,98197914594,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-1.285,-0.662,-2.237,-2.139,-26.76,-42.32,1764547200000
crypto-org,0.07237,5.183256,26888737,0.01,11533186567,98195352450,120936231,100,186,286,41157574,1.5306622248564519,1.5306622248564519,14215,645058,crypto-com-chain,0.107186,4000449792,38,10523434354,12506847,0.109193,0.106288,-0.00167045,-1.535,-63210270,-1.556,37328628531,98195301108,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.272,-1.535,8.528,-5.909,-25.363,-43.078,1764460800000
crypto-org,0.072411,5.1882672,26872071,0.01,11526366372,98192759569,120547276,100,186,286,41154561,1.5314994143919909,1.5314994143919909,14278,645058,crypto-com-chain,0.10883,4062726910,37,10687707956,18655067,0.113123,0.10834,-0.00257222,-2.309,-95174748,-2.289,37326080769,98192730943,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.167,-2.309,12.828,-5.841,-27.079,-38.519,1764374400000
crypto-org,0.072459,5.1847766,26855413,0.01,11518433872,98190168001,120158540,100,186,286,41150533,1.5322993915602787,1.5322993915602787,14423,645024,crypto-com-chain,0.111399,4158194875,37,10939335330,15885540,0.114059,0.111341,-0.00039719,-0.355,-11894714,-0.285,37323444240,98190124440,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.49,-0.355,6.942,-8.506,-26.328,-38.721,1764288000000
crypto-org,0.072489,5.2216163,26838757,0.01,11513425381,98187576812,119769885,100,186,286,41146724,1.5331084073677481,1.5331084073677481,14557,645008,crypto-com-chain,0.11184,4170089589,38,10971099614,22061916,0.11199,0.10814,0.00151121,1.37,50208062,1.219,37320853053,98187529986,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.209,1.37,3.869,-10.231,-25.583,-34.516,1764201600000
crypto-org,0.072522,5.2564963,26822259,0.01,11507833331,98185010116,119384997,100,186,286,41142898,1.5339087583935418,1.5339087583935418,14473,645008,crypto-com-chain,0.110345,4118928362,38,10836963278,26127043,0.111388,0.106969,0.00052342,0.477,19593313,0.478,37318286981,98184981647,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.496,0.477,0.464,-11.737,-27.013,-38.875,1764115200000
crypto-org,0.072584,5.2584706,26805822,0.01,11497781934,98182453286,119001450,100,186,286,41138964,1.5347025731947337,1.5347025731947337,14473,645008,crypto-com-chain,0.109841,4099335048,38,10785858166,31694252,0.111553,0.104978,0.0034594,3.252,130594782,3.291,37315774643,98182424197,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.001,3.252,5.479,-18.562,-27.771,-42.231,1764028800000
crypto-org,0.072609,5.2569557,26789390,0.01,11493531066,98179896991,118618029,100,186,286,41135717,1.53552272000221,1.53552272000221,14598,644907,crypto-com-chain,0.106226,3968740267,39,10442690753,47084283,0.112152,0.100065,0.00616066,6.157,235662146,6.313,37313218037,98179868368,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-1.569,6.157,-2.352,-16.697,-28.261,-47.508,1763942400000
crypto-org,0.072686,5.2577156,26772953,0.01,11481047357,98177340295,118234548,100,186,286,41131797,1.536319023157438,1.536319023157438,14368,644790,crypto-com-chain,0.100055,3733078120,43,9823024200,20049693,0.100723,0.097108,0.00092522,0.933,37824518,1.024,37310661652,98177300473,100000000000,0.965407,1637769234855,0.0121196,1549584000000,0.177,0.933,-12.169,-20.169,-29.767,-47.708,1763856000000
crypto-org,0.072796,5.2568458,26756521,0.01,11463277948,98174784443,117851100,100,186,286,41128581,1.5371423287803374,1.5371423287803374,14398,644790,crypto-com-chain,0.099025,3695253602,42,9723908571,43459660,0.103346,0.092981,-0.00377507,-3.672,-139769188,-3.645,37308105801,98174753022,100000000000,0.965407,1637769234855,0.0121196,1549584000000,2.553,-3.672,-14.511,-24.525,-28.222,-47.671,1763769600000
crypto-org,0.07287,5.258229,26740088,0.01,11451338192,98172228191,117467709,100,186,286,41125228,1.5379615803807378,1.5379615803807378,14653,644790,crypto-com-chain,0.102497,3835022790,41,10092144031,35966565,0.110551,0.10107,-0.00669534,-6.132,-229816278,-5.654,37305505064,98172175462,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-1.75,-6.132,-15.818,-16.02,-30.064,-42.566,1763683200000
crypto-org,0.072907,5.25725,26723657,0.01,11445328506,98169672317,117084305,100,186,286,41121909,1.5387829966534894,1.5387829966534894,14702,644790,crypto-com-chain,0.10901,4064839067,40,10697365777,40369545,0.114507,0.103395,-0.00502671,-4.408,-176341143,-4.158,37302993520,98169634676,100000000000,0.965407,1637769234855,0.0121196,1549584000000,1.379,-4.408,-12.503,-13.132,-27.555,-35.096,1763596800000
crypto-org,0.073031,5.2566979,26707223,0.01,11425513735,98167116198,116700887,100,185,285,41118384,1.5395978833141881,1.5395978833141881,14719,644790,crypto-com-chain,0.113889,4241180210,40,11161928071,42457160,0.113664,0.101314,0.01022446,9.863,369915915,9.555,37300393074,98167086491,100000000000,0.965407,1637769234855,0.0121196,1549584000000,1.698,9.863,-9.894,-1.836,-23.103,-33.776,1763510400000
crypto-org,0.073109,5.255552,26690787,0.01,11413135056,98164559835,116317433,100,185,285,41114913,1.5404159120523497,1.5404159120523497,14738,644722,crypto-com-chain,0.103796,3871264295,42,10188805247,38073420,0.11241,0.103062,-0.00606365,-5.519,-224037900,-5.471,37297881505,98164532773,100000000000,0.965407,1637769234855,0.0121196,1549584000000,-0.261,-5.519,-21.834,-19.743,-28.05,-32.511,1763424000000
crypto-org,0.073154,5.2535739999999995,26674348,0.01,11405758344,98162003228,115933942,100,185,285,41111792,1.541248243443476,1.541248243443476,14866,644714,crypto-com-chain,0.10986,4095302194,40,10778909114,25376287,0.116345,0.107581,-0.00527928,-4.585,-63913133,-1.537,37295324431,98161965434,100000000000,0.965407,1637769234855,0.0121196,1549584000000,1.868,-4.585,-13.967,-23.829,-23.205,-32.812,1763337600000
