id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
32,Cronos POS Chain Slashing Parameters Update,/cosmos.slashing.v1beta1.MsgUpdateParams,PASSED,1763016409000,1763017171000,1764226771000,undefined,26613238,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,4838409089.351579,987.44956892,0,141108.07285219
31,Cronos V6 network upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1752208484000,1752209405000,1753419005000,undefined,24553807,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,4649733297.053708,4380.50008461,2500.1212806,10201764.30718038
30,The Fourth Community Burn of 50 Million of CRO on Cronos POS Chain,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1742189433000,1742190875000,1743400475000,undefined,22634600,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,476872854.7072923,17321.18131803,65.84746449,3653742781.6675014
29,Cronos New Golden Age to Onboard Billions and Invest in the US  Cronos POS V5 upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1740962818000,1740962976000,1742172576000,undefined,22399067,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,4612887499.799244,1306267987.4303253,8128853.01119479,1491565221.6297014
28,The Third Community Burn of 50 Million of CRO on Cronos POS Chain,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1731993397000,1731998730000,1733208330000,undefined,20688569,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,8357230439.308702,23306.5191666,8068.93543849,454291028.540816
27,Proposal for Building a Comprehensive OpenSource InfoHub for CronosPOS,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1722440832000,1722440832000,1723650432000,undefined,18853288,cro1mywshf8z8jh9erk6rlcq334epyuhteum5l39ny,928696.83284829,768380750.520381,65889.82342777,523536986.27711445
26,The Second Community Burn of 50 Million of CRO on Cronos POS Chain,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1718688740000,1718695861000,1719905461000,undefined,18131495,cro1wr5s5a89m45qgc5v674j84rtfe2zhxx8tr4mry,9308831591.660187,23449.31459543,12.08965943,84696.37446089
25,Namada x Cosmos airdrop,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1712748555000,1712748555000,1713958155000,undefined,16981574,cro1r6yhawme8rcmqg2m8mvjjlkp3rxkm46qvyvv7p,161261.77596233,20842.90521213,1144123072.6983416,22766.42502492
23,New Cronos Version ,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1711592477000,1711592477000,1712802077000,undefined,16756740,cro12da5yvjzttfqmzjh78zk5we2l2fteehpy9c5md,767777.84592398,1978091.78439372,1086260147.6242807,347582.71071678
22,Cronos POS update ,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1711125591000,1711125591000,1712335191000,undefined,16666019,cro12da5yvjzttfqmzjh78zk5we2l2fteehpy9c5md,660381.52015583,857636.06775086,1112997334.1199129,161721.88259556
