address,moniker,commission,rank,token,votingPower,timestamp
crocncl170uzv8z6dwepxk5h5aa7v96ypsu59ugj5qyc3v,Electron,0.1,1,1523362251,0.131143,1765152000000
crocncl1g5rjj3dsdxnmxz4ydvhxem6hddqs2hgwhr6jd4,Antares,0.1,2,1005890759,0.086595,1765152000000
crocncl1lf8jhfrtzeq7n9mc4w6rhlj6evmej2vx5ywwhl,Galactic Guardians,0.1,3,812602119,0.069955,1765152000000
crocncl1m0zg0uhhxx8kpccg5zwgpkvkuqygkfae8wa6sj,Eternals,0.1,4,811142596,0.069829,1765152000000
crocncl1ys53ehzjjej7r8xzh44emukhwrpdtlhkg4vqnl,Guru Node,0.1,5,810672539,0.069789,1765152000000
crocncl10zdmnqh325jtgz9llwufuqpek5fk7skz5hzdsp,The Gatekeeper,0.1,6,810539541,0.069777,1765152000000
crocncl1r0xkzjpunmgwew0hpww3g6nds0mhwnljk03lwk,Epsilon,0.1,7,809427919,0.069682,1765152000000
crocncl12nwukvndxa8hg33zqfm5fw29qd2eu7d0x9ks7r,Minotaur IV,0.1,8,750422476,0.064602,1765152000000
crocncl1dy83stnfqnyv0t20zn0g9k6hlqr48w0fkjjgzw,New Shepard,0.1,9,733634514,0.063157,1765152000000
crocncl139nl5fnhlxu2asduu5zqq8zzev0632jlf3lgam,Falcon Heavy,0.1,10,536450708,0.046182,1765152000000
crocncl1ax8vwqly42dxu9l5ucfqg6ex9krpzy5y2zylmv,Starship,0.1,11,514364297,0.04428,1765152000000
crocncl1deag0fjzaldrsp353qwfar7amagr52ttpp5e6u,Canary Capital,0.1,12,498518296,0.042916,1765152000000
crocncl1td4trxpsa3992sqh70erxyeuyjdxdce2kmuzrt,Venofinance,0.1,13,324845801,0.027965,1765152000000
crocncl1eq8z0hxuyt2rggqrcp8w0nwj4jru078d4sr32t,Figment,0.1,14,302866301,0.026073,1765152000000
crocncl1839a7zsrucn4mdrnpwzn4547gmtm3ywmllhjcf,P2PORG ,0.05,15,252975893,0.021778,1765152000000
crocncl1s7cu28403gzdvy5tttyskm3zxjejxcv6j5ngp9,Jerrys Pool,0.05,16,150491700,0.012955,1765152000000
crocncl1x4vf2wc0zqujna8jedzld22eemg9n3ljpljrre,Delta III,0.2,17,123280916,0.010613,1765152000000
crocncl1qfyacv6ypqgz8rfh6pu736fg8w5p78f8jjklf6,Apollo,0.2,18,121824711,0.010488,1765152000000
crocncl1cjh9ltwrtsmhhn3y46yd4v93vepemx4h2896p8,Phaenon,0.1,19,103598450,0.008919,1765152000000
crocncl1u5ryf5jwc2jhd9xyvmasfqzacxp03v8dcj8xry,Allnodes,0.05,20,101490414,0.008737,1765152000000
crocncl10efzj4xg28qrtsp9kcumk9xk0ddylu3q87j967,Athena,0.2,21,95304980,0.008205,1765152000000
crocncl1xkavscemvn45mva83q0zhpv0lgpnwzfs57j5yc, Finland,0.05,22,85835697,0.007389,1765152000000
crocncl1h6350mf68lg52ll44t7whcnffhf3qcycxrqfu7,Atlas I,0.2,23,76584121,0.006593,1765152000000
crocncl1yr3pm394j5yz3zsz5gjc28eqhvnre9389seafz, Cryptobzh,0.05,24,33514108,0.002885,1765152000000
crocncl18nc2zx5rs7jwm7dwk5gvelul2wer8zfykfmg8h,Stakin,0.05,25,33270504,0.002864,1765152000000
crocncl1s3hd63shz3q3vca8ajptewv3zt7jg6ed9kk2zr,Smart Stake ,0.05,26,32123308,0.002765,1765152000000
crocncl17xjefmgzd9k2k065289nktklj706zhk4nr7495,Crypto Lion ,0.05,27,31900230,0.002746,1765152000000
crocncl1up72gll847cqf5wrdedp66pklvpmqxcctr63nh,nebkasro,0.075,28,25136952,0.002164,1765152000000
crocncl13sspaluakmld27em3duhmkzxy8g6frrfl89gnq,IcyCRO ,0.05,29,21826100,0.001879,1765152000000
crocncl10fj9jc7x7l3yepfqt2uk6us4ypyyf0g07y06u6,SwissCro,0.05,30,20765950,0.001788,1765152000000
crocncl165veeem0d255wsdxmqgp7qck44kxua52qfult3,Onward    ,0.05,31,20215298,0.00174,1765152000000
crocncl1kw6sagm3cnycse85y0dzp3zvwg4p8z5fkg4507, Icy Road ,0.05,32,20107202,0.001731,1765152000000
crocncl12jgsuk53k245ex69l25yaa5zemch9c2d6dugxs,OKX Earn,0.05,33,19343958,0.001665,1765152000000
crocncl15m2ae4c2ajpkz6hw0d4ucvwfyuwq8ns5z369u8,Crosnest,0.1,34,18894060,0.001627,1765152000000
