chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
dydx,0.01941347566926081,0.6363203000000001,66532170,0,233493104,1000000000,0,40,133,173,321797625,4.83672222024323,4.83672222024323,12328,128531,dydx-chain,0.204701,165124029,309,196173572,12793544,0.225966,0.203073,-0.01631686,-7.383,-13021704,-7.31,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-1.01,-7.383,-14.716,-13.059,-39.876,-91.466,1765152000000
dydx,0.015423914299781785,0.6336902,66395604,0,233482833,1000000000,0,40,133,173,321207805,4.837787227600189,4.837787227600189,12411,128495,dydx-chain,0.221154,178145732,296,211643846,5973887,0.224475,0.215763,-0.00071788,-0.324,-852056,-0.476,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,0.017,-0.324,-9.522,-6.506,-22.757,-90.521,1765065600000
dydx,0.01363256112913631,0.6281942,66258995,0,233459336,1000000000,0,40,133,173,320624820,4.838962921185267,4.838962921185267,12826,128386,dydx-chain,0.221874,178977037,290,212631469,7548821,0.23608,0.21614,-0.01154396,-4.946,-9504669,-5.043,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.09,-4.946,-11.089,-6.801,-23.226,-87.99,1764979200000
dydx,0.012028681412461472,0.6284923,66121518,0,231740426,1000000000,0,41,132,173,320025125,4.839954294455248,4.839954294455248,12826,128386,dydx-chain,0.233447,188481705,283,223923373,7318074,0.241302,0.230487,-0.00785455,-3.255,-6181298,-3.175,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.605,-3.255,-9.426,-12.705,-14.152,-87.708,1764892800000
dydx,0.01881322111621516,0.6255861,65983890,0,231754613,1000000000,0,41,132,173,319415321,4.840807672903189,4.840807672903189,13233,128310,dydx-chain,0.241274,194663003,281,231266987,9348794,0.24275,0.227522,0.01155659,5.031,9362163,5.052,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.154,5.031,-6.502,-12.434,-8.981,-86.576,1764806400000
dydx,0.033789979919690544,0.6218326,65847372,0,235359917,1000000000,0,41,131,172,318802029,4.841530030993492,4.841530030993492,13478,128187,dydx-chain,0.229596,185300840,287,220144385,10728069,0.236078,0.214528,0.00973513,4.428,7681820,4.325,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.892,4.428,-11.989,-19.598,-27.071,-86.933,1764720000000
dydx,0.024201173765365756,0.6280765,65709869,0,235600673,1000000000,0,41,131,172,318187860,4.842314630090041,4.842314630090041,13767,128132,dydx-chain,0.219907,177619020,290,211018093,14199553,0.237059,0.210654,-0.01715157,-7.235,-13715028,-7.168,806660215,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.792,-7.235,-12.959,-19.109,-29.627,-87.042,1764633600000
dydx,0.023387147737126038,0.6358304,65575342,0,236375851,1000000000,0,42,130,172,317578186,4.8429512727512725,4.8429512727512725,14065,128053,dydx-chain,0.23659,191334048,280,227312124,5638309,0.245258,0.236563,-0.00844777,-3.448,-6305123,-3.19,806660000,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,-0.897,-3.448,0.485,-15.122,-19.929,-86.37,1764547200000
dydx,0.030426660986411686,0.6379551,65439542,0,236335160,1000000000,0,42,130,172,316983013,4.84390634946681,4.84390634946681,14235,128017,dydx-chain,0.245132,197639171,280,234802849,4998693,0.252242,0.242823,-0.0051578,-2.061,-4163052,-2.063,806660000,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,0.394,-2.061,3.63,-17.593,-18.053,-85.126,1764460800000
dydx,0.03982408427950664,0.6165171,65301890,0,238365157,1000000000,0,42,130,172,316385512,4.8449671517930035,4.8449671517930035,14371,127823,dydx-chain,0.250254,201930920,279,239901610,9019319,0.26086,0.248032,-0.00528744,-2.069,-4131610,-2.005,806660000,958342751,1000000000,4.52,1709849951131,0.126201,1760131685062,0.184,-2.069,9.45,-16.016,-26.862,-84.406,1764374400000
