id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
324,Surge Season 8 Incentive Distribution Proposal,/dydxprotocol.sending.MsgSendFromModuleToAccount,PASSED,1764949150000,1764949150000,1765121950000,undefined,66211399,dydx1w4rrjxepja8ht0k987axsdddjt0wkgjkz6tads,89474017.9186669,735,0,11067002.31211289
323,dYdX Chain Software Upgrade v95,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1764923286000,1764923286000,1765096086000,undefined,66170012,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,129269295.75326152,0,0,4395383.080146025
322,Add order router rev share for Foxify,/dydxprotocol.revshare.MsgSetOrderRouterRevShare,PASSED,1764898121000,1764898121000,1765070921000,undefined,66130137,dydx1e0r3fljewfvj7729q6f07m8fy9v5e208425aac,113873927.65056542,0,0,33781025.61457954
321,Liquidation Rebate Pilot Program,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1764221251000,1764221251000,1764394051000,undefined,65056926,dydx1e0r3fljewfvj7729q6f07m8fy9v5e208425aac,115358495.68488862,3803285.3893417493,604,29990502.98070396
320,Fee Holiday for BTC  SOL markets  December 2025,/dydxprotocol.feetiers.MsgSetMarketFeeDiscountParams,PASSED,1764163935000,1764163935000,1764336735000,undefined,64966807,dydx1v7jm4dhukgtpur45slj4al60expg2t787yhk3n,117774950.93698251,0,604,22975585.5234563
319,Set liquiditytier to 2 for FARTCOINRAYDIUM9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMPUSD,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1763564676000,1763564676000,1763737476000,undefined,64031093,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,100983212.15686324,0,0,8974811.10576543
318,Set defaultFundingRate1H to 0 for FARTCOINRAYDIUM9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMPUSD and ZORAUSD markets,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1763360718000,1763360718000,1763533518000,undefined,63705275,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,103681944.03961577,100,0,20638145.844874613
317,Set defaultFundingRate1H to 0 for TAOUSD TRUMPUSD USUALUSD WLFIUSD XMRUSD XPLUSD ZECUSD and ZENUSD markets,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1763360395000,1763360395000,1763533195000,undefined,63704755,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,99687946.26670873,0,0,20638941.644874614
316,Set defaultFundingRate1H to 0 for PAXGUSD PENGUUSD POLUSD POPCATUSD PUMPUSD SPXUSD SUSD and SYRUPUSD markets,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1763137978000,1763137978000,1763310778000,undefined,63351345,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,97736546.21234585,200.2,0.3,4850158.413417722
315,Set defaultFundingRate1H to 0 for EIGENUSD ENAUSD HYPEUSD KAITOUSD MNTUSD MORPHOUSD MOVEUSD and ONDOUSD markets,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1763137914000,1763137914000,1763310714000,undefined,63351244,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,93743621.17651837,0,0.3,4850116.915743443
314,Set defaultFundingRate1H to 0 for 2ZUSD ASTERUSD ATHUSD AVNTUSD BEAMUSD BERAUSD CROUSD and DRIFTUSD markets,/dydxprotocol.perpetuals.MsgUpdatePerpetualParams,PASSED,1762949256000,1762949256000,1763122056000,undefined,63054372,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,135603296.82976654,598390,0,8577826.383866945
313,Adjust Protocol Revenue Sharing,/dydxprotocol.revshare.MsgUpdateUnconditionalRevShareConfig,PASSED,1762863600000,1762863600000,1763036400000,undefined,62918582,dydx1v7jm4dhukgtpur45slj4al60expg2t787yhk3n,89418617.2774485,21611037.834986944,2498.036,39548477.78042783
312,Upgrade FARTCOINUSD market from ISOLATED to CROSS andor change liquidity tier,/dydxprotocol.listing.MsgUpgradeIsolatedPerpetualToCross,PASSED,1762859489000,1762859489000,1763032289000,undefined,62912096,dydx1t5pnzupnftmslmnnqlr88ky6x0l809d5cjpne2,87326820.93537925,20573736.765944242,0,37314392.43108002
311,Add order router rev share for CCXT,/dydxprotocol.revshare.MsgSetOrderRouterRevShare,PASSED,1762767703000,1762767703000,1763113303000,undefined,62763027,dydx1e0r3fljewfvj7729q6f07m8fy9v5e208425aac,131298408.95651469,0,0,14496905.502623146
