source,target,messages,txs,channel,timestamp,volume,type
gravity-bridge,osmosis,10,10,transfer/channel-10,1764892800000,6.559942189990346,ack
gravity-bridge,cosmos,2,2,transfer/channel-17,1764892800000,356.115216,ack
gravity-bridge,nyx,3,3,transfer/channel-18,1764892800000,50.233053,ack
gravity-bridge,persistence,1,1,transfer/channel-24,1764892800000,0.000295748381159235,ack
gravity-bridge,iris,0,0,transfer/channel-47,1764892800000,0,ack
gravity-bridge,crescent,0,0,transfer/channel-62,1764892800000,0,ack
gravity-bridge,evmos,0,0,transfer/channel-65,1764892800000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-7,1764892800000,0,ack
gravity-bridge,secret,0,0,transfer/channel-79,1764892800000,0,ack
gravity-bridge,canto,1,1,transfer/channel-88,1764892800000,202.17807904958838,ack
gravity-bridge,bitcanna,0,0,transfer/channel-0,1764892800000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-1,1764892800000,0,ack
gravity-bridge,haqq_11235-1,0,0,transfer/channel-100,1764892800000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-101,1764892800000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-103,1764892800000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-102,1764892800000,0,ack
gravity-bridge,terra,0,0,transfer/channel-104,1764892800000,0,ack
gravity-bridge,acre_9052-1,0,0,transfer/channel-106,1764892800000,0,ack
gravity-bridge,kujira,1,1,transfer/channel-107,1764892800000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-108,1764892800000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-109,1764892800000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-11,1764892800000,0,ack
gravity-bridge,ixo-4,0,0,transfer/channel-111,1764892800000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-110,1764892800000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-112,1764892800000,0,ack
gravity-bridge,injective,0,0,transfer/channel-113,1764892800000,0,ack
gravity-bridge,persistence,0,0,transfer/channel-114,1764892800000,0,ack
gravity-bridge,persistence,0,0,transfer/channel-115,1764892800000,0,ack
gravity-bridge,shentu,0,0,transfer/channel-12,1764892800000,0,ack
gravity-bridge,nyx,0,0,transfer/channel-123,1764892800000,0,ack
gravity-bridge,eightball-1,0,0,transfer/channel-124,1764892800000,0,ack
gravity-bridge,axelar,0,0,transfer/channel-126,1764892800000,0,ack
gravity-bridge,arkh,0,0,transfer/channel-125,1764892800000,0,ack
gravity-bridge,regen,0,0,transfer/channel-128,1764892800000,0,ack
gravity-bridge,sommelier,0,0,transfer/channel-129,1764892800000,0,ack
gravity-bridge,nym,0,0,transfer/channel-13,1764892800000,0,ack
gravity-bridge,terra,0,0,transfer/channel-130,1764892800000,0,ack
gravity-bridge,mars-protocol,0,0,transfer/channel-132,1764892800000,0,ack
gravity-bridge,jackal-1,0,0,transfer/channel-127,1764892800000,0,ack
gravity-bridge,teritori,0,0,transfer/channel-136,1764892800000,0,ack
gravity-bridge,stride,0,0,transfer/channel-138,1764892800000,0,ack
gravity-bridge,odin-mainnet-freya,0,0,transfer/channel-134,1764892800000,0,ack
gravity-bridge,juno,0,0,transfer/channel-14,1764892800000,0,ack
gravity-bridge,regen,0,0,transfer/channel-139,1764892800000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-137,1764892800000,0,ack
gravity-bridge,althea_417834-3,0,0,transfer/channel-141,1764892800000,0,ack
gravity-bridge,coreum,0,0,transfer/channel-142,1764892800000,0,ack
gravity-bridge,quicksilver,0,0,transfer/channel-143,1764892800000,0,ack
gravity-bridge,archway,1,1,transfer/channel-145,1764892800000,1.592722,ack
gravity-bridge,terra,0,0,transfer/channel-144,1764892800000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-15,1764892800000,0,ack
gravity-bridge,shentu,0,0,transfer/channel-16,1764892800000,0,ack
gravity-bridge,colosseum-1,0,0,transfer/channel-19,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-22,1764892800000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-21,1764892800000,0,ack
gravity-bridge,flixnet-4,0,0,transfer/channel-23,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-25,1764892800000,0,ack
gravity-bridge,impacthub-3,0,0,transfer/channel-26,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-28,1764892800000,0,ack
gravity-bridge,impacthub-3,0,0,transfer/channel-27,1764892800000,0,ack
gravity-bridge,fetchhub-3,0,0,transfer/channel-29,1764892800000,0,ack
gravity-bridge,fetchhub-3,0,0,transfer/channel-30,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-31,1764892800000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-33,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-32,1764892800000,0,ack
gravity-bridge,chihuahua,0,0,transfer/channel-34,1764892800000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-35,1764892800000,0,ack
gravity-bridge,umee,0,0,transfer/channel-36,1764892800000,0,ack
gravity-bridge,ki-chain,0,0,transfer/channel-37,1764892800000,0,ack
gravity-bridge,pylons-testnet-2,0,0,transfer/channel-4,1764892800000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-41,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,1,1,transfer/channel-43,1764892800000,0.728257257,ack
gravity-bridge,evmos_9001-1,0,0,transfer/channel-46,1764892800000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-45,1764892800000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-48,1764892800000,0,ack
gravity-bridge,iris,0,0,transfer/channel-49,1764892800000,0,ack
gravity-bridge,uni-1,0,0,transfer/channel-5,1764892800000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-51,1764892800000,0,ack
gravity-bridge,iris,0,0,transfer/channel-50,1764892800000,0,ack
gravity-bridge,rizon,0,0,transfer/channel-53,1764892800000,0,ack
gravity-bridge,lum,0,0,transfer/channel-55,1764892800000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-56,1764892800000,0,ack
gravity-bridge,konstellation,0,0,transfer/channel-57,1764892800000,0,ack
gravity-bridge,mainnet-3,0,0,transfer/channel-58,1764892800000,0,ack
gravity-bridge,sifchain,0,0,transfer/channel-54,1764892800000,0,ack
gravity-bridge,nym,0,0,transfer/channel-6,1764892800000,0,ack
gravity-bridge,nyx,0,0,transfer/channel-60,1764892800000,0,ack
gravity-bridge,fetchai,0,0,transfer/channel-61,1764892800000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-63,1764892800000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-64,1764892800000,0,ack
gravity-bridge,sifchain,0,0,transfer/channel-66,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-67,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-68,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-69,1764892800000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-70,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-72,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-73,1764892800000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-74,1764892800000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-76,1764892800000,0,ack
gravity-bridge,terra,0,0,transfer/channel-77,1764892800000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-78,1764892800000,0,ack
gravity-bridge,juno,0,0,transfer/channel-8,1764892800000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-81,1764892800000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-82,1764892800000,0,ack
gravity-bridge,kujira,0,0,transfer/channel-83,1764892800000,0,ack
gravity-bridge,canto_7744-1,0,0,transfer/channel-84,1764892800000,0,ack
gravity-bridge,canto_7744-1,0,0,transfer/channel-85,1764892800000,0,ack
gravity-bridge,mainnet-3,0,0,transfer/channel-59,1764892800000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-80,1764892800000,0,ack
gravity-bridge,atlantic-1,0,0,transfer/channel-86,1764892800000,0,ack
gravity-bridge,meme-1,0,0,transfer/channel-87,1764892800000,0,ack
gravity-bridge,regen,0,0,transfer/channel-89,1764892800000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-9,1764892800000,0,ack
gravity-bridge,haqq_121799-1,0,0,transfer/channel-90,1764892800000,0,ack
gravity-bridge,agoric,0,0,transfer/channel-91,1764892800000,0,ack
gravity-bridge,haqq_53211-1,0,0,transfer/channel-93,1764892800000,0,ack
gravity-bridge,haqq_54211-3,0,0,transfer/channel-94,1764892800000,0,ack
gravity-bridge,iris,0,0,transfer/channel-95,1764892800000,0,ack
gravity-bridge,FUND-MainNet-2,0,0,transfer/channel-99,1764892800000,0,ack
gravity-bridge,FUND-MainNet-2,4,4,transfer/channel-98,1764892800000,0.04488344,ack
gravity-bridge,archway,0,0,transfer/channel-146,1764892800000,0,ack
gravity-bridge,qwoyn-1,0,0,transfer/channel-147,1764892800000,0,ack
gravity-bridge,Neutaro-1,0,0,transfer/channel-148,1764892800000,0,ack
gravity-bridge,meme-1,0,0,transfer/channel-149,1764892800000,0,ack
gravity-bridge,secret,0,0,transfer/channel-150,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-154,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-155,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-158,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-159,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-162,1764892800000,0,ack
gravity-bridge,heim,0,0,transfer/channel-164,1764892800000,0,ack
gravity-bridge,mieh,0,0,transfer/channel-165,1764892800000,0,ack
gravity-bridge,mieh,0,0,transfer/channel-166,1764892800000,0,ack
gravity-bridge,xxxx,0,0,transfer/channel-167,1764892800000,0,ack
gravity-bridge,althea,0,0,transfer/channel-168,1764892800000,0,ack
gravity-bridge,space-pussy,0,0,transfer/channel-169,1764892800000,0,ack
gravity-bridge,space-pussy,0,0,transfer/channel-170,1764892800000,0,ack
gravity-bridge,ixo,0,0,transfer/channel-171,1764892800000,0,ack
gravity-bridge,ixo,0,0,transfer/channel-172,1764892800000,0,ack
gravity-bridge,althea,0,0,transfer/channel-173,1764892800000,0,ack
gravity-bridge,xardev,0,0,transfer/channel-174,1764892800000,0,ack
gravity-bridge,osmosis,2,2,transfer/channel-10,1764892800000,0.038065,receive
gravity-bridge,cosmos,0,0,transfer/channel-17,1764892800000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-24,1764892800000,0,receive
gravity-bridge,stargaze,0,0,transfer/channel-7,1764892800000,0,receive
gravity-bridge,secret,0,0,transfer/channel-79,1764892800000,0,receive
gravity-bridge,terra,231,223,transfer/channel-104,1764892800000,14957.99278996,receive
gravity-bridge,stargaze,0,0,transfer/channel-11,1764892800000,0,receive
gravity-bridge,injective,0,0,transfer/channel-113,1764892800000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-114,1764892800000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-115,1764892800000,0,receive
gravity-bridge,shentu,0,0,transfer/channel-12,1764892800000,0,receive
gravity-bridge,axelar,0,0,transfer/channel-126,1764892800000,0,receive
gravity-bridge,regen,0,0,transfer/channel-128,1764892800000,0,receive
gravity-bridge,terra,0,0,transfer/channel-130,1764892800000,0,receive
gravity-bridge,stride,0,0,transfer/channel-138,1764892800000,0,receive
gravity-bridge,regen,0,0,transfer/channel-139,1764892800000,0,receive
gravity-bridge,coreum,0,0,transfer/channel-142,1764892800000,0,receive
gravity-bridge,archway,0,0,transfer/channel-145,1764892800000,0,receive
gravity-bridge,terra,0,0,transfer/channel-144,1764892800000,0,receive
gravity-bridge,shentu,0,0,transfer/channel-16,1764892800000,0,receive
gravity-bridge,chihuahua,0,0,transfer/channel-34,1764892800000,0,receive
gravity-bridge,fetchai,0,0,transfer/channel-61,1764892800000,0,receive
gravity-bridge,stargaze,0,0,transfer/channel-70,1764892800000,0,receive
gravity-bridge,stargaze,0,0,transfer/channel-74,1764892800000,0,receive
gravity-bridge,terra,0,0,transfer/channel-77,1764892800000,0,receive
gravity-bridge,regen,0,0,transfer/channel-89,1764892800000,0,receive
gravity-bridge,stargaze,0,0,transfer/channel-9,1764892800000,0,receive
gravity-bridge,agoric,0,0,transfer/channel-91,1764892800000,0,receive
gravity-bridge,archway,0,0,transfer/channel-146,1764892800000,0,receive
gravity-bridge,althea,0,0,transfer/channel-168,1764892800000,0,receive
gravity-bridge,althea,0,0,transfer/channel-173,1764892800000,0,receive
gravity-bridge,osmosis,9,9,transfer/channel-10,1764806400000,478.7605478140381,ack
gravity-bridge,cosmos,0,0,transfer/channel-17,1764806400000,0,ack
gravity-bridge,nyx,1,1,transfer/channel-18,1764806400000,30.377371,ack
gravity-bridge,persistence,0,0,transfer/channel-24,1764806400000,0,ack
gravity-bridge,iris,0,0,transfer/channel-47,1764806400000,0,ack
gravity-bridge,crescent,0,0,transfer/channel-62,1764806400000,0,ack
gravity-bridge,evmos,0,0,transfer/channel-65,1764806400000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-7,1764806400000,0,ack
gravity-bridge,secret,0,0,transfer/channel-79,1764806400000,0,ack
gravity-bridge,canto,1,1,transfer/channel-88,1764806400000,199.977734,ack
gravity-bridge,bitcanna,0,0,transfer/channel-0,1764806400000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-1,1764806400000,0,ack
gravity-bridge,haqq_11235-1,0,0,transfer/channel-100,1764806400000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-101,1764806400000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-103,1764806400000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-102,1764806400000,0,ack
gravity-bridge,terra,0,0,transfer/channel-104,1764806400000,0,ack
gravity-bridge,acre_9052-1,0,0,transfer/channel-106,1764806400000,0,ack
gravity-bridge,kujira,1,1,transfer/channel-107,1764806400000,0.120531,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-108,1764806400000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-109,1764806400000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-11,1764806400000,0,ack
gravity-bridge,ixo-4,0,0,transfer/channel-111,1764806400000,0,ack
gravity-bridge,planq_7070-2,0,0,transfer/channel-110,1764806400000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-112,1764806400000,0,ack
gravity-bridge,injective,0,0,transfer/channel-113,1764806400000,0,ack
gravity-bridge,persistence,0,0,transfer/channel-114,1764806400000,0,ack
gravity-bridge,persistence,0,0,transfer/channel-115,1764806400000,0,ack
gravity-bridge,shentu,0,0,transfer/channel-12,1764806400000,0,ack
gravity-bridge,nyx,0,0,transfer/channel-123,1764806400000,0,ack
gravity-bridge,eightball-1,0,0,transfer/channel-124,1764806400000,0,ack
gravity-bridge,axelar,0,0,transfer/channel-126,1764806400000,0,ack
gravity-bridge,arkh,0,0,transfer/channel-125,1764806400000,0,ack
gravity-bridge,regen,0,0,transfer/channel-128,1764806400000,0,ack
gravity-bridge,sommelier,0,0,transfer/channel-129,1764806400000,0,ack
gravity-bridge,nym,0,0,transfer/channel-13,1764806400000,0,ack
gravity-bridge,terra,0,0,transfer/channel-130,1764806400000,0,ack
gravity-bridge,mars-protocol,0,0,transfer/channel-132,1764806400000,0,ack
gravity-bridge,jackal-1,0,0,transfer/channel-127,1764806400000,0,ack
gravity-bridge,teritori,0,0,transfer/channel-136,1764806400000,0,ack
gravity-bridge,stride,0,0,transfer/channel-138,1764806400000,0,ack
gravity-bridge,odin-mainnet-freya,0,0,transfer/channel-134,1764806400000,0,ack
gravity-bridge,juno,0,0,transfer/channel-14,1764806400000,0,ack
gravity-bridge,regen,0,0,transfer/channel-139,1764806400000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-137,1764806400000,0,ack
gravity-bridge,althea_417834-3,0,0,transfer/channel-141,1764806400000,0,ack
gravity-bridge,coreum,0,0,transfer/channel-142,1764806400000,0,ack
gravity-bridge,quicksilver,0,0,transfer/channel-143,1764806400000,0,ack
gravity-bridge,archway,1,1,transfer/channel-145,1764806400000,8.164416,ack
gravity-bridge,terra,0,0,transfer/channel-144,1764806400000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-15,1764806400000,0,ack
gravity-bridge,shentu,0,0,transfer/channel-16,1764806400000,0,ack
gravity-bridge,colosseum-1,0,0,transfer/channel-19,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-22,1764806400000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-21,1764806400000,0,ack
gravity-bridge,flixnet-4,0,0,transfer/channel-23,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-25,1764806400000,0,ack
gravity-bridge,impacthub-3,0,0,transfer/channel-26,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-28,1764806400000,0,ack
gravity-bridge,impacthub-3,0,0,transfer/channel-27,1764806400000,0,ack
gravity-bridge,fetchhub-3,0,0,transfer/channel-29,1764806400000,0,ack
gravity-bridge,fetchhub-3,0,0,transfer/channel-30,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-31,1764806400000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-33,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-32,1764806400000,0,ack
gravity-bridge,chihuahua,0,0,transfer/channel-34,1764806400000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-35,1764806400000,0,ack
gravity-bridge,umee,0,0,transfer/channel-36,1764806400000,0,ack
gravity-bridge,ki-chain,0,0,transfer/channel-37,1764806400000,0,ack
gravity-bridge,pylons-testnet-2,0,0,transfer/channel-4,1764806400000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-41,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,1,1,transfer/channel-43,1764806400000,811.6176,ack
gravity-bridge,evmos_9001-1,0,0,transfer/channel-46,1764806400000,0,ack
gravity-bridge,comdex,0,0,transfer/channel-45,1764806400000,0,ack
gravity-bridge,columbus-5,0,0,transfer/channel-48,1764806400000,0,ack
gravity-bridge,iris,0,0,transfer/channel-49,1764806400000,0,ack
gravity-bridge,uni-1,0,0,transfer/channel-5,1764806400000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-51,1764806400000,0,ack
gravity-bridge,iris,0,0,transfer/channel-50,1764806400000,0,ack
gravity-bridge,rizon,0,0,transfer/channel-53,1764806400000,0,ack
gravity-bridge,lum,0,0,transfer/channel-55,1764806400000,0,ack
gravity-bridge,nym-sandbox,0,0,transfer/channel-56,1764806400000,0,ack
gravity-bridge,konstellation,0,0,transfer/channel-57,1764806400000,0,ack
gravity-bridge,mainnet-3,0,0,transfer/channel-58,1764806400000,0,ack
gravity-bridge,sifchain,0,0,transfer/channel-54,1764806400000,0,ack
gravity-bridge,nym,0,0,transfer/channel-6,1764806400000,0,ack
gravity-bridge,nyx,0,0,transfer/channel-60,1764806400000,0,ack
gravity-bridge,fetchai,0,0,transfer/channel-61,1764806400000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-63,1764806400000,0,ack
gravity-bridge,omniflix,0,0,transfer/channel-64,1764806400000,0,ack
gravity-bridge,sifchain,0,0,transfer/channel-66,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-67,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-68,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-69,1764806400000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-70,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-72,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-73,1764806400000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-74,1764806400000,0,ack
gravity-bridge,cheqd-mainnet-1,0,0,transfer/channel-76,1764806400000,0,ack
gravity-bridge,terra,0,0,transfer/channel-77,1764806400000,0,ack
gravity-bridge,bostrom,0,0,transfer/channel-78,1764806400000,0,ack
gravity-bridge,juno,0,0,transfer/channel-8,1764806400000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-81,1764806400000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-82,1764806400000,0,ack
gravity-bridge,kujira,0,0,transfer/channel-83,1764806400000,0,ack
gravity-bridge,canto_7744-1,0,0,transfer/channel-84,1764806400000,0,ack
gravity-bridge,canto_7744-1,0,0,transfer/channel-85,1764806400000,0,ack
gravity-bridge,mainnet-3,0,0,transfer/channel-59,1764806400000,0,ack
gravity-bridge,asset-mantle,0,0,transfer/channel-80,1764806400000,0,ack
gravity-bridge,atlantic-1,0,0,transfer/channel-86,1764806400000,0,ack
gravity-bridge,meme-1,0,0,transfer/channel-87,1764806400000,0,ack
gravity-bridge,regen,0,0,transfer/channel-89,1764806400000,0,ack
gravity-bridge,stargaze,0,0,transfer/channel-9,1764806400000,0,ack
gravity-bridge,haqq_121799-1,0,0,transfer/channel-90,1764806400000,0,ack
gravity-bridge,agoric,0,0,transfer/channel-91,1764806400000,0,ack
gravity-bridge,haqq_53211-1,0,0,transfer/channel-93,1764806400000,0,ack
gravity-bridge,haqq_54211-3,0,0,transfer/channel-94,1764806400000,0,ack
gravity-bridge,iris,0,0,transfer/channel-95,1764806400000,0,ack
gravity-bridge,FUND-MainNet-2,0,0,transfer/channel-99,1764806400000,0,ack
gravity-bridge,FUND-MainNet-2,4,4,transfer/channel-98,1764806400000,0.04488344,ack
gravity-bridge,archway,0,0,transfer/channel-146,1764806400000,0,ack
gravity-bridge,qwoyn-1,0,0,transfer/channel-147,1764806400000,0,ack
gravity-bridge,Neutaro-1,0,0,transfer/channel-148,1764806400000,0,ack
gravity-bridge,meme-1,0,0,transfer/channel-149,1764806400000,0,ack
gravity-bridge,secret,0,0,transfer/channel-150,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-154,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-155,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-158,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-159,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-162,1764806400000,0,ack
gravity-bridge,heim,0,0,transfer/channel-164,1764806400000,0,ack
gravity-bridge,mieh,0,0,transfer/channel-165,1764806400000,0,ack
gravity-bridge,mieh,0,0,transfer/channel-166,1764806400000,0,ack
gravity-bridge,xxxx,0,0,transfer/channel-167,1764806400000,0,ack
gravity-bridge,althea,4,4,transfer/channel-168,1764806400000,0,ack
gravity-bridge,space-pussy,0,0,transfer/channel-169,1764806400000,0,ack
gravity-bridge,space-pussy,0,0,transfer/channel-170,1764806400000,0,ack
gravity-bridge,ixo,0,0,transfer/channel-171,1764806400000,0,ack
gravity-bridge,ixo,0,0,transfer/channel-172,1764806400000,0,ack
gravity-bridge,althea,0,0,transfer/channel-173,1764806400000,0,ack
gravity-bridge,xardev,0,0,transfer/channel-174,1764806400000,0,ack
gravity-bridge,osmosis,8,8,transfer/channel-10,1764806400000,61.00987028,receive
gravity-bridge,cosmos,0,0,transfer/channel-17,1764806400000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-24,1764806400000,0,receive
gravity-bridge,stargaze,0,0,transfer/channel-7,1764806400000,0,receive
gravity-bridge,secret,0,0,transfer/channel-79,1764806400000,0,receive
gravity-bridge,terra,41,41,transfer/channel-104,1764806400000,2256.5012521,receive
gravity-bridge,stargaze,0,0,transfer/channel-11,1764806400000,0,receive
gravity-bridge,injective,0,0,transfer/channel-113,1764806400000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-114,1764806400000,0,receive
gravity-bridge,persistence,0,0,transfer/channel-115,1764806400000,0,receive
gravity-bridge,shentu,0,0,transfer/channel-12,1764806400000,0,receive
gravity-bridge,axelar,0,0,transfer/channel-126,1764806400000,0,receive
gravity-bridge,regen,0,0,transfer/channel-128,1764806400000,0,receive
gravity-bridge,terra,0,0,transfer/channel-130,1764806400000,0,receive
gravity-bridge,stride,0,0,transfer/channel-138,1764806400000,0,receive
gravity-bridge,regen,0,0,transfer/channel-139,1764806400000,0,receive
gravity-bridge,coreum,0,0,transfer/channel-142,1764806400000,0,receive
gravity-bridge,archway,0,0,transfer/channel-145,1764806400000,0,receive
gravity-bridge,terra,0,0,transfer/channel-144,1764806400000,0,receive
gravity-bridge,shentu,0,0,transfer/channel-16,1764806400000,0,receive
