chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
gravity-bridge,0.142825,5.770102199999999,20100877,0.04,758911276,2765089199,671092635,44,214,258,19288424,0.9595812162822548,0.9595812162822548,690,43983,graviton,0.00006978,89712,7114,192975,15.84,0.00007241,0.00006925,-0.00000193,-2.693,-2447,-2.655,1285449812,2765061879,0,0.256012,1649058752898,0.00005991,1764562553807,-1.094,-2.694,-16.648,-47.425,-59.032,-94.166,1765152000000
gravity-bridge,0.145917,5.7757058,20085900,0.04,742759917,2764827046,671087387,44,214,258,19287461,0.9602487814835282,0.9602487814835282,695,43983,graviton,0.00007171,92159,7074,198282,210.26,0.0000729,0.00006795,0.0000031,4.512,4055,4.604,1285052509,2764815372,0,0.256012,1649058752898,0.00005991,1764562553807,-0.94,4.512,-15.741,-45.539,-51.867,-93.98,1765065600000
gravity-bridge,0.142781,5.7652579,20070927,0.04,759006336,2764581138,671082139,44,214,258,19286726,0.9609285111743967,0.9609285111743967,702,43983,graviton,0.00006858,88103,7149,189585,6.95,0.00007146,0.00006788,-0.00000208,-2.945,-2646,-2.915,1284735513,2764552737,0,0.256012,1649058752898,0.00005991,1764562553807,0.093,-2.945,-20.387,-48.128,-54.596,-93.603,1764979200000
gravity-bridge,0.142822,5.7731885,20055946,0.04,758719919,2764334821,671076880,44,214,258,19286011,0.9616106365663329,0.9616106365663329,702,43983,graviton,0.0000706,90739,7161,195301,20.56,0.00007504,0.00007028,-0.00000436,-5.82,-5567,-5.78,1284342190,2764322151,0,0.256012,1649058752898,0.00005991,1764562553807,0.254,-5.82,-20.197,-48.728,-46.365,-93.321,1764892800000
gravity-bridge,0.142769,5.7617066,20040970,0.04,758939857,2764104847,671071642,44,214,258,19284628,0.9622602099598971,0.9622602099598971,716,43976,graviton,0.00007496,96306,7109,207375,121.02,0.00007548,0.00007115,0.00000168,2.29,2255,2.398,1283656277,2764075627,0,0.256012,1649058752898,0.00005991,1764562553807,0.2,2.29,-12.392,-45.76,-59.898,-92.525,1764806400000
gravity-bridge,0.142755,5.7767117,20025967,0.04,758945017,2763857747,671066385,44,214,258,19283580,0.9629287814166477,0.9629287814166477,713,43976,graviton,0.00007322,93943,7114,202304,265.02,0.0000744,0.00006717,0.00000294,4.187,3709,4.111,1283426426,2763844728,0,0.256012,1649058752898,0.00005991,1764562553807,-0.616,4.187,-44.151,-48.997,-64.444,-92.664,1764720000000
gravity-bridge,0.14283,5.7607789,20010994,0.04,758486066,2763628477,671061140,44,214,258,19282140,0.963577321546346,0.963577321546346,718,43972,graviton,0.00007027,90233,7099,194362,555.36,0.00008285,0.00005991,-0.00001258,-15.187,-16012,-15.07,1283005152,2763598211,0,0.256012,1649058752898,0.00005991,1764562553807,0.195,-15.187,-47.627,-51.092,-65.962,-92.898,1764633600000
gravity-bridge,0.136934,5.7662691,19996043,0.04,791074045,2763382908,671055903,45,213,258,19281086,0.9642450758882645,0.9642450758882645,735,43971,graviton,0.00008285,106244,6948,228939,60.57,0.00008679,0.00008269,-0.00000244,-2.861,-3128,-2.86,1282290932,2763137710,0,0.256012,1649058752898,0.00007273,1764171844624,-0.893,-2.861,-37.483,-44.029,-58.738,-91.622,1764547200000
gravity-bridge,0.136903,5.7612769,19981049,0.04,791183023,2763136589,671050653,45,213,258,19280164,0.964922512326555,0.964922512326555,745,43970,graviton,0.00008533,109372,6911,235752,0.573819,0.00008653,0.00008492,-8.4e-7,-0.97,-978,-0.885,1281778824,2762891305,0,0.256012,1649058752898,0.00007273,1764171844624,0.254,-0.97,-35.201,-43.784,-56.655,-90.73,1764460800000
gravity-bridge,0.137118,5.7692091,19966050,0.04,789868584,2762890552,671045398,44,214,258,19279543,0.9656162836414814,0.9656162836414814,748,43970,graviton,0.0000862,110415,6904,238038,48.69,0.00008788,0.00008523,-0.00000159,-1.814,-2076,-1.845,1281460124,2762628560,0,0.256012,1649058752898,0.00007273,1764171844624,0.18,-1.814,-34.801,-43.018,-59.962,-89.633,1764374400000
