timestamp,blockCount,txCount
1765065600000,14976,921
1764979200000,14974,777
1764892800000,14982,714
1764806400000,14975,1384
1764720000000,15003,1048
1764633600000,14973,1440
1764547200000,14950,1054
1764460800000,14996,922
1764374400000,14998,621
1764288000000,14977,1065
1764201600000,14957,532
1764115200000,14947,595
1764028800000,14898,389
1763942400000,14925,603
1763856000000,14926,526
1763769600000,14945,295
1763683200000,14929,793
1763596800000,14943,660
1763510400000,14922,1333
1763424000000,14913,304
1763337600000,14896,579
1763251200000,14891,506
1763164800000,14935,809
1763078400000,14942,674
1762992000000,14927,387
1762905600000,14925,903
1762819200000,14921,1002
1762732800000,14922,1682
1762646400000,14909,999
1762560000000,14893,1050
1762473600000,14908,1069
1762387200000,14907,669
1762300800000,14926,885
1762214400000,14937,2145
1762128000000,14948,2933
1762041600000,14913,2070
1761955200000,14931,1334
1761868800000,14920,1703
1761782400000,14931,1649
1761696000000,14926,1365
1761609600000,14750,1150
1761523200000,14818,1921
1761436800000,14796,903
1761350400000,14880,950
1761264000000,14815,1430
1761177600000,14847,1694
1761091200000,14776,807
1761004800000,14840,1487
1760918400000,14775,1077
1760832000000,14873,1357
1760745600000,14904,752
1760659200000,14911,980
1760572800000,14858,1404
1760486400000,14753,1578
1760400000000,14767,1868
1760313600000,14840,2153
1760227200000,14841,1346
1760140800000,14877,2249
1760054400000,14884,2085
1759968000000,14854,3319
1759881600000,14833,2636
1759795200000,14818,1384
1759708800000,14873,1656
1759622400000,14860,2391
1759536000000,14903,1706
1759449600000,14899,1592
1759363200000,14794,2258
1759276800000,14772,2770
1759190400000,14829,1219
1759104000000,14865,2237
1759017600000,14753,1227
1758931200000,14920,561
1758844800000,14839,1297
1758758400000,14739,1327
1758672000000,14739,1372
1758585600000,14693,1041
1758499200000,14795,1313
1758412800000,14867,1033
1758326400000,14742,1511
1758240000000,14855,1396
1758153600000,14741,1486
1758067200000,14640,1344
1757980800000,14759,1093
1757894400000,14702,819
1757808000000,14832,1851
1757721600000,14879,918
1757635200000,14804,1294
1757548800000,14827,1044
1757462400000,14818,2744
1757376000000,14719,1477
1757289600000,14307,1178
1757203200000,14804,949
1757116800000,14781,777
1757030400000,14805,1234
1756944000000,14779,605
1756857600000,14674,873
1756771200000,14767,1726
1756684800000,14735,1792
1756598400000,14717,1291
1756512000000,14659,1493
1756425600000,14677,1709
1756339200000,14606,2319
1756252800000,14699,1181
1756166400000,14724,2823
1756080000000,14782,2147
1755993600000,14740,1321
1755907200000,14774,1805
1755820800000,14781,967
1755734400000,13506,2197
1755648000000,14760,1274
1755561600000,14793,706
1755475200000,14805,423
1755388800000,14754,800
1755302400000,14700,1021
1755216000000,14704,1053
1755129600000,14735,769
1755043200000,14745,1524
1754956800000,14706,1229
1754870400000,14757,2180
1754784000000,14763,2240
1754697600000,14726,1356
1754611200000,14757,722
1754524800000,14783,1012
1754438400000,14831,841
1754352000000,14842,1040
1754265600000,14828,1675
1754179200000,14813,1149
1754092800000,14799,1131
1754006400000,14670,843
1753920000000,14725,1247
1753833600000,14760,917
1753747200000,14752,1426
1753660800000,14761,947
1753574400000,14770,1837
1753488000000,14679,877
1753401600000,14723,994
1753315200000,14765,1276
1753228800000,14746,1536
1753142400000,14747,1127
1753056000000,14733,1195
1752969600000,14704,1423
1752883200000,14695,1151
1752796800000,14814,1174
1752710400000,14794,911
1752624000000,14827,1002
1752537600000,14826,1458
1752451200000,14793,1430
1752364800000,14787,997
1752278400000,14792,964
1752192000000,14701,645
1752105600000,14780,957
1752019200000,14795,1566
1751932800000,14807,1051
1751846400000,14785,942
1751760000000,14796,1041
1751673600000,14771,975
1751587200000,14774,1166
1751500800000,14764,751
1751414400000,14780,585
1751328000000,14779,1071
1751241600000,14707,1154
1751155200000,14716,1137
1751068800000,14725,1050
1750982400000,14723,947
1750896000000,14718,585
1750809600000,14719,421
1750723200000,14724,730
1750636800000,14669,1322
1750550400000,14639,1566
1750464000000,14630,2260
1750377600000,14654,1551
1750291200000,14713,1259
1750204800000,14713,580
1750118400000,14737,1108
1750032000000,14640,1447
1749945600000,14656,737
1749859200000,14716,1337
1749772800000,14703,918
1749686400000,14611,1230
1749600000000,14573,1163
