id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
250, New Gravity version   ,Text,REJECTED,1757434494000,1757434494000,1757866494000,undefined,18772525,gravity17xj7l4fwa60ysp4aqcluler8xlpzdz5g32lsxw,0,22417.577301,321169417.919322,0
249,Reigniting Gravity Bridge Grant proposal Resubmission,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1756327222000,1756327536000,1756759536000,undefined,18584264,gravity1ffweemjnyhtzd84p6j6jwlecpdlpmka542g5s7,442058113.29774,0,0,45326767.926772
248,Increase Proposal Deposit Requirement,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755712977000,1755712977000,1756144977000,undefined,18480620,gravity1ffweemjnyhtzd84p6j6jwlecpdlpmka542g5s7,500707864.380874,0,0,0
247,Reigniting Gravity Bridge Grant proposal,/cosmos.gov.v1.MsgExecLegacyContent,FAILED,1755712792000,1755713828000,1756145828000,undefined,18480588,gravity1ffweemjnyhtzd84p6j6jwlecpdlpmka542g5s7,415517925.397604,0,0,45340464.809387
246,Integration of Gravity Bridge into Nebula7 for Quick CryptoBacked Loans,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1755644024000,1755644024000,1756076024000,undefined,18468846,gravity1yknxl03nzyfx447mtdg7lgmede7vp5yq3v7guy,639.60023,34390737.725985,330260586.191907,0
245,Aurora Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755300630000,1755300630000,1755732630000,undefined,18410172,gravity1ffweemjnyhtzd84p6j6jwlecpdlpmka542g5s7,754055856.349789,0,5078904.392604,632.108051
244,Update expired Gravitycomdex client ,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1748187468000,1748187468000,1748619468000,undefined,17198587,gravity1j4aaapnjasusd9lv0ccu9a3a8efdaqhpgagzwf,481030777.392283,0,0,243570.601526
243,Update expired Gravitycomdex client,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1746038231000,1746038231000,1746470231000,undefined,0,null,463438489.450398,0,0,0
242,Set up IXO IBC AutoForwarding,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1738607835000,1738612720000,1739044720000,undefined,15575564,gravity15rwc9v3jfvypve8zemdr7y68dydsrh9m3e0xng,452240694.941383,0,0,0
241,Community Pool Spend for Blockscape Leap wallet integration Part 1,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1738539639000,1738539639000,1738971639000,undefined,15563895,gravity1nsjvhygwhsrqsgdfgysyawslf3wc8rnulz5jpn,390387099.549475,6662109.412378,0,70125334.557104
240,Add IXO IBC Metadata to Gravity Bridge,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1738501687000,1738501687000,1738933687000,undefined,0,null,456157620.265923,0,0,1900
