address,moniker,commission,rank,token,votingPower,timestamp
gravityvaloper1khenjystm0hrlg4lp5clzg3vm3n7e27q42n4wg,Ansybl,0.1,1,131168678,0.172838,1765152000000
gravityvaloper18ytfr4s8lfccy048zl00y3akujxqvq75pzczg5,Cosmostation,0.1,2,104462071,0.137647,1765152000000
gravityvaloper1pwxk989lc74wfysdm22mceeahm83e52nv6xg8m,blockscape,0.1,3,38758915,0.051072,1765152000000
gravityvaloper1s098hzt75mw52t7z7xzdwt2wexk529lmsx2qly,blitmore,0.1,4,37640026,0.049597,1765152000000
gravityvaloper187reejg4et24jpggqt55vnc47l926w0p8w70mh,REDELEGATE,0.1,5,34409483,0.04534,1765152000000
gravityvaloper1728s3k0mgzmc38eswpu9seghl0yczupyhc695s,Inactive,0.1,6,33951120,0.044737,1765152000000
gravityvaloper1reeywehc76ndcd3gkzaz3yasdk7nfxc05uwjt5,AGE Network,0.1,7,31986334,0.042148,1765152000000
gravityvaloper1h66zfktpd46c7gurvqwg765uu4m058gpvzp6dz,Figment,0.1,8,31661742,0.04172,1765152000000
gravityvaloper1h4w306x3tm39gas6evu326c9ycxwrvk4drnv5t,0basevc,0.1,9,31523449,0.041538,1765152000000
gravityvaloper1na7n5rvvjmchtxj0pyqx9yzepg70t0mydz2tl0,Weyoun,0.1,10,30165742,0.039749,1765152000000
gravityvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zezczfa,LavenderFive Nodes ,0.1,11,29612406,0.03902,1765152000000
gravityvaloper173dl8x0t290uvnhw5yytlzzvn578n36xpmz7yy,RandomBits,0.1,12,29222530,0.038506,1765152000000
gravityvaloper1nxe9tzg3a3036s934c0vad557qelt8tlz85jx5,ProNodes75,0.1,13,27760748,0.03658,1765152000000
gravityvaloper1rz9365h5wtac4zlefu6pj5w873rzxt39pedw5s,Wetez,0.1,14,26641255,0.035104,1765152000000
gravityvaloper1zfcmwh56kmz4wqqg2t8pxrm228dx2c6hs487gh,SkyNet  Validators,0.1,15,25237064,0.033254,1765152000000
gravityvaloper1a00v3m5sthed82267gvdp2qt9czhjngg2djy8m,Citizen Web3,0.1,16,24630009,0.032454,1765152000000
