source,target,messages,txs,channel,timestamp,volume,type
humans,osmosis,2,2,transfer/channel-4,1764892800000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764892800000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764892800000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764892800000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764892800000,0,ack
humans,osmosis,0,0,transfer/channel-4,1764892800000,0,receive
humans,osmosis,0,0,transfer/channel-0,1764892800000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764892800000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764892800000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764892800000,0,receive
humans,osmosis,2,2,transfer/channel-4,1764806400000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764806400000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764806400000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764806400000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764806400000,0,ack
humans,osmosis,1,1,transfer/channel-4,1764806400000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764806400000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764806400000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764806400000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764806400000,0,receive
humans,osmosis,5,5,transfer/channel-4,1764720000000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764720000000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764720000000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764720000000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764720000000,0,ack
humans,osmosis,8,8,transfer/channel-4,1764720000000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764720000000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764720000000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764720000000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764720000000,0,receive
humans,osmosis,3,3,transfer/channel-4,1764633600000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764633600000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764633600000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764633600000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764633600000,0,ack
humans,osmosis,1,1,transfer/channel-4,1764633600000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764633600000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764633600000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764633600000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764633600000,0,receive
humans,osmosis,10,10,transfer/channel-4,1764547200000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764547200000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764547200000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764547200000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764547200000,0,ack
humans,osmosis,4,4,transfer/channel-4,1764547200000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764547200000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764547200000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764547200000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764547200000,0,receive
humans,osmosis,4,4,transfer/channel-4,1764460800000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764460800000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764460800000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764460800000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764460800000,0,ack
humans,osmosis,3,3,transfer/channel-4,1764460800000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764460800000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764460800000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764460800000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764460800000,0,receive
humans,osmosis,9,9,transfer/channel-4,1764374400000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764374400000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764374400000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764374400000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764374400000,0,ack
humans,osmosis,1,1,transfer/channel-4,1764374400000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764374400000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764374400000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764374400000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764374400000,0,receive
humans,osmosis,5,5,transfer/channel-4,1764288000000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764288000000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764288000000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764288000000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764288000000,0,ack
humans,osmosis,0,0,transfer/channel-4,1764288000000,0,receive
humans,osmosis,0,0,transfer/channel-0,1764288000000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764288000000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764288000000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764288000000,0,receive
humans,osmosis,1,1,transfer/channel-4,1764201600000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764201600000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764201600000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764201600000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764201600000,0,ack
humans,osmosis,4,4,transfer/channel-4,1764201600000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764201600000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764201600000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764201600000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764201600000,0,receive
humans,osmosis,4,4,transfer/channel-4,1764115200000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764115200000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764115200000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764115200000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764115200000,0,ack
humans,osmosis,0,0,transfer/channel-4,1764115200000,0,receive
humans,osmosis,0,0,transfer/channel-0,1764115200000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764115200000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764115200000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764115200000,0,receive
humans,osmosis,4,4,transfer/channel-4,1764028800000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1764028800000,0,ack
humans,fetchai,0,0,transfer/channel-1,1764028800000,0,ack
humans,osmosis,0,0,transfer/channel-3,1764028800000,0,ack
humans,cosmos,0,0,transfer/channel-2,1764028800000,0,ack
humans,osmosis,2,2,transfer/channel-4,1764028800000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1764028800000,0,receive
humans,fetchai,0,0,transfer/channel-1,1764028800000,0,receive
humans,osmosis,0,0,transfer/channel-3,1764028800000,0,receive
humans,cosmos,0,0,transfer/channel-2,1764028800000,0,receive
humans,osmosis,4,4,transfer/channel-4,1763942400000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1763942400000,0,ack
humans,fetchai,0,0,transfer/channel-1,1763942400000,0,ack
humans,osmosis,0,0,transfer/channel-3,1763942400000,0,ack
humans,cosmos,0,0,transfer/channel-2,1763942400000,0,ack
humans,osmosis,3,3,transfer/channel-4,1763942400000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1763942400000,0,receive
humans,fetchai,0,0,transfer/channel-1,1763942400000,0,receive
humans,osmosis,0,0,transfer/channel-3,1763942400000,0,receive
humans,cosmos,0,0,transfer/channel-2,1763942400000,0,receive
humans,osmosis,1,1,transfer/channel-4,1763856000000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1763856000000,0,ack
humans,fetchai,0,0,transfer/channel-1,1763856000000,0,ack
humans,osmosis,0,0,transfer/channel-3,1763856000000,0,ack
humans,cosmos,0,0,transfer/channel-2,1763856000000,0,ack
humans,osmosis,4,4,transfer/channel-4,1763856000000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1763856000000,0,receive
humans,fetchai,0,0,transfer/channel-1,1763856000000,0,receive
humans,osmosis,0,0,transfer/channel-3,1763856000000,0,receive
humans,cosmos,0,0,transfer/channel-2,1763856000000,0,receive
humans,osmosis,4,4,transfer/channel-4,1763769600000,0.01937710561106709,ack
humans,osmosis,0,0,transfer/channel-0,1763769600000,0,ack
humans,fetchai,0,0,transfer/channel-1,1763769600000,0,ack
humans,osmosis,0,0,transfer/channel-3,1763769600000,0,ack
humans,cosmos,0,0,transfer/channel-2,1763769600000,0,ack
humans,osmosis,3,3,transfer/channel-4,1763769600000,0.019304425439416677,receive
humans,osmosis,0,0,transfer/channel-0,1763769600000,0,receive
humans,fetchai,0,0,transfer/channel-1,1763769600000,0,receive
humans,osmosis,0,0,transfer/channel-3,1763769600000,0,receive
humans,cosmos,0,0,transfer/channel-2,1763769600000,0,receive
