chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
humans,0.248254,5.6856092,13839662,0.0756,2112127455,6935771357,0,49,26,75,670361,0.04843767138243694,0.04843767138243694,412,4335,humans-ai,0.00212607,16596746,1216,16596746,365421,0.00214301,0.00208771,0.00002709,1.291,228688,1.397,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00207133,1765017070703,0.238,1.291,-9.296,-7.306,-28.774,-94.643,1765152000000
humans,0.248217,5.6900038,13824468,0.0756,2112059858,6934509195,0,49,26,75,669907,0.0484580672471447,0.0484580672471447,419,4335,humans-ai,0.00209977,16378224,1231,16378224,398562,0.00211291,0.00207133,-0.00000534,-0.254,-40511,-0.247,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00207133,1765017070703,0.009,-0.254,-10.281,-5.832,-11.055,-94.105,1765065600000
humans,0.248179,5.692226,13809285,0.0756,2111995056,6933248176,0,49,26,75,669445,0.04847789005730565,0.04847789005730565,424,4335,humans-ai,0.0021057,16418735,1225,16418735,404685,0.00225889,0.00208041,-0.00014883,-6.601,-1161707,-6.608,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00208041,1764966064538,0.077,-6.601,-9.961,-4.317,-18.552,-93.238,1764979200000
humans,0.248141,5.6898956,13794107,0.0756,2111940327,6931987801,0,49,26,75,668997,0.04849875385191662,0.04849875385191662,424,4335,humans-ai,0.00225388,17580441,1204,17580441,392557,0.00230179,0.00223694,0.00000977,0.435,53415,0.305,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00216392,1764668447579,-0.373,0.435,-5.542,-3.837,-8.907,-92.657,1764892800000
humans,0.248103,5.6891799,13778923,0.0756,2111874165,6930727157,0,49,26,75,668545,0.04851939444033471,0.04851939444033471,400,4335,humans-ai,0.00224705,17518872,1216,17518872,406523,0.00224696,0.00222003,0.00001343,0.601,96576,0.554,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00216392,1764668447579,0.497,0.601,-5.702,-4.577,-18.554,-92.462,1764806400000
humans,0.248066,5.690924,13763737,0.0756,2111809535,6929466494,0,49,26,75,668046,0.04853667285272888,0.04853667285272888,404,4335,humans-ai,0.00223342,17422296,1206,17422296,381788,0.00223779,0.00216392,0.0000496,2.271,396093,2.326,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00216392,1764668447579,0.007,2.271,-4.717,-13.662,-30.914,-91.61,1764720000000
humans,0.248027,5.6901174,13748554,0.0756,2111757328,6928206475,0,49,26,75,667536,0.048553178756107734,0.048553178756107734,413,4335,humans-ai,0.00218216,17026203,1194,17026203,379695,0.00234051,0.00216724,-0.0001583,-6.764,-1233053,-6.753,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00216724,1764623753809,0.011,-6.764,-6.749,-17.763,-36.618,-89.84,1764633600000
humans,0.24799,5.6889811,13733370,0.0756,2111685078,6926946519,0,49,26,75,667017,0.04856906935442648,0.04856906935442648,415,4335,humans-ai,0.00234012,18261478,1182,18261478,406119,0.00238336,0.00233366,-0.00000172,-0.073,-8245,-0.045,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,-0.033,-0.073,2.026,-18.444,-33.569,-87.385,1764547200000
humans,0.247951,5.6874326,13718184,0.0756,2111633550,6925686626,0,49,26,75,666510,0.04858587696447285,0.04858587696447285,415,4335,humans-ai,0.00234184,18269722,1189,18269722,425935,0.00234673,0.00231075,0.00001633,0.702,130761,0.721,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,0.049,0.702,5.468,-18.565,-35.6,-87.578,1764460800000
humans,0.247914,5.6882359,13702995,0.0756,2111566242,6924426714,0,49,26,75,666013,0.04860346223581049,0.04860346223581049,419,4335,humans-ai,0.00232551,18152437,1199,18152437,361191,0.00239437,0.00232706,-0.0000627,-2.625,-473675,-2.543,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,-0.562,-2.625,5.671,-20.39,-39.683,-87.025,1764374400000
humans,0.24788,5.6873766,13687805,0.0756,2111473438,6923167031,0,49,26,75,665512,0.04862079785619389,0.04862079785619389,420,4335,humans-ai,0.0023866,18626111,1187,18626111,360290,0.00243316,0.00237234,-0.0000058,-0.242,-50254,-0.269,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,0.185,-0.242,1.825,-15.658,-41.252,-86.957,1764288000000
humans,0.247846,5.6864056,13672614,0.0756,2111378415,6921907245,0,49,26,75,665026,0.04863927263652729,0.04863927263652729,428,4335,humans-ai,0.00239241,18660711,1186,18660711,366008,0.00239384,0.0023264,0.00004344,1.849,329972,1.8,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,0.25,1.849,1.596,-22.429,-43.561,-83.861,1764201600000
humans,0.24781,5.6861885,13657419,0.0756,2111301070,6920647523,0,49,26,75,664547,0.04865831530833169,0.04865831530833169,427,4334,humans-ai,0.00235009,18330738,1189,18330738,362763,0.00235107,0.00232762,0.00000992,0.424,60310,0.33,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,0.164,0.424,-9.152,-23.264,-49.837,-85.121,1764115200000
humans,0.248229,5.6869858,13642224,0.0756,2107354781,6919388113,0,49,26,75,664061,0.04867688728758596,0.04867688728758596,427,4334,humans-ai,0.00234358,18270428,1185,18270428,362149,0.00234711,0.00228706,0.00005358,2.34,408388,2.286,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,-0.149,2.34,-11.68,-24.591,-49.955,-85.873,1764028800000
humans,0.24819,5.6841924,13627029,0.0756,2107296857,6918128849,0,49,26,75,663566,0.04869484023259949,0.04869484023259949,437,4333,humans-ai,0.00228995,17862040,1184,17862040,359088,0.00230967,0.0022122,0.00006577,2.957,483393,2.782,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,-0.043,2.957,-20.192,-28.199,-48.293,-85.791,1763942400000
humans,0.248154,5.6862851,13611830,0.0756,2107217553,6916869483,0,49,26,75,663083,0.048713729160590455,0.048713729160590455,444,4333,humans-ai,0.00222384,17378646,1184,17378646,365476,0.00223479,0.00219233,0.00002099,0.953,199643,1.162,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219233,1763820668399,-0.268,0.953,-22.668,-31.319,-48.424,-84.37,1763856000000
humans,0.248118,5.6885494,13596636,0.0756,2107141693,6915610843,0,49,26,75,662593,0.04873212756449463,0.04873212756449463,441,4333,humans-ai,0.00220271,17182228,1200,17182228,354384,0.00235581,0.00219614,-0.00015197,-6.454,-1185415,-6.454,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00219614,1763757095801,0.108,-6.454,-24.594,-27.176,-48.646,-86.4,1763769600000
humans,0.248548,5.6839762,13581445,0.0756,2103117308,6914352516,0,49,26,75,662094,0.04874989369687835,0.04874989369687835,445,4331,humans-ai,0.00235632,18367643,1195,18367643,353816,0.00243112,0.00233946,8.5e-7,0.036,4050,0.022,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.543,0.036,-17.123,0.995,-42.464,-86.03,1763683200000
humans,0.248519,5.6845148000000005,13566244,0.0756,2102975786,6913093671,0,49,26,75,661601,0.04876817783905405,0.04876817783905405,446,4331,humans-ai,0.00235493,18363593,1203,18363593,411519,0.00259434,0.00232626,-0.00023941,-9.228,-1858818,-9.192,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.071,-9.228,-23.644,-8.912,-43.886,-86.317,1763596800000
humans,0.248482,5.6847261,13551044,0.0756,2102910766,6911835139,0,49,26,75,661122,0.048787532532548784,0.048787532532548784,443,4331,humans-ai,0.00259431,20222410,1166,20222410,305462,0.00264727,0.00258615,-0.00003562,-1.354,-308082,-1.501,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.289,-1.354,-15.301,4.851,-41.564,-85.792,1763510400000
humans,0.248443,5.6880249,13535848,0.0756,2102854007,6910577167,0,50,25,75,660667,0.048808689341074164,0.048808689341074164,439,4331,humans-ai,0.00262755,20514120,1141,20514120,274111,0.00287732,0.00262993,-0.000237,-8.273,-1829676,-8.189,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.801,-8.273,-15.454,-4.763,-39.493,-85.639,1763424000000
humans,0.248615,5.6871256,13520658,0.0756,2101016616,6909319838,0,50,25,75,660167,0.04882654379690692,0.04882654379690692,441,4331,humans-ai,0.00286459,22343796,1112,22343796,277919,0.00290134,0.00286368,-0.00001284,-0.446,-101651,-0.453,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.057,-0.446,-10.182,-11.391,-35.492,-85.938,1763337600000
humans,0.248577,5.685976,13505467,0.0756,2100957537,6908062820,0,50,25,75,659649,0.04884310923865128,0.04884310923865128,441,4331,humans-ai,0.00287713,22444162,1113,22444162,270676,0.00289777,0.00284157,-0.00001893,-0.653,-136213,-0.603,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.014,-0.653,-11.056,-16.433,-35.906,-85.088,1763251200000
humans,0.248544,5.686648399999999,13490272,0.0756,2100850658,6906805535,0,50,25,75,659141,0.0488604677503908,0.0488604677503908,451,4331,humans-ai,0.00289605,22580375,1104,22580375,286652,0.0030565,0.00278299,0.00006886,2.436,527415,2.392,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.859,2.436,-2.979,-18.089,-39.97,-84.713,1763164800000
humans,0.248509,5.6865797,13475077,0.0756,2100769962,6905548644,0,50,25,75,658666,0.04888031437594011,0.04888031437594011,440,4327,humans-ai,0.00283159,22052960,1144,22052960,274905,0.00314569,0.00282506,-0.00024176,-7.866,-1919198,-8.006,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.19,-7.866,19.944,-22.132,-40.518,-84.479,1763078400000
humans,0.248471,5.6867023,13459882,0.0756,2100703900,6904291899,0,50,25,75,658157,0.04889767978649441,0.04889767978649441,443,4326,humans-ai,0.00307279,23955024,1109,23955024,370792,0.00319221,0.00306037,0.00000855,0.279,53956,0.226,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.577,0.279,19.167,-20.335,-38.092,-85.971,1762992000000
humans,0.248445,5.6866218,13444688,0.0756,2100542343,6903035465,0,49,25,74,657602,0.04891165938547626,0.04891165938547626,440,4326,humans-ai,0.0030638,23901068,1111,23901068,460008,0.0031953,0.00305881,-0.00006233,-1.994,-519858,-2.129,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.04,-1.994,22.352,-24.582,-39.874,-83.17,1762905600000
humans,0.248471,5.6908194000000005,13429499,0.0756,2099939619,6901779673,0,49,25,74,657100,0.048929598937384036,0.048929598937384036,452,4326,humans-ai,0.00312336,24420925,1123,24420925,471306,0.00323618,0.00309423,-0.00007974,-2.49,-577106,-2.309,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.25,-2.49,13.208,-26.318,-34.843,-82.922,1762819200000
humans,0.248435,5.6916605,13414318,0.0756,2099860651,6900524689,0,49,25,74,656584,0.048946506262934876,0.048946506262934876,444,4326,humans-ai,0.00319946,24998031,1104,24998031,455633,0.00335417,0.00304123,-0.00007249,-2.216,-525272,-2.058,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.318,-2.216,-1.032,-31.657,-35.034,-83.404,1762732800000
humans,0.2484,5.6927477,13399136,0.0756,2099779509,6899269932,0,49,25,74,656129,0.04896800808649154,0.04896800808649154,449,4324,humans-ai,0.00327276,25557488,1080,25557488,484010,0.00334746,0.00291841,0.00026159,8.687,2087234,8.893,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,1.174,8.687,-5.003,-29.964,-41.665,-82.101,1762646400000
humans,0.248359,5.689184,13383957,0.0756,2099744242,6898015734,0,49,25,74,655636,0.04898670848987336,0.04898670848987336,449,4324,humans-ai,0.00300916,23467197,1142,23467197,481701,0.00302472,0.00227836,0.00066398,28.313,5160655,28.19,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.515,28.313,-14.577,-32.054,-50.042,-83.821,1762560000000
humans,0.248319,5.687289,13368769,0.0756,2099699966,6896760856,0,49,25,74,655087,0.0490012954820298,0.0490012954820298,459,4321,humans-ai,0.00234991,18306542,1267,18306542,425032,0.00264937,0.00230206,-0.00023781,-9.19,-1969770,-9.715,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,-0.39,-9.19,-35.378,-45.496,-57.379,-87.275,1762473600000
humans,0.248282,5.688352399999999,13353577,0.0756,2099626820,6895506040,0,49,25,74,654544,0.049016379656177514,0.049016379656177514,456,4321,humans-ai,0.00258897,20276311,1214,20276311,460279,0.00262372,0.00225958,0.00006986,2.773,685705,3.5,7800000000,7800000000,7800000000,0.278557,1640543574961,0.00225958,1762315549163,0.404,2.773,-32.85,-39.641,-53.229,-85.287,1762387200000
