address,moniker,commission,rank,token,votingPower,timestamp
humanvaloper1yhup27vxpe8qpxhlqcd9u9jmdvkyrslpzx5y2h,H Staking,0.05,1,434500873,0.205716,1765152000000
humanvaloper13yh78yrc0k79p4yuldmxrq3rsn8thaz580v2ws,Alchemist Stake,0.1,2,400058067,0.189409,1765152000000
humanvaloper14sxd65y9t9hh5020j4ah0m6rhjjge07fh4juzc,Meria,0.05,3,292671929,0.138567,1765152000000
humanvaloper1symf474wnypes2d3mecllqk6l26rwz8mz6qeqe,BlockHunters ,0.0777,4,145536389,0.068905,1765152000000
humanvaloper1ewpcjgnf99fpa5p4u0s2u0r6g7lvnwfnvrpjtt,Moonstake,0.05,5,128362028,0.060774,1765152000000
humanvaloper1rnaw43g2y88qdgpfaexhe32uzggla3fxjep5uf,Hoss Army,0.1,6,101691671,0.048146,1765152000000
humanvaloper1ndnf0cd75nvz56feqy23um3mq22nlhe9ggu0uh,POSTHUMAN  StakeDrop,0.05,7,53763448,0.025455,1765152000000
humanvaloper1qt6yf3fvz250uddj04rxglfd40v8nruqmumcwn,NodeStake,0.05,8,38639669,0.018294,1765152000000
humanvaloper1aaj8j4067f2c2lafzsmxtdl2ky306qugm5rfq8,StAIKing,0.05,9,34130701,0.016159,1765152000000
humanvaloper1448esk9ghsvkr7xrsfmlvdcf4dqc6vz8jkxete,Cosmostation,0.05,10,30786733,0.014576,1765152000000
humanvaloper1mcnntqnl0tajjvxz7uqxsxnez65wnnh7qaqs72,KonsorTech,0.05,11,27751567,0.013139,1765152000000
humanvaloper1r0glm0m5asz0w6296n9aa2j8ew0qg8ug2x7r5r,Stakecito,0.05,12,26508384,0.012551,1765152000000
humanvaloper12szzdzvdnu0ytgx24s3wgthekwpnj74njve0zf,STAKEME,0.05,13,25364768,0.012009,1765152000000
humanvaloper1xl4lxgvwesnehdkfpn92ku8fk99lkrk6kmjc98,NODERS,0.05,14,22619011,0.010709,1765152000000
humanvaloper1tr853jvy38wn6pa05vsqtzt2mzrzpxxnazsmjn,Huginn,0.05,15,21204495,0.010039,1765152000000
humanvaloper1rcu8a8spnuf5hl5n2752la6s9kcjg09e74lal3,itrocket,0.05,16,20737311,0.009818,1765152000000
humanvaloper1r008cq398tznr0l7x3hdnhujtjhtyam3xwqhdr,Prosperity,0.1,17,20417485,0.009667,1765152000000
humanvaloper193plncp7vpeh53y98h9k394xpgnyue37mfyktc,Staketab,0.05,18,20354289,0.009637,1765152000000
