chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
injective,0.161102,0.619003,144819124,0.08875,56222931,107429560,37434,50,136,186,2697730447,18.628274860991425,18.628274860991425,123856,1336209,injective-protocol,5.41,541518222,144,541518222,55940911,5.66,5.3,-0.11109142,-2.011,-11249149,-2.035,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-1.07,-2.011,-7.468,-0.435,-31.354,-83.723,1765152000000
injective,0.161319,0.6127198,144678482,0.08875,56134275,107404131,36358,50,136,186,2696170446,18.63560087670812,18.63560087670812,123897,1336198,injective-protocol,5.53,552767370,138,552767370,41719298,5.62,5.42,0.02804139,0.51,2834889,0.515,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,0.099,0.51,-6.393,1.868,-12.753,-83.802,1765065600000
injective,0.161355,0.6164689999999999,144537799,0.08875,56107508,107377133,35281,50,136,186,2694838904,18.644527055514384,18.644527055514384,124461,1335876,injective-protocol,5.5,550084523,139,550084523,59637781,5.86,5.37,-0.28985886,-5.007,-28912119,-4.993,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.49,-5.007,-8.802,0.345,-17.003,-82.937,1764979200000
injective,0.161344,0.6150453,144399088,0.08875,56091748,107339388,68980,50,136,186,2692993301,18.64965588286818,18.64965588286818,124461,1335876,injective-protocol,5.79,578883083,139,578883083,59399837,6.09,5.77,-0.21833072,-3.632,-21934692,-3.651,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.659,-3.632,-6.278,-6.097,-11.066,-82.054,1764892800000
injective,0.161025,0.618185,144260078,0.08875,56189501,107314252,67913,50,136,186,2691052549,18.654173672358613,18.654173672358613,124610,1335846,injective-protocol,6.01,600817774,138,600817774,73116911,6.05,5.75,0.183798,3.156,18536680,3.183,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.32,3.156,-0.362,-6.402,-11.709,-81.775,1764806400000
injective,0.161338,0.6218112,144127404,0.08875,56067122,107288173,66893,50,136,186,2689164639,18.65824655386147,18.65824655386147,124622,1335603,injective-protocol,5.83,582993760,138,582993760,82549669,5.89,5.18,0.61003,11.696,60313929,11.539,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.721,11.696,-1.627,-11.949,-24.139,-81.109,1764720000000
injective,0.161359,0.6331937,143991566,0.08875,56045312,107260679,65848,50,136,186,2686877217,18.659962466134996,18.659962466134996,129696,1335575,injective-protocol,5.22,522058342,142,522058342,83273526,5.76,5.04,-0.53655205,-9.318,-56743889,-9.804,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.774,-9.318,-9.699,-15.606,-33.711,-82.556,1764633600000
injective,0.161342,0.6161435000000001,143855657,0.08875,56036777,107233058,64803,50,136,186,2684623289,18.661923660047655,18.661923660047655,130040,1335514,injective-protocol,5.77,578802231,137,578802231,45001473,5.99,5.78,-0.1854741,-3.112,-16742677,-2.811,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-1.141,-3.112,6.185,-10.569,-24.171,-81.53,1764547200000
injective,0.161343,0.6131865,143714941,0.08875,56025104,107211259,63731,50,136,186,2683512416,18.672466462620612,18.672466462620612,130246,1335213,injective-protocol,5.96,595544908,138,595544908,45901544,6.07,5.9,-0.04899653,-0.815,-4903992,-0.817,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,0.818,-0.815,9.824,-11.034,-21.684,-80.267,1764460800000
injective,0.161363,0.6113457999999999,143573820,0.08875,56006141,107188303,62657,50,136,186,2682448944,18.683412783751244,18.683412783751244,130773,1335108,injective-protocol,6,600448900,138,600448900,82101199,6.33,5.97,-0.16877381,-2.735,-17215832,-2.787,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.657,-2.735,9.524,-13.304,-30.721,-79.599,1764374400000
injective,0.162613,0.6299051999999999,143433895,0.08875,55563105,107163984,61590,50,136,186,2681014181,18.691636178463952,18.691636178463952,131291,1335100,injective-protocol,6.18,617664731,135,617664731,82921504,6.29,5.92,0.163112,2.713,17058233,2.84,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.07,2.713,1.277,-9.284,-25.984,-79.606,1764288000000
injective,0.161458,0.6147506,143295523,0.08875,55942579,107129925,60535,50,136,186,2679743185,18.700815830791868,18.700815830791868,131166,1335024,injective-protocol,6.02,600606498,139,600606498,72063889,6.07,5.75,0.065082,1.093,4397106,0.738,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,0.095,1.093,-7.435,-17.371,-30.586,-79.933,1764201600000
injective,0.161939,0.6170001,143156241,0.08875,55781307,107139221,59471,50,136,186,2677875944,18.70596716771852,18.70596716771852,131662,1334849,injective-protocol,5.96,596209392,138,596209392,78277382,6.05,5.6,0.187262,3.247,20347791,3.533,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.137,3.247,-11.296,-23.192,-34.286,-77.974,1764115200000
injective,0.162014,0.6147964,143018245,0.08875,55741074,107111453,58414,50,136,186,2675865354,18.709957977739133,18.709957977739133,131662,1334849,injective-protocol,5.76,576784783,140,576784783,90777261,5.91,5.31,0.396137,7.389,41042548,7.661,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.203,7.389,-6.944,-27.918,-31.649,-79.097,1764028800000
injective,0.162192,0.6154112,142881227,0.08875,55666139,107085254,57363,50,135,185,2673573937,18.71186294473801,18.71186294473801,131558,1334593,injective-protocol,5.35,535826000,144,535826000,51496108,5.51,5.36,-0.04464216,-0.828,-4176503,-0.773,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-1.608,-0.828,-17.132,-29.038,-37.118,-80.786,1763942400000
injective,0.162264,0.6165914,142740943,0.08875,55626014,107055151,56294,50,135,185,2672015445,18.71933440288397,18.71933440288397,131317,1333821,injective-protocol,5.4,540311359,142,540311359,62734515,5.52,5.22,-0.05076067,-0.931,-5023909,-0.921,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-0.474,-0.931,-19.376,-27.427,-35.431,-78.849,1763856000000
injective,0.162286,0.6199097,142601221,0.08875,55611774,107042298,55226,50,135,185,2670146724,18.724571257352697,18.724571257352697,131497,1333773,injective-protocol,5.45,545335268,143,545335268,143214774,6.11,5.25,-0.49292128,-8.29,-51182783,-8.58,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,2.945,-8.29,-21.229,-30.853,-32.873,-77.791,1763769600000
injective,0.162079,0.6201913,142464485,0.08875,55664378,107006667,54176,50,135,185,2667299634,18.722558355508742,18.722558355508742,131454,1333610,injective-protocol,5.95,596518050,139,596518050,97218221,6.73,5.98,-0.52131588,-8.05,-52593863,-8.102,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-3.495,-8.05,-14.006,-6.018,-31.991,-74.782,1763683200000
injective,0.162062,0.6207179,142327863,0.08875,55661069,106989703,53110,50,135,185,2665023130,18.7245355464938,18.7245355464938,132849,1333601,injective-protocol,6.49,649111912,132,649111912,124360482,6.96,6.12,-0.10890257,-1.65,-11023965,-1.67,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,1.06,-1.65,-10.87,-2.287,-25.927,-73.643,1763596800000
injective,0.165756,0.6158895000000001,142192394,0.08875,54412732,106973889,52071,50,135,185,2662702545,18.726054679127213,18.726054679127213,133011,1333442,injective-protocol,6.6,660247933,136,660247933,81973610,6.79,6.16,0.403214,6.505,41445872,6.698,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-1.561,6.505,-14.857,1.35,-23.201,-74.152,1763510400000
injective,0.165764,0.624629,142056659,0.08875,54400682,106955324,51029,50,135,185,2660235374,18.726579892323105,18.726579892323105,133450,1332996,injective-protocol,6.21,620685976,136,620685976,90807820,6.88,6.16,-0.31286227,-4.799,-31040462,-4.763,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-1.017,-4.799,-26.478,-8.79,-26.483,-74.562,1763424000000
injective,0.165805,0.6243744,141921210,0.08875,54376791,106934885,49990,50,135,185,2657786562,18.727197731755528,18.727197731755528,133825,1332967,injective-protocol,6.53,651726437,136,651726437,61637094,6.93,6.32,-0.21777802,-3.229,-22436907,-3.328,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,2.137,-3.229,-13.436,-15.017,-22.73,-74.675,1763337600000
injective,0.165971,0.6144565,141781739,0.08875,54313890,106918332,48928,50,135,185,2656068386,18.733501258578865,18.733501258578865,133825,1332967,injective-protocol,6.74,674418222,136,674418222,60124418,6.95,6.66,0.066443,0.995,5115952,0.764,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,0.25,0.995,-9.275,-14.371,-21.195,-72.863,1763251200000
injective,0.165851,0.6172267,141641211,0.08875,54325503,106863908,47859,50,135,185,2654626311,18.741906343910035,18.741906343910035,133770,1332944,injective-protocol,6.69,669302269,137,669302269,141522049,7.31,6.62,-0.27840228,-3.995,-28597942,-4.098,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,-3.898,-3.995,-15.665,-11.595,-25.562,-72.26,1763164800000
injective,0.16744,0.6240796999999999,141502954,0.08875,53766612,106777586,46803,50,135,185,2652250859,18.743431031128864,18.743431031128864,134354,1332890,injective-protocol,6.97,697900211,132,697900211,107328115,7.67,6.75,-0.24192392,-3.357,-23402129,-3.244,100000000,100000000,0,52.62,1710428782124,0.657401,1604420370576,0.59,-3.357,9.933,-8.468,-27.397,-70.826,1763078400000
