address,moniker,commission,rank,token,votingPower,timestamp
injvaloper13v0sulppc8pgtk4907p3vaqgq54vyl9yqmf7av,Zellic,0.05,1,5682320,0.101065,1765152000000
injvaloper10xhy8xurfwts9ckjkq0ga92mrjz9txyygymqzp,Informal Systems,0.05,2,4110299,0.073105,1765152000000
injvaloper19a77dzm2lrxt2gehqca3nyzq077kq7qsgvmrp4,SCVSecurity,0.05,3,3276766,0.05828,1765152000000
injvaloper1g4d6dmvnpg7w7yugy6kplndp7jpfmf3krtschp,Figment,0.05,4,3170105,0.056383,1765152000000
injvaloper1lsuqpgm8kgwpq96ewyew26xnfwyn3lh3ncrkrk,Binance Staking,0.07,5,3011428,0.053561,1765152000000
injvaloper134dct56cq5v7uerxcy2cn4m06mqf4dxrlgpp24,Everstake,0.1,6,2306065,0.041015,1765152000000
injvaloper1w3psm8a9td2qz06s46cxss03mz5umxaxegvhhs,Kraken,0.1,7,2216326,0.039419,1765152000000
injvaloper1vgu49xjgle9k84smvrwlyuc38u0cakuz7q3a5f,Cointelegraph Decentralization Guardians,0.1,8,2000796,0.035586,1765152000000
injvaloper1nngrhnm65wm8pu7wkah6hfs3vpd0xw463ydd65,Deutsche Telekom,0.07,9,1457151,0.025917,1765152000000
injvaloper1xnhwtlx47guamp36wkmnk6h4y7eqqn7jr8xcve,Injective Foundation,1,10,1430160,0.025437,1765152000000
injvaloper1rvqzf9u2uxttmshn302anlknfgsatrh5v7fl7e,Cosmostation,0.05,11,1422551,0.025301,1765152000000
injvaloper1nq37nq79w2j76xj8qhjzcn6vh0wlx0qk2r7zm6, CryptoCrew Validators,0.05,12,1350246,0.024015,1765152000000
injvaloper1yljq5pdnx84kkg30jfmz6ddu4eyp7twyp4z40f,Ready Block,0.05,13,1318770,0.023455,1765152000000
injvaloper10pe4avat38u38yzj5hvnw235uecfff6c73s8fn,Black Panther  Delegate for Claimdrop,0.05,14,1187672,0.021124,1765152000000
injvaloper1nxq05qdle8w5gm6fagda56euwt4rgvv4ktddcc,Republic,0.05,15,1088188,0.019354,1765152000000
injvaloper14w4qu60azpz5zkw5yrcvmaxqh6xg5sny7qm6rm,Allnodes,0.05,16,1086578,0.019326,1765152000000
injvaloper1u8npsgrcyk4csp0cpzecwkvcqw4e6thqzcrvp7,Hex Trust,0.075,17,1028185,0.018287,1765152000000
injvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y9695mhclt, polkachucom,0.05,18,1021852,0.018174,1765152000000
injvaloper1pkyycsewsfclqq4vshge540hwnqpqvlj3p80an,BitGo by Twinstake,0.08,19,1009700,0.017958,1765152000000
injvaloper1xwsnq88kc8wcrp34qenxf3dvhl5n02yj93u755,Smart Stake ,0.05,20,986856,0.017552,1765152000000
injvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g46hezv,Chorus One,0.075,21,984362,0.017508,1765152000000
injvaloper1esud09zs5754g5nlkmrgxsfdj276xm64cgmd3w,Imperatorco,0.05,22,923709,0.016429,1765152000000
injvaloper1mlsg82x0mnw88u2teg0kceautjktgcl08tqfs4,DecentrioLabs,0.05,23,920572,0.016373,1765152000000
injvaloper1acgud5qpn3frwzjrayqcdsdr9vkl3p6hrz34ts, AutoStake  Slash Protected,0.05,24,836386,0.014876,1765152000000
injvaloper1vm2gflv53mzy9ak4f8cr9ml3xus980wywe9fx2,Kiln,0.1,25,793792,0.014118,1765152000000
injvaloper1845wspsvm3z95a2zycz3t49gn7celq48dlyscc,Keplr,0.05,26,792890,0.014102,1765152000000
injvaloper1hsxaln75wjs033t3spd8a0gawl4jvxawn6v849,Citadelone,0.05,27,786563,0.01399,1765152000000
injvaloper1ffsdugrhfzdyxltjve8v68n6aazyc6p97uhfn0,Helios Staking,0.05,28,762666,0.013565,1765152000000
injvaloper1zpy3qf7us3m0pxpqkp72gzjv55t70huy33t47x,BHarvest,0.1,29,651735,0.011592,1765152000000
injvaloper1f2kdg34689x93cvw2y59z7y46dvz2fk8lhddfz,HighStakesch  Daily Airdrops,0.05,30,565498,0.010058,1765152000000
injvaloper1qzu3s7uzydpj0vcgrgp04j7u48pgkesy7zl7t3,Neptune Foundation,0.05,31,562098,0.009997,1765152000000
injvaloper177zqwtsnuhax28w5xpmf33wsl7l2xxf6y6xshc,NTT Digital,0.08,32,554871,0.009869,1765152000000
injvaloper1rf0fczrw2gnhuju86kmjtku4dvf9dcc2mpe7pe,Kiln legacy  please redelegate,0.1,33,551878,0.009816,1765152000000
injvaloper18cyc7wxru3g9de3emwy9pdh5x0vevxp3p2623y,Twinstake,0.08,34,531124,0.009446,1765152000000
injvaloper1fqrdtx7pyps6eytn3356j9cs4f8zl0eevlt3rt,Crosnest,0.1,35,508752,0.009049,1765152000000
injvaloper1qkwpk4pf6txgazfs8lnjzj75pc47z9g26lww7r,Kahuna,0.05,36,507806,0.009032,1765152000000
injvaloper1qndvee93f30q3ra2hncasphm22k97vpr89zusa,TokenStationapp,0.1,37,501013,0.008911,1765152000000
injvaloper145cktyaw3ec7nwt3nyawvx5yy9l58ppy9fhltx,A41,0.05,38,457065,0.008129,1765152000000
injvaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgwg3jckk, LavenderFive Nodes ,0.05,39,411284,0.007315,1765152000000
injvaloper17mudupc8qlwpnegqwulz6ajlkhsfta6zg2wg55,Dynamo DeFi,0.05,40,409978,0.007292,1765152000000
injvaloper1vumvzchlgfsu9fnj5xn2zpf7w888sdmjuu33qe,Google Cloud,1,41,399820,0.007111,1765152000000
injvaloper1da0shwz2mcup5rxkykquc9a7mh4s2hkeah9wuc,FalconX,0.05,42,353905,0.006294,1765152000000
injvaloper1dyntafvjynns5zyltwgyktej0y5zt84y3npkt4,Trust Nodes,0.1,43,344810,0.006133,1765152000000
