source,target,messages,txs,channel,timestamp,volume,type
kava,osmosis,28,27,transfer/channel-1,1764892800000,14847.983747,ack
kava,cosmos,14,14,transfer/channel-0,1764892800000,1779.990876,ack
kava,evmos,0,0,transfer/channel-117,1764892800000,0,ack
kava,injective,0,0,transfer/channel-122,1764892800000,0,ack
kava,sei,0,0,transfer/channel-132,1764892800000,0,ack
kava,persistence,5,5,transfer/channel-134,1764892800000,550.854582,ack
kava,akash,1,1,transfer/channel-5,1764892800000,12.481224,ack
kava,dymension,3,3,transfer/channel-144,1764892800000,800,ack
kava,oppyChain-1,0,0,transfer/channel-10,1764892800000,0,ack
kava,ki-chain,0,0,transfer/channel-100,1764892800000,0,ack
kava,kujira,0,0,transfer/channel-101,1764892800000,0,ack
kava,migaloo-1,0,0,transfer/channel-102,1764892800000,0,ack
kava,secret,0,0,transfer/channel-105,1764892800000,0,ack
kava,quicksilver,0,0,transfer/channel-103,1764892800000,0,ack
kava,regen,0,0,transfer/channel-104,1764892800000,0,ack
kava,stride,0,0,transfer/channel-108,1764892800000,0,ack
kava,stargaze,0,0,transfer/channel-107,1764892800000,0,ack
kava,testmun-ica,0,0,transfer/channel-11,1764892800000,0,ack
kava,columbus-5,0,0,transfer/channel-109,1764892800000,0,ack
kava,kujira,0,0,transfer/channel-111,1764892800000,0,ack
kava,umee,0,0,transfer/channel-110,1764892800000,0,ack
kava,mars-protocol,0,0,transfer/channel-112,1764892800000,0,ack
kava,odin-mainnet-freya,0,0,transfer/channel-113,1764892800000,0,ack
kava,teritori,0,0,transfer/channel-115,1764892800000,0,ack
kava,kujira,0,0,transfer/channel-116,1764892800000,0,ack
kava,umee,2,2,transfer/channel-119,1764892800000,107.930005,ack
kava,migaloo-1,0,0,transfer/channel-120,1764892800000,0,ack
kava,testmun-ica,0,0,transfer/channel-12,1764892800000,0,ack
kava,migaloo-1,0,0,transfer/channel-121,1764892800000,0,ack
kava,mun-1,0,0,transfer/channel-123,1764892800000,0,ack
kava,aura_6322-2,0,0,transfer/channel-124,1764892800000,0,ack
kava,cronosmainnet_25-1,0,0,transfer/channel-125,1764892800000,0,ack
kava,migaloo-1,0,0,transfer/channel-126,1764892800000,0,ack
kava,ixo,0,0,transfer/channel-127,1764892800000,0,ack
kava,ixo,0,0,transfer/channel-128,1764892800000,0,ack
kava,terra,0,0,transfer/channel-129,1764892800000,0,ack
kava,oppyChain-1,0,0,transfer/channel-13,1764892800000,0,ack
kava,sei,0,0,transfer/channel-130,1764892800000,0,ack
kava,centauri-1,0,0,transfer/channel-131,1764892800000,0,ack
kava,agoric,0,0,transfer/channel-133,1764892800000,0,ack
kava,haqq_11235-1,0,0,transfer/channel-135,1764892800000,0,ack
kava,neutron,0,0,transfer/channel-136,1764892800000,0,ack
kava,dydx,0,0,transfer/channel-137,1764892800000,0,ack
kava,noble,0,0,transfer/channel-139,1764892800000,0,ack
kava,terra,16,16,transfer/channel-138,1764892800000,1797.6788530000001,ack
kava,celestia,0,0,transfer/channel-140,1764892800000,0,ack
kava,sommelier,0,0,transfer/channel-106,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-16,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-17,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-19,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-18,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-20,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-21,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-23,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-24,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-26,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-25,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-29,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-28,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-30,1764892800000,0,ack
kava,sifchain,0,0,transfer/channel-3,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-31,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-33,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-32,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-34,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-36,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-37,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-38,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-39,1764892800000,0,ack
kava,columbus-5,0,0,transfer/channel-4,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-41,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-42,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-44,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-45,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-46,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-48,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-47,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-49,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-50,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-51,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-52,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-54,1764892800000,0,ack
kava,kava-testnet,0,0,transfer/channel-55,1764892800000,0,ack
