chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
kava,0.0944557318966887,5.7618368,18344260,0,105869700,1082847663,22305857,74,201,275,79689599,4.344116306681218,4.344116306681218,5953,242592,kava,0.104395,113023751,386,113023751,6288083,0.111732,0.104107,-0.00682509,-6.137,-7406031,-6.15,1082847663,1082847663,0,9.12,1630321802948,0.104556,1765149448592,-1.102,-6.137,-16.68,-10.476,-19.717,-85.303,1765152000000
kava,0.0944721121231825,5.7603689,18329260,0,105851343,1082847663,22333252,74,201,275,79672938,4.346762389752778,4.346762389752778,6013,242564,kava,0.111233,120429782,372,120429782,5670921,0.11374,0.110586,-0.00112531,-1.002,-1234374,-1.015,1082847663,1082847663,0,9.12,1630321802948,0.105588,1762292556344,0.245,-1.002,-12.609,-1.205,-0.614,-84.521,1765065600000
kava,0.09513931981579445,5.7610491,18314265,0,105109012,1082847663,22360648,73,202,275,79660806,4.349658913420768,4.349658913420768,5785,242267,kava,0.112376,121664155,368,121664155,5757545,0.118053,0.1108,-0.00387837,-3.336,-4221671,-3.354,1082847663,1082847663,0,9.12,1630321802948,0.105588,1762292556344,0.223,-3.336,-10.639,-3.445,-1.754,-84.778,1764979200000
kava,0.0951528993076285,5.7636297,18299263,0,105094012,1082847663,22388045,73,202,275,79646835,4.3524613532249905,4.3524613532249905,5785,242267,kava,0.116254,125885825,366,125885825,4893082,0.122431,0.115144,-0.0049241,-4.064,-5346226,-4.074,1082847663,1082847663,0,9.12,1630321802948,0.105588,1762292556344,-0.261,-4.064,-9.244,-5.188,8.621,-83.746,1764892800000
kava,0.09454208843692369,6.1281281000000005,18284281,0,105772996,1082847735,22415443,73,202,275,79630511,4.35513493803776,4.35513493803776,6029,242235,kava,0.121192,131232050,365,131232050,5693664,0.122666,0.117981,0.00011353,0.094,67928,0.052,1082847735,1082847735,0,9.12,1630321802948,0.105588,1762292556344,0.231,0.094,-1.582,-2.475,2.485,-81.872,1764806400000
kava,0.09455234207706793,5.7685525,18269927,0,105761526,1082847735,22442840,74,201,275,79615075,4.357711719373591,4.357711719373591,6077,242181,kava,0.121131,131164122,359,131164122,5036863,0.123667,0.11459,0.00525367,4.534,5668930,4.517,1082847735,1082847735,0,9.12,1630321802948,0.105588,1762292556344,-0.385,4.534,0.58,-6.303,-11.198,-80.364,1764720000000
kava,0.09412883709412326,5.768056,18254941,0,106237369,1082847735,22470235,74,201,275,79595881,4.360237647440219,4.360237647440219,6274,242173,kava,0.115915,125495192,359,125495192,6557343,0.124141,0.113301,-0.00822575,-6.626,-9248580,-6.864,1082847735,1082847735,0,9.12,1630321802948,0.105588,1762292556344,-0.085,-6.626,-3.04,-7.966,-12.705,-80.915,1764633600000
kava,0.09424262168795529,5.7447216,18239944,0,106109102,1082847735,22497632,74,201,275,79577914,4.362837627133065,4.362837627133065,6398,242138,kava,0.124225,134743772,363,134743772,4885497,0.128246,0.12419,-0.00311707,-2.448,-3101071,-2.25,1082847735,1082847735,0,9.12,1630321802948,0.105588,1762292556344,-0.709,-2.448,6.529,-3.473,-0.735,-79.944,1764547200000
kava,0.09424209085888717,5.748531,18224907,0,106109700,1082847735,22525030,74,201,275,79568434,4.3659171484386725,4.3659171484386725,6598,242138,kava,0.127321,137844842,356,137844842,4919086,0.128155,0.124585,0.00103291,0.818,1146539,0.839,1082847735,1082847735,0,9.12,1630321802948,0.105588,1762292556344,0.03,0.818,13.084,-7.726,1.369,-78.702,1764460800000
kava,0.09423111634472517,6.653266099999999,18209891,0,106122058,1082847744,22552426,76,199,275,79556327,4.368852454965271,4.368852454965271,6666,242044,kava,0.126343,136820087,360,136820087,7871695,0.130525,0.123642,-0.0011118,-0.872,-1228043,-0.89,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,-0.039,-0.872,8.556,-12.87,-10.047,-76.866,1764374400000
kava,0.09380653274422845,5.7623323,18196448,0,106602383,1082847744,22579824,76,199,275,79535432,4.370931733489964,4.370931733489964,6815,241956,kava,0.12746,138003735,358,138003735,7638956,0.130079,0.121367,0.00428389,3.478,4655325,3.491,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,0.361,3.478,3.084,-15.825,-9.852,-77.013,1764288000000
kava,0.09385610465328702,5.7741398,18181453,0,106546079,1082847744,22607220,76,199,275,79519184,4.373642964618944,4.373642964618944,6916,241897,kava,0.123208,133348409,359,133348409,8494765,0.125103,0.120069,0.00191794,1.581,1844966,1.403,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,0.226,1.581,-0.659,-14.081,-13.999,-76.163,1764201600000
kava,0.09371752798573738,5.7670448,18166479,0,106703625,1082847744,22634616,76,199,275,79498415,4.37610474765088,4.37610474765088,7015,241820,kava,0.121223,131503443,360,131503443,7276659,0.122556,0.11869,0.00191621,1.606,2057917,1.59,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,0.365,1.606,-6.895,-18.339,-17.23,-76.395,1764115200000
kava,0.09364488683135394,5.7590671,18151488,0,106786396,1082847744,22662013,75,200,275,79479663,4.378685813526693,4.378685813526693,7015,241820,kava,0.119363,129445525,363,129445525,6093204,0.120996,0.113131,0.00478865,4.179,5155382,4.148,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,-0.29,4.179,-5.228,-27.27,-15.569,-77.241,1764028800000
kava,0.09404983312358603,5.7561671,18136489,0,106326610,1082847744,22689411,75,200,275,79456966,4.381055561525717,4.381055561525717,7256,241782,kava,0.114621,124134910,367,124134910,4119103,0.116984,0.113053,0.0012,1.058,1258439,1.024,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,-1.017,1.058,-11.717,-28.128,-18.129,-77.503,1763942400000
kava,0.09407281857070494,5.7648987,18121481,0,106300631,1082847744,22716808,75,200,275,79438983,4.383691542650404,4.383691542650404,7306,241679,kava,0.113477,122876471,370,122876471,4889336,0.116747,0.111995,-0.00237601,-2.051,-2574627,-2.052,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,0.344,-2.051,-17.988,-18.143,-18.16,-75.723,1763856000000
kava,0.09409996128957593,5.7805146999999995,18106495,0,106269969,1082847744,22744204,75,200,275,79414660,4.385976413436173,4.385976413436173,7310,241607,kava,0.115801,125352926,371,125352926,7437550,0.12275,0.110907,-0.00584056,-4.801,-6335102,-4.811,1082847744,1082847744,0,9.12,1630321802948,0.105588,1762292556344,1.963,-4.801,-20.141,-10.946,-13.368,-74.933,1763769600000
