timestamp,blockCount,txCount
1765065600000,15000,16652
1764979200000,14995,12142
1764892800000,15001,13971
1764806400000,14983,16324
1764720000000,14354,15438
1764633600000,14987,19194
1764547200000,14996,17955
1764460800000,15037,9488
1764374400000,15017,12105
1764288000000,13442,20899
1764201600000,14994,16249
1764115200000,14974,20761
1764028800000,14991,18750
1763942400000,15000,22708
1763856000000,15008,17977
1763769600000,14985,24316
1763683200000,14954,46193
1763596800000,14931,31631
1763510400000,14942,27229
1763424000000,14953,27258
1763337600000,14968,28265
1763251200000,14997,23235
1763164800000,14988,23465
1763078400000,14942,43581
1762992000000,14937,51791
1762905600000,14977,21380
1762819200000,14955,30060
1762732800000,14907,51100
1762646400000,14900,69238
1762560000000,14972,39811
1762473600000,14974,30461
1762387200000,14951,21830
1762300800000,14937,21768
1762214400000,14930,28617
1762128000000,14952,25589
1762041600000,14948,21044
1761955200000,14897,15367
1761868800000,14968,22245
1761782400000,14906,27713
1761696000000,14899,25841
1761609600000,14900,22865
1761523200000,14939,13458
1761436800000,14926,20227
1761350400000,14919,8335
1761264000000,14867,12315
1761177600000,14813,39453
1761091200000,14766,43881
1761004800000,14776,42299
1760918400000,14776,38504
1760832000000,14756,45843
1760745600000,14737,35517
1760659200000,14725,47616
1760572800000,14691,48521
1760486400000,14721,42154
1760400000000,14716,55668
1760313600000,14733,61191
1760227200000,14770,52774
1760140800000,14715,98732
1760054400000,14786,54065
1759968000000,14805,26174
1759881600000,14734,28658
1759795200000,14736,33589
1759708800000,14764,27967
1759622400000,14788,23415
1759536000000,14805,16589
1759449600000,14789,20053
1759363200000,14794,19638
1759276800000,14635,19066
1759190400000,14775,15963
1759104000000,14848,19572
1759017600000,14758,18967
1758931200000,14761,23707
1758844800000,14797,20932
1758758400000,14802,24064
1758672000000,14835,11618
1758585600000,14834,14480
1758499200000,14803,29106
1758412800000,14820,14932
1758326400000,14808,14526
1758240000000,14764,22607
1758153600000,14768,18663
1758067200000,14750,19883
1757980800000,14808,18260
1757894400000,14754,30712
1757808000000,14729,28059
1757721600000,14754,28829
1757635200000,14746,25463
1757548800000,14777,17630
1757462400000,14788,15137
1757376000000,14794,13648
1757289600000,14784,14245
1757203200000,14851,11721
1757116800000,14869,11038
1757030400000,14850,18894
1756944000000,14796,59810
1756857600000,14833,24266
1756771200000,14845,22780
1756684800000,14834,32227
1756598400000,14882,20861
1756512000000,14904,16690
1756425600000,14856,26921
1756339200000,14831,26467
1756252800000,14846,17675
1756166400000,14859,22612
1756080000000,14842,28859
1755993600000,14837,20921
1755907200000,14779,17071
1755820800000,14841,21965
1755734400000,14855,18416
1755648000000,14854,16828
1755561600000,14846,19051
1755475200000,14853,21359
1755388800000,14863,18104
1755302400000,14881,17759
1755216000000,14814,35518
1755129600000,14792,36117
1755043200000,14815,27361
1754956800000,14820,28482
1754870400000,14828,36916
1754784000000,14820,32111
1754697600000,14714,39455
1754611200000,14562,41609
1754524800000,14602,31720
1754438400000,14657,32890
1754352000000,14860,22519
1754265600000,14824,26457
1754179200000,14913,23358
1754092800000,14895,32143
1754006400000,14898,41692
1753920000000,14939,40429
1753833600000,14863,39774
1753747200000,14906,43147
1753660800000,14760,42188
1753574400000,14806,22768
1753488000000,14809,23370
1753401600000,14813,43979
1753315200000,14942,53506
1753228800000,14935,58738
1753142400000,14925,54282
1753056000000,14931,39502
1752969600000,14924,24308
1752883200000,14905,21635
1752796800000,14797,34443
1752710400000,14858,33513
1752624000000,14819,37002
1752537600000,14899,29510
1752451200000,14939,26304
1752364800000,14910,26985
1752278400000,14910,27264
1752192000000,14864,37385
1752105600000,14866,22610
1752019200000,14844,23042
1751932800000,14846,28719
1751846400000,14808,35908
1751760000000,14758,28104
1751673600000,14759,22141
1751587200000,14754,38692
1751500800000,14764,35303
1751414400000,14782,36801
1751328000000,14834,31284
1751241600000,14821,32360
1751155200000,14830,24191
1751068800000,14760,21968
1750982400000,14722,30976
1750896000000,14692,36887
1750809600000,14689,42711
1750723200000,14683,43256
1750636800000,14685,54733
1750550400000,14662,65648
1750464000000,14657,41735
1750377600000,14705,40202
1750291200000,14707,32464
1750204800000,14686,47488
1750118400000,14692,44806
1750032000000,14710,34890
1749945600000,14693,29640
1749859200000,14646,30719
1749772800000,14635,78808
1749686400000,14651,40643
1749600000000,14743,34154
