id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
207,Kava Rise Payouts July 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1762975106000,1762975106000,1763579906000,undefined,17968969,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,44404321.324107,594428.695539,1963.162352,2357359.929391
206,Kava Rise Payouts June 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1760110561000,1760110561000,1760715361000,undefined,17476419,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,21676452.903804,510883.748741,283.467867,287045.641061
205,Mature Network Proposal 2  Custodial Realignment of Earmarked Community Assets Community Pool Spend,/cosmos.authz.v1beta1.MsgExec,PASSED,1758229799000,1758229799000,1758834599000,undefined,0,null,22206479.982801,3983.107935,633.617359,7253691.155807
204,Ratification of the Kava Mature Network Policy 2025,Text,PASSED,1757338216000,1757338216000,1757943016000,undefined,17002205,kava12mg9h7s6mselrh0ks2xa9zaydtazarx6632ahs,40854684.126797,3090.786219,0,1745999.913773
203,Recover IBC light client for Secret,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1755261812000,1755261812000,1755866612000,undefined,16645411,kava1ccect5z4ugvc5uym69t20xmsqfj2a7z93s2ute,23120516.711498,5335.67309,352.37,4382399.917332
202,Kava Rise Payouts May 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1750093279000,1750093279000,1750698079000,undefined,15759825,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,45882056.505386,3113.741952,2541.818352,7701130.893335
201,Kava Rise Payouts April 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1748013976000,1748013976000,1748618776000,undefined,15406126,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,25901990.235292,364993.367489,588.094138,3665741.066822
200,Kava Rise Payouts March 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1743701723000,1743701723000,1744306523000,undefined,14676115,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,49927898.358568,10190.784471,1964.676356,6774350.695112
199,Kava Rise Payouts February 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1741804095000,1741804095000,1742408895000,undefined,14354145,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,26958483.401416,319880.666506,835.987359,6467673.882823
198,Kava Rise Payouts January 2025,/cosmos.authz.v1beta1.MsgExec,PASSED,1740009686000,1740009686000,1740614486000,undefined,14055987,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,54088097.054629,16582.122192,1268.203192,2442532.14679
197,Kava 18 Mainnet Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1739812645000,1739812645000,1740417445000,undefined,14023255,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,63573813.832454,412.649969,1464.869967,247725.336728
196,Kava Rise Payouts December 2024,/cosmos.authz.v1beta1.MsgExec,PASSED,1736553916000,1736553916000,1737158716000,undefined,13478656,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,27709989.672225,91424.221403,10900.616193,6324237.349372
195,Kava Rise Payouts November 2024,/cosmos.authz.v1beta1.MsgExec,PASSED,1733841918000,1733841918000,1734446718000,undefined,13025066,kava1me2recm86t27c24q0kple0cdd5jlglqnqz9l3t,53959426.281262,2314.588257,566.773,4411307.536668
194,Kava 17 Mainnet Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1731482502000,1731482502000,1732087302000,undefined,12636226,kava1lqmcravl82whn94s2k6a9jntgw0ccpzn86w2f4,64590274.601525,2597.503992,275.923359,290731.54311
