address,moniker,commission,rank,token,votingPower,timestamp
kavavaloper1dntlhrw3jrej6ssdp64yfmkkz08ykyx4n7hphh,Kraken01,0.1,1,23522391,0.222246,1765152000000
kavavaloper1zw8ce44kdqzfu0r2t9qwr75gqdcarclf9fj9lt,Luganodes,0.075,2,20450363,0.193221,1765152000000
kavavaloper1jl42l225565y3hm9dm4my33hjgdzleucqryhlx,0 Fee to TOP 1   meleaxyz ,0.05,3,9665211,0.09132,1765152000000
kavavaloper140g8fnnl46mlvfhygj3zvjqlku6x0fwu6lgey7,Cosmostation,0.05,4,9302877,0.087896,1765152000000
kavavaloper1kgddca7qj96z0qcxr2c45z73cfl0c75p27tsg6,ChainLayer,0.05,5,3579837,0.033823,1765152000000
kavavaloper14vk3997r4ea4m7eej7ugmr503ru768fxwynsmq,Allnodes,0.05,6,3493838,0.033011,1765152000000
kavavaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapvl7z9xh,WeStaking,0.05,7,3264346,0.030842,1765152000000
kavavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvh0atdq,Nansen  Stake to Stack Points,0.05,8,3164250,0.029897,1765152000000
kavavaloper1lrvumc58wz2ww8wevqnj7ndxz03amfkcxjzcgj,HbStaking,0.1,9,3147510,0.029739,1765152000000
kavavaloper1f94frmnhd9wfa7jg26egnqmymc4cpamlw5ezq7,Everstake,0.1,10,2105146,0.01989,1765152000000
kavavaloper1wu8m65vqazssv2rh8rthv532hzggfr3h9azwz9,Binance Staking,1,11,2010820,0.018999,1765152000000
kavavaloper14kn0kk33szpwus9nh8n87fjel8djx0y02c7me3,Sunsetting please redelegate Forbole,0.05,12,1945057,0.018377,1765152000000
kavavaloper125s8t5c6ypwee7ytun90lnhgpls2zl3vta43aj,polkachucom,0.05,13,1865527,0.017626,1765152000000
kavavaloper1hztgl202pvetspxch0pcchaqzrduw4qq64q08u, AutoStake  Slash Protected,0.05,14,1697320,0.016037,1765152000000
kavavaloper1ppj7c8tqt2e3rzqtmztsmd6ea6u3nz6qggcp5e,SG1,0.05,15,1690755,0.015975,1765152000000
kavavaloper1g20mhvcpjxp6gzlwhtfcphjehwcl2njqydgu7q,openstakenet,0.05,16,1646060,0.015552,1765152000000
kavavaloper15urq2dtp9qce4fyc85m6upwm9xul3049dcs7da,Sunsetting  please redelegate,0.15,17,1493279,0.014109,1765152000000
kavavaloper1t787gjxtyswnncltluwaefg0dfgvwrm87d3g9d,Trust Nodes shutdown 1126  please redelegate,0.1,18,1380622,0.013045,1765152000000
kavavaloper1203qrnqvm65suceuxcrgpqsk7dynaxg4ae68yl,StakeCapital,1,19,1300059,0.012283,1765152000000
kavavaloper1vyzk2va7lyy0atamll5537x25az5klja83j25k,BitNordic,0.1,20,1092585,0.010323,1765152000000
kavavaloper108emy97pv2pc4sq3u6wfpk2a7aehzphu0xqslu,CEXIO Validator,0.05,21,1089535,0.010294,1765152000000
kavavaloper1ffcujj05v6220ccxa6qdnpz3j48ng024ykh2df,stakefish,0.05,22,1059875,0.010014,1765152000000
kavavaloper1y8elet4hh0qpl9jq5hlkkejgl2gx845ekmdq55,Stake Shark,0.1,23,793863,0.007501,1765152000000
kavavaloper1udg4pal8c9gffv4l7zhvza027z0y345gd6esa6,DPOSelect,0.3,24,770458,0.00728,1765152000000
kavavaloper1jlzx4js09d9zzyuhuz8sfdweklrapzacuhsxq5,shiprekt,0.1,25,769102,0.007267,1765152000000
kavavaloper1dede4flaq24j2g9u8f83vkqrqxe6cwzrxt5zsu,Stakincom ,0.2,26,759086,0.007172,1765152000000
kavavaloper1vyx7wt8s8dwcspdt7dy49sq4l3jwyhxyndakmm,InfStones,0.06,27,723743,0.006838,1765152000000
kavavaloper17u9s2fx5htqdsuk78hkfskw9s5g06tzqyl2m8j,Citadelone,0.05,28,714477,0.006751,1765152000000
kavavaloper1k760ypy9tzhp6l2rmg06sq4n74z0d3rejwwaa0,StakeCraft,0.09,29,662658,0.006261,1765152000000
kavavaloper1jn44xtw3z5p5pjpv42wd7mpd9r9pztm54c7rj3,TRGC By Liquify,0.08,30,643792,0.006083,1765152000000
kavavaloper1ceun2qqw65qce5la33j8zv8ltyyaqqfctl35n4,sikka,0.05,31,597957,0.00565,1765152000000
kavavaloper1fwru9at8hsu7hmhu0zypdn3863xvdcg80nm5dv,OtterSync,0.05,32,576806,0.00545,1765152000000
kavavaloper13jyqfhak8mu4c7pydjm3eu4qla7g06a9u6xf8g,Notional,0.0969,33,500280,0.004727,1765152000000
