chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
lombard,0,5.699067100000001,5400897,0,17,17446744283709,0,17,0,17,1075360,0.19910766674498698,0.19910766674498698,43,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1765152000000
lombard,0,5.6981495,5385737,0,17,17446744283709,0,17,0,17,1074583,0.1995238534670371,0.1995238534670371,43,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1765065600000
lombard,0,5.6931279,5370570,0,17,17446744283709,0,17,0,17,1073978,0.19997467680339331,0.19997467680339331,43,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764979200000
lombard,0,5.6908398,5355391,0,17,17446744283709,0,17,0,17,1072245,0.20021787391434165,0.20021787391434165,43,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764892800000
lombard,0,5.6862846,5340204,0,17,17446744283709,0,17,0,17,1071077,0.2005685550589453,0.2005685550589453,44,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764806400000
lombard,0,5.683769,5325010,0,17,17446744283709,0,17,0,17,1070004,0.2009393409589841,0.2009393409589841,44,58,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764720000000
lombard,0,5.6788377,5309805,0,17,17446744283709,0,17,0,17,1068875,0.20130211938103187,0.20130211938103187,43,57,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764633600000
lombard,0,5.697627,5294608,0,17,17446744283709,0,17,0,17,1066875,0.20150216975458807,0.20150216975458807,45,57,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764547200000
lombard,0,5.6927695,5279442,0,17,17446744283709,0,17,0,17,1066232,0.20195922220568008,0.20195922220568008,45,57,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764460800000
lombard,0,5.6945096,5264265,0,17,17446744283709,0,17,0,17,1065833,0.2024656813439293,0.2024656813439293,45,57,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764374400000
lombard,0,5.6897776,5249090,0,17,17446744283709,0,17,0,17,1065087,0.20290888515914188,0.20290888515914188,44,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764288000000
lombard,0,5.678933600000001,5233900,0,17,17446744283709,0,17,0,17,1063685,0.2032299050421292,0.2032299050421292,44,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764201600000
lombard,0,5.6835667,5218675,0,17,17446744283709,0,17,0,17,1062659,0.20362620780178878,0.20362620780178878,44,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764115200000
lombard,0,5.6788608,5203461,0,17,17446744283709,0,17,0,17,1061736,0.20404419289392195,0.20404419289392195,44,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764028800000
lombard,0,5.6924557,5188259,0,17,17446744283709,0,17,0,17,1060020,0.2043113113666839,0.2043113113666839,44,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763942400000
lombard,0,5.6900481,5173080,0,17,17446744283709,0,17,0,17,1059309,0.20477336519056347,0.20477336519056347,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763856000000
lombard,0,5.6888001,5157893,0,17,17446744283709,0,17,0,17,1058658,0.20525008952298934,0.20525008952298934,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763769600000
lombard,0,5.688886800000001,5142703,0,17,17446744283709,0,17,0,17,1057468,0.2056249408141983,0.2056249408141983,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763683200000
lombard,0,5.6933408000000005,5127512,0,17,17446744283709,0,17,0,17,1056276,0.20600166318479607,0.20600166318479607,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763596800000
lombard,0,5.6729548,5112321,0,17,17446744283709,0,17,0,17,1055572,0.20647608004270468,0.20647608004270468,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763510400000
lombard,0,5.6931821000000005,5097100,0,17,17446744283709,0,17,0,17,1054040,0.2067920974671872,0.2067920974671872,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763424000000
lombard,0,5.6909653,5081924,0,17,17446744283709,0,17,0,17,1052606,0.20712745802573987,0.20712745802573987,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763337600000
lombard,0,5.6875089999999995,5066741,0,17,17446744283709,0,17,0,17,1052099,0.2076480720052594,0.2076480720052594,45,56,unknown,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763251200000
